#Com.BloodyFingerGold
#./workspace/Com.BloodyFingerGold_0/app928.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 23:14:49.717847,707,91,482,1404,674,0,0,0,4900772,4778,1325612,2216,S,4101,0,1,0,3,2,0,0,13,3290943488,24755,1,803453,24755,19823,5,0
2023-01-11 23:14:49.984131,720,93,485,1405,674,0,0,0,4904066,4818,1333886,2264,S,4101,0,1,0,3,2,0,0,13,3290943488,24755,1,803453,24755,19823,5,0
2023-01-11 23:14:50.239614,726,94,487,1405,674,0,0,0,4907907,4864,1346516,2315,S,4101,0,1,0,3,2,0,0,13,3290943488,24755,1,803453,24755,19823,5,0
2023-01-11 23:14:50.505363,732,95,491,1405,674,0,0,0,4913627,4913,1359255,2366,S,4101,0,1,0,3,2,0,0,13,3290943488,24755,1,806366,28384,23304,5,0
2023-01-11 23:14:50.751535,738,100,495,1405,674,0,0,0,4919693,4989,1379166,2446,S,5808,0,56,0,5,3,0,0,15,3305455616,30573,1,808016,31795,26502,5,0
2023-01-11 23:14:51.032081,747,101,503,1405,674,0,0,0,4930848,5122,1400371,2571,D,6280,0,154,0,6,4,0,0,18,3319005184,33188,1,819594,40165,32287,5,0
2023-01-11 23:14:51.287547,753,103,510,1405,674,0,0,0,4938876,5199,1433557,2669,S,11031,0,275,0,9,7,0,0,38,3356930048,39855,1,823804,47451,36073,5,0
2023-01-11 23:14:51.552927,763,105,515,1405,674,0,0,0,4960848,5271,1448112,2729,S,15234,0,328,0,19,8,0,0,40,3375013888,50210,1,824320,50672,39121,5,0
2023-01-11 23:14:51.813329,779,107,520,1406,674,0,0,0,5084669,5398,1457220,2805,S,15729,0,328,0,32,9,0,0,40,3376414720,50672,1,824320,50672,39121,5,0
2023-01-11 23:14:52.069203,789,107,523,1406,675,0,0,0,5087471,5432,1463195,2843,S,15780,0,328,0,39,10,0,0,40,3376414720,50967,1,824320,51017,39401,5,0
2023-01-11 23:14:52.324343,798,108,525,1406,675,0,0,0,5089965,5462,1468559,2876,S,15780,0,328,0,44,10,0,0,40,3376414720,51017,1,824320,51017,39401,5,0
2023-01-11 23:14:52.599849,823,110,530,1406,675,0,0,0,5093547,5506,1480378,2926,S,15780,0,328,0,51,11,0,0,40,3376414720,50968,1,825338,52715,38957,5,0
2023-01-11 23:14:52.855803,846,112,535,1406,675,0,0,0,5095451,5529,1483482,2950,S,18394,0,328,0,57,12,0,0,40,3380584448,52772,1,825514,53036,39119,5,0
2023-01-11 23:14:53.130607,874,113,539,1406,675,0,0,0,5099009,5573,1504242,3004,S,18956,0,328,0,68,13,0,0,40,3382697984,53366,1,827390,54576,39492,5,0
2023-01-11 23:14:53.391497,897,118,545,1406,675,0,0,0,5102123,5611,1510734,3045,S,22751,0,328,0,76,15,0,0,40,3407757312,56789,1,830654,56268,39001,5,0
2023-01-11 23:14:53.651560,918,121,553,1416,676,0,0,0,5108532,5682,1525491,3117,S,24334,0,331,0,79,16,0,0,40,3406434304,56393,0,831649,56393,39431,5,0
2023-01-11 23:14:53.917584,945,127,560,1416,676,0,0,0,5111646,5720,1531982,3160,S,24334,0,331,0,79,16,0,0,40,3406434304,56393,0,831649,56393,39431,5,0
