#HamsterSuper.Client.Game
#./workspace/HamsterSuper.Client.Game_0/app4024.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 13:27:33.123493,972,287,707,1319,1342,0,0,0,13979820,10503,938451,2079,S,3434,0,5,0,4,0,0,0,13,3290656768,24687,1,803383,24687,19334,5,0
2023-01-11 13:27:33.398340,980,292,718,1321,1342,0,0,0,13986695,10583,949223,2161,S,3441,0,5,0,4,0,0,0,13,3290656768,24687,1,803383,24687,19334,5,0
2023-01-11 13:27:33.671391,986,296,724,1322,1342,0,0,0,13991150,10629,955870,2214,S,3469,0,5,0,4,0,0,0,13,3290656768,24865,1,803383,24865,19505,5,0
2023-01-11 13:27:33.945903,992,303,729,1325,1344,0,0,0,13994130,10666,960885,2248,S,3474,0,5,0,4,1,0,0,13,3290656768,24865,1,803383,24865,19505,5,0
2023-01-11 13:27:34.216800,998,311,737,1330,1344,0,0,0,13996728,10698,965626,2279,S,3479,0,5,0,4,1,0,0,13,3290656768,24865,1,803383,25161,19756,5,0
2023-01-11 13:27:34.471931,1004,317,743,1341,1346,0,0,0,13999416,10731,970614,2313,S,3486,0,5,0,4,1,0,0,13,3290656768,25161,1,803383,25161,19756,5,0
2023-01-11 13:27:34.721301,1009,324,753,1347,1346,0,0,0,14002146,10765,975356,2344,S,3491,0,5,0,4,1,0,0,13,3290656768,25161,1,803383,25161,19756,5,0
2023-01-11 13:27:34.988529,1015,328,762,1357,1350,0,0,0,14006170,10813,982219,2394,S,3503,0,5,0,4,1,0,0,13,3290656768,25161,1,803383,25161,19756,5,0
2023-01-11 13:27:35.245601,1021,332,768,1358,1351,0,0,0,14008258,10838,986937,2422,S,3508,0,5,0,4,1,0,0,13,3290656768,25161,1,803383,25161,19756,5,0
2023-01-11 13:27:35.506893,1027,335,773,1358,1351,0,0,0,14011842,10879,992375,2459,S,3513,0,5,0,4,1,0,0,13,3290656768,25161,1,803383,25161,19756,5,0
2023-01-11 13:27:35.772198,1036,338,780,1370,1353,0,0,0,14015090,10916,997598,2492,S,3518,0,5,0,4,1,0,0,13,3290656768,25161,1,803383,25161,19756,5,0
2023-01-11 13:27:36.022403,1042,338,785,1393,1353,0,0,0,14018172,10955,1002800,2528,S,3525,0,5,0,4,1,0,0,13,3290656768,25161,1,803383,25161,19756,5,0
2023-01-11 13:27:36.272752,1048,339,789,1416,1353,0,0,0,14020572,10984,1007788,2562,S,3530,0,5,0,4,1,0,0,13,3290656768,25161,1,803383,25161,19756,5,0
2023-01-11 13:27:36.558521,1054,341,794,1437,1353,0,0,0,14023146,11016,1013765,2596,S,3537,0,5,0,4,1,0,0,13,3290656768,25161,1,803383,25161,19756,5,0
2023-01-11 13:27:36.818947,1063,342,801,1461,1354,0,0,0,14025969,11051,1018945,2631,S,3553,0,5,0,5,1,0,0,13,3290918912,25161,1,803447,25161,19756,5,0
2023-01-11 13:27:37.079265,1070,343,809,1480,1357,0,0,0,14028628,11084,1023926,2665,S,3558,0,5,0,5,1,0,0,13,3290918912,25226,1,803447,25226,19756,5,0
2023-01-11 13:27:37.339669,1075,345,816,1496,1357,0,0,0,14031185,11115,1028929,2698,S,3565,0,5,0,5,1,0,0,13,3290918912,25226,1,803447,25226,19756,5,0
2023-01-11 13:27:37.600103,1080,345,821,1517,1357,0,0,0,14033873,11148,1034106,2734,S,3570,0,5,0,5,1,0,0,13,3290918912,25226,1,803447,25226,19756,5,0
2023-01-11 13:27:37.865637,1085,346,827,1542,1357,0,0,0,14036820,11185,1039357,2771,S,3577,0,5,0,5,1,0,0,13,3290918912,25226,1,803447,25226,19756,5,0
2023-01-11 13:27:38.142035,1091,351,837,1563,1357,0,0,0,14039509,11218,1044591,2808,S,3585,0,5,0,5,1,0,0,13,3290918912,25226,1,803447,25226,19756,5,0
2023-01-11 13:27:38.402184,1097,351,842,1583,1357,0,0,0,14042198,11251,1050140,2849,S,3588,0,5,0,5,1,0,0,13,3290918912,25226,1,803447,25226,19756,5,0
2023-01-11 13:27:38.667443,1102,352,849,1609,1357,0,0,0,14044797,11283,1055029,2881,S,3597,0,5,0,5,1,0,0,13,3290918912,25226,1,803447,25226,19756,5,0
