#Jk7H.PwcD
#./workspace/Jk7H.PwcD_56/app4327.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 03:54:59.063063,875,320,865,2020,1007,0,0,0,80134,520,686702,765,S,3839,0,4,0,3,2,0,0,11,3287515136,25650,0,803337,26445,21803,5,0
2023-01-10 03:54:59.349510,885,322,868,2023,1007,0,0,0,82600,550,692858,797,S,5280,0,4,0,3,2,0,0,11,3293421568,27171,0,804058,27171,22529,5,0
2023-01-10 03:54:59.603678,894,323,869,2025,1007,0,0,0,85354,584,697818,830,S,5315,0,4,0,5,2,0,0,11,3293421568,27314,0,804058,27314,22655,5,0
2023-01-10 03:54:59.857085,901,327,872,2028,1008,0,0,0,87910,615,702563,859,S,5320,0,4,0,5,2,0,0,11,3293421568,27314,0,804058,27314,22655,5,0
2023-01-10 03:55:00.112399,907,331,874,2047,1008,0,0,0,90598,648,707679,894,S,5329,0,4,0,6,2,0,0,11,3293421568,27314,0,804058,27314,22655,5,0
2023-01-10 03:55:00.378417,911,332,876,2087,1008,0,0,0,93352,682,712663,927,S,5334,0,4,0,6,2,0,0,11,3293421568,27314,0,804058,27481,22820,5,0
2023-01-10 03:55:00.638811,918,332,879,2122,1009,0,0,0,96040,715,717821,963,S,5649,0,4,0,7,2,0,0,11,3293425664,27937,0,804059,27937,23199,5,0
2023-01-10 03:55:00.894246,939,334,884,2145,1009,0,0,0,98260,742,722463,993,S,5675,0,4,0,7,3,0,0,11,3293425664,27953,1,804059,27953,23215,5,0
2023-01-10 03:55:01.166531,965,334,889,2155,1009,0,0,0,101160,777,727502,1027,S,5702,0,5,0,9,4,0,0,11,3293425664,27953,1,804059,27953,23215,5,0
2023-01-10 03:55:01.425171,986,335,893,2160,1009,0,0,0,103244,802,731929,1053,S,5702,0,5,0,10,4,0,0,11,3293425664,27953,1,804059,27953,23215,5,0
2023-01-10 03:55:01.680602,1002,335,897,2175,1009,0,0,0,105734,832,736982,1087,S,5728,0,5,0,10,4,0,0,11,3293425664,27953,1,804059,27969,23231,5,0
2023-01-10 03:55:01.946207,1020,337,902,2198,1011,0,0,0,108672,868,743261,1122,S,5830,0,5,0,11,4,0,0,13,3295744000,28202,1,802494,26106,21333,5,0
2023-01-10 03:55:02.211752,1059,337,909,2199,1011,0,0,0,111535,902,749455,1156,S,5838,0,5,0,11,5,0,0,13,3287015424,26106,1,802494,26106,21333,5,0
2023-01-10 03:55:02.728126,1109,337,914,2199,1011,0,0,0,113716,928,753249,1187,S,5838,0,5,0,11,5,0,0,13,3287015424,26106,1,802494,26106,21333,5,0
2023-01-10 03:55:02.462829,1107,337,913,2199,1011,0,0,0,113962,931,754438,1191,S,5838,0,5,0,11,5,0,0,13,3287015424,26106,1,802494,26106,21333,5,0
2023-01-10 03:55:03.003787,1131,344,919,2204,1011,0,0,0,116765,964,759425,1223,S,5838,0,5,0,11,5,0,0,13,3287015424,26106,1,802494,26106,21333,5,0
2023-01-10 03:55:03.254127,1169,345,921,2204,1011,0,0,0,119911,1002,766257,1266,S,5838,0,5,0,11,5,0,0,13,3287015424,26106,1,802494,26106,21333,5,0
2023-01-10 03:55:03.502820,1215,345,925,2205,1011,0,0,0,122760,1037,771885,1305,S,5838,0,5,0,11,5,0,0,13,3287015424,26106,1,802494,26106,21333,5,0
2023-01-10 03:55:03.768368,1228,345,927,2206,1011,0,0,0,123813,1049,773897,1319,S,5838,0,5,0,11,5,0,0,13,3287015424,26106,1,802494,26106,21333,5,0
2023-01-10 03:55:04.013501,1244,345,930,2211,1011,0,0,0,126029,1076,778547,1348,S,5838,0,5,0,11,5,0,0,13,3287015424,26106,1,802490,26517,21891,5,0
2023-01-10 03:55:04.283571,1274,346,935,2220,1011,0,0,0,128967,1112,783843,1386,S,6272,0,6,0,12,5,0,0,13,3286802432,26403,1,803884,27787,23270,5,0
2023-01-10 03:55:04.556079,1325,347,944,2221,1011,0,0,0,133610,1168,794541,1449,S,7719,0,6,0,12,6,0,0,13,3292708864,27787,1,803884,27787,23270,5,0
2023-01-10 03:55:04.820669,1333,348,945,2221,1011,0,0,0,132700,1157,792824,1438,S,7719,0,6,0,12,6,0,0,13,3292708864,27787,1,803884,27787,23270,5,0
2023-01-10 03:55:05.076853,1355,348,950,2221,1011,0,0,0,134891,1183,796848,1464,S,7720,0,6,0,12,6,0,0,13,3292708864,27787,1,803884,27787,23270,5,0
2023-01-10 03:55:05.344744,1382,349,956,2229,1011,0,0,0,138123,1222,803145,1509,S,7743,0,6,0,13,6,0,0,13,3292708864,27854,1,803884,27854,23332,5,0
2023-01-10 03:55:05.610017,1415,351,961,2229,1011,0,0,0,140565,1252,808294,1541,S,8463,0,6,0,14,6,0,0,13,3295662080,28513,1,804605,28513,23991,5,0
2023-01-10 03:55:05.874069,1438,351,964,2229,1011,0,0,0,142337,1273,813326,1572,R,8463,0,6,0,14,6,0,0,13,3295662080,28513,1,802708,26420,21892,5,0
2023-01-10 03:55:06.394715,1504,354,972,2230,1011,0,0,0,145925,1316,821576,1617,S,8573,0,6,0,15,7,0,0,14,3287912448,26496,0,804155,27947,23326,5,0
2023-01-10 03:55:06.134261,1493,354,971,2230,1011,0,0,0,148232,1344,828488,1648,R,8569,0,6,0,15,6,0,0,14,3287912448,26496,0,804155,27947,23326,5,0
2023-01-10 03:55:06.933280,1556,355,980,2230,1011,0,0,0,150439,1370,833036,1676,S,10043,0,6,0,16,7,0,0,14,3293818880,27947,0,804155,27947,23326,5,0
2023-01-10 03:55:07.193836,1576,356,983,2230,1011,0,0,0,151897,1387,835429,1692,S,10043,0,6,0,16,7,0,0,14,3293818880,27947,0,804155,27947,23326,5,0
2023-01-10 03:55:06.673584,1576,356,983,2230,1011,0,0,0,152985,1400,837375,1705,S,10043,0,6,0,16,7,0,0,14,3293818880,27947,0,804155,27947,23326,5,0
2023-01-10 03:55:07.461785,1603,360,990,2230,1011,0,0,0,155381,1429,842450,1739,S,10043,0,6,0,16,7,0,0,14,3293818880,27947,0,804155,27947,23326,5,0
2023-01-10 03:55:07.730311,1633,363,996,2234,1011,0,0,0,158111,1463,847365,1772,R,10769,0,6,0,16,7,0,0,14,3296772096,28673,0,804876,28673,24046,5,0
2023-01-10 03:55:07.990489,1667,364,1001,2237,1011,0,0,0,160539,1492,852061,1802,S,10804,0,6,0,18,7,0,0,14,3296772096,28673,1,804876,28673,24046,5,0
2023-01-10 03:55:08.253738,1692,365,1007,2238,1011,0,0,0,163128,1523,858101,1834,S,10804,0,6,0,18,7,0,0,14,3296772096,28673,1,802713,26519,21892,5,0
2023-01-10 03:55:08.506089,1726,366,1012,2238,1011,0,0,0,164247,1536,860044,1845,R,10806,0,6,0,18,7,0,0,14,3287912448,26519,1,802713,26519,21892,5,0
2023-01-10 03:55:08.780552,1745,368,1017,2239,1012,0,0,0,166931,1569,865298,1881,S,10806,0,6,0,18,7,0,0,14,3287912448,26519,0,802713,26519,21892,5,0
2023-01-10 03:55:09.301608,1805,371,1023,2239,1012,0,0,0,171301,1621,874950,1933,S,10806,0,6,0,18,7,0,0,14,3287912448,26519,0,804160,28070,23332,5,0
2023-01-10 03:55:09.051176,1777,370,1020,2239,1012,0,0,0,170581,1613,873641,1927,S,10806,0,6,0,18,7,0,0,14,3287912448,26519,0,804160,28070,23332,5,0
2023-01-10 03:55:09.551681,1882,372,1034,2239,1012,0,0,0,176642,1684,888212,2010,S,12396,0,6,0,20,8,0,0,14,3293839360,28070,0,804881,28795,24052,5,0
2023-01-10 03:55:10.072975,1899,373,1037,2239,1012,0,0,0,176486,1682,887143,2007,S,12396,0,6,0,20,8,0,0,14,3293839360,28070,0,804881,28795,24052,5,0
2023-01-10 03:55:10.333511,1920,374,1042,2239,1012,0,0,0,179039,1712,892394,2038,S,13121,0,6,0,21,8,0,0,14,3296792576,28795,0,802718,26639,21892,5,0
2023-01-10 03:55:09.817891,1899,373,1037,2239,1012,0,0,0,178197,1702,890634,2027,S,12396,0,6,0,20,8,0,0,14,3293839360,28070,0,802718,26639,21892,5,0
2023-01-10 03:55:10.599132,1991,377,1052,2239,1012,0,0,0,181799,1745,898823,2074,S,13124,0,6,0,22,8,0,0,14,3287932928,26639,0,802718,26639,21892,5,0
2023-01-10 03:55:11.115493,2023,379,1058,2239,1012,0,0,0,185969,1794,907580,2122,S,13124,0,6,0,22,8,0,0,14,3287932928,26639,0,802718,26639,21892,5,0
2023-01-10 03:55:10.859506,2046,380,1061,2239,1012,0,0,0,185969,1794,907580,2122,S,13124,0,6,0,22,8,0,0,14,3287932928,26639,0,802718,26639,21892,5,0
2023-01-10 03:55:11.391196,2055,380,1062,2239,1012,0,0,0,188399,1823,912929,2147,S,13124,0,6,0,22,8,0,0,14,3287932928,26639,0,802718,26639,21892,5,0
2023-01-10 03:55:11.906975,2089,382,1067,2239,1012,0,0,0,191289,1858,918005,2184,S,13124,0,6,0,22,8,0,0,14,3287932928,26639,0,802718,26639,21892,5,0
2023-01-10 03:55:11.646550,2084,381,1066,2239,1012,0,0,0,190703,1851,916618,2177,S,13124,0,6,0,22,8,0,0,14,3287932928,26639,0,802718,26639,21892,5,0
2023-01-10 03:55:12.157259,2112,384,1075,2239,1012,0,0,0,193965,1890,923352,2221,S,13124,0,6,0,22,8,0,0,14,3287932928,26639,0,802718,26639,21892,5,0
2023-01-10 03:55:12.428258,2132,386,1078,2253,1012,0,0,0,196431,1920,928272,2254,S,13124,0,6,0,22,8,0,0,14,3287932928,26639,0,802718,26639,21892,5,0
2023-01-10 03:55:12.693848,2154,386,1083,2268,1013,0,0,0,199119,1953,933240,2287,S,13124,0,6,0,22,8,0,0,14,3287932928,26639,0,802718,26639,21892,5,0
2023-01-10 03:55:12.959533,2181,386,1087,2275,1013,0,0,0,201627,1984,937872,2316,S,13124,0,6,0,22,8,0,0,14,3287932928,26639,0,802718,26639,21892,5,0
2023-01-10 03:55:13.195975,2205,387,1090,2290,1013,0,0,0,203847,2011,943667,2348,S,13124,0,6,0,22,8,0,0,14,3287932928,26639,0,802718,26639,21892,5,0
2023-01-10 03:55:13.470524,2230,387,1094,2293,1013,0,0,0,206115,2038,948341,2378,S,13124,0,6,0,22,8,0,0,14,3287932928,26639,0,802723,26717,21892,5,0
2023-01-10 03:55:13.994320,2315,388,1103,2304,1013,0,0,0,211320,2101,959757,2447,S,14695,0,6,0,23,9,0,0,14,3293859840,28186,0,804165,28186,23332,5,0
2023-01-10 03:55:13.751709,2272,387,1098,2303,1013,0,0,0,210918,2096,958280,2439,S,14670,0,6,0,23,9,0,0,14,3293859840,28168,0,804165,28186,23332,5,0
