#an.KhmerTranslate
#./workspace/an.KhmerTranslate_0/an.KhmerTranslate.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 23:30:04.519792,905,296,856,1771,1201,0,0,0,279936,661,674157,813,S,11766,0,5,0,24,6,0,0,22,3332603904,38079,1,813630,38079,26293,5,0
2023-01-09 23:30:04.789435,912,297,857,1771,1201,0,0,0,282927,697,682139,857,S,11776,0,5,0,34,6,0,0,22,3332636672,38079,1,815087,39564,27716,5,0
2023-01-09 23:30:05.053627,916,297,858,1771,1201,0,0,0,285228,725,688104,886,S,13247,0,5,0,41,8,0,0,22,3338579968,39526,1,815087,39564,27716,5,0
2023-01-09 23:30:05.319874,927,298,861,1771,1201,0,0,0,287718,755,691880,916,S,13973,0,5,0,45,8,0,0,22,3338596352,39564,1,815093,39662,27830,5,0
2023-01-09 23:30:05.600031,933,299,866,1772,1202,0,0,0,289802,780,696486,945,S,14009,0,7,0,49,8,0,0,22,3338604544,39693,1,815093,39691,27830,5,0
2023-01-09 23:30:05.844218,939,301,868,1774,1202,0,0,0,292514,813,701630,979,S,14046,0,7,0,52,8,0,0,22,3338620928,39691,1,815093,39691,27830,5,0
2023-01-09 23:30:06.100721,945,304,871,1793,1203,0,0,0,295178,846,706548,1012,S,14048,0,7,0,53,9,0,0,22,3338620928,39691,1,815093,39691,27830,5,0
2023-01-09 23:30:06.366132,949,304,873,1831,1203,0,0,0,297818,879,711310,1043,S,14077,0,8,0,54,9,0,0,22,3338625024,39691,1,815094,39691,27830,5,0
2023-01-09 23:30:06.616356,955,304,875,1861,1205,0,0,0,300746,916,716164,1075,S,14088,0,9,0,54,9,0,0,22,3338625024,39691,1,815094,39691,27830,5,0
2023-01-09 23:30:06.892110,962,305,878,1900,1205,0,0,0,303434,949,721289,1110,S,14289,0,9,0,55,9,0,0,22,3339018240,39826,1,815190,39826,27964,5,0
2023-01-09 23:30:07.152504,973,307,883,1925,1205,0,0,0,306254,984,726394,1145,S,14318,0,9,0,56,9,0,0,22,3339018240,39826,0,815190,39826,27964,5,0
2023-01-09 23:30:07.412877,980,307,884,1963,1205,0,0,0,308678,1013,731431,1179,S,14319,0,9,0,57,10,0,0,22,3339018240,39205,0,815190,39205,28104,5,0
2023-01-09 23:30:07.673307,989,307,888,1996,1205,0,0,0,311588,1049,736828,1217,S,14359,0,9,0,57,10,0,0,22,3339018240,39205,1,816632,40776,29544,5,0
2023-01-09 23:30:07.949053,1026,308,895,2009,1206,0,0,0,314172,1080,742981,1251,S,15965,0,10,0,59,11,0,0,22,3344924672,40776,1,814468,38675,27455,5,0
2023-01-09 23:30:08.194142,1042,309,897,2009,1206,0,0,0,315698,1098,745893,1274,S,15981,0,10,0,59,11,0,0,22,3336060928,38675,1,814468,38675,27455,5,0
2023-01-09 23:30:08.451070,1061,309,901,2015,1208,0,0,0,318164,1128,750818,1307,S,16018,0,11,0,60,11,0,0,22,3336060928,38676,1,814468,38676,27455,5,0
2023-01-09 23:30:08.716432,1063,309,903,2059,1208,0,0,0,321182,1166,755750,1339,S,16020,0,11,0,60,11,0,0,22,3336060928,38648,1,814468,38648,27455,5,0
2023-01-09 23:30:08.966848,1073,309,905,2096,1208,0,0,0,323870,1199,760682,1371,S,16021,0,11,0,60,11,0,0,22,3336060928,38648,1,814468,38648,27455,5,0
2023-01-09 23:30:09.227315,1087,310,909,2124,1208,0,0,0,326468,1231,765407,1401,D,18451,0,13,0,62,13,0,0,24,3353788416,44158,1,821325,46212,34642,5,0
2023-01-09 23:30:09.495000,1114,312,912,2124,1208,0,0,0,328802,1259,770133,1431,D,19083,0,46,0,63,14,0,0,26,3364147200,46212,1,825008,49622,37859,5,0
2023-01-09 23:30:09.745536,1128,318,919,2127,1209,0,0,0,331494,1292,774773,1460,S,21354,0,190,0,67,18,0,0,47,3399061504,52051,1,829885,52851,39267,5,0
2023-01-09 23:30:10.021581,1160,319,925,2128,1211,0,0,0,333422,1315,779323,1488,S,22006,0,206,0,71,20,0,0,47,3398684672,53397,1,829791,53701,39596,5,0
2023-01-09 23:30:10.264162,1179,322,931,2128,1216,0,0,0,335978,1346,784209,1520,S,23133,0,215,0,85,22,0,0,47,3398840320,53883,1,831961,56047,41734,5,0
2023-01-09 23:30:10.532297,1211,324,937,2128,1217,0,0,0,339129,1384,790859,1560,S,25335,0,218,0,92,23,0,0,47,3398852608,53980,0,830153,53850,39730,5,0
2023-01-09 23:30:10.792785,1237,326,943,2128,1217,0,0,0,340622,1402,793664,1581,S,25375,0,218,0,96,24,0,0,47,3400171520,54080,0,830120,53893,39771,5,0
