#an.SwahiliTranslate
#./workspace/an.SwahiliTranslate_1/an.SwahiliTranslate0089C9AD9A7CF89B4F5AAA0BCEBA6B9ED0C8A649.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 02:23:38.648867,866,302,846,2044,1136,0,0,0,299147,670,679086,788,S,12043,0,148,0,13,6,0,0,39,3363475456,45207,1,823641,46725,34922,5,0
2023-01-10 02:23:38.929716,872,303,848,2044,1136,0,0,0,301391,697,683741,816,S,13824,0,148,0,17,8,0,0,39,3373625344,46565,1,823649,46725,34922,5,0
2023-01-10 02:23:39.180514,881,304,850,2044,1136,0,0,0,303763,726,688713,849,S,13920,0,148,0,29,11,0,0,39,3373666304,46725,1,825380,48315,36356,5,0
2023-01-10 02:23:39.451185,891,306,853,2047,1137,0,0,0,306413,758,694554,878,D,16220,0,151,0,41,13,0,0,40,3380748288,48293,0,825380,48315,36356,5,0
2023-01-10 02:23:39.701397,898,306,855,2047,1137,0,0,0,308251,780,697797,903,S,16249,0,152,0,43,13,0,0,40,3380756480,48315,1,825604,49056,37090,5,0
2023-01-10 02:23:39.956986,905,306,859,2051,1137,0,0,0,310495,807,702475,933,S,16480,0,152,0,46,13,0,0,40,3381673984,49056,1,825604,48881,37143,5,0
2023-01-10 02:23:40.208133,916,307,862,2069,1137,0,0,0,313027,838,707383,965,R,16487,0,152,0,50,13,0,0,40,3381673984,48881,0,827559,50241,38845,5,0
2023-01-10 02:23:40.478825,941,307,870,2072,1139,0,0,0,315875,873,712245,997,S,18199,0,155,0,55,16,0,0,40,3389681664,50241,1,825395,48157,36734,5,0
2023-01-10 02:23:40.734133,974,309,875,2072,1139,0,0,0,317959,898,716725,1024,S,18220,0,155,0,56,16,0,0,40,3380817920,48157,1,825395,48157,36734,5,0
2023-01-10 02:23:41.005181,991,311,877,2077,1139,0,0,0,319981,922,721223,1052,S,18223,0,155,0,56,16,0,0,40,3380817920,48157,1,826116,48920,37478,5,0
2023-01-10 02:23:41.263644,1008,312,882,2094,1141,0,0,0,322603,954,726329,1087,S,19239,0,156,0,59,16,0,0,40,3383771136,49078,0,826116,49151,37511,5,0
2023-01-10 02:23:41.529251,1045,312,886,2096,1141,0,0,0,325385,988,731276,1120,R,19551,0,167,0,62,17,0,0,41,3386679296,50285,0,827907,50918,38877,5,0
2023-01-10 02:23:41.781522,1065,313,890,2102,1142,0,0,0,327421,1013,735420,1143,R,21224,0,183,0,65,18,0,0,46,3396599808,52088,1,832035,55775,42401,5,0
2023-01-10 02:23:42.062265,1101,313,897,2102,1143,0,0,0,332096,1069,744918,1199,R,25895,0,214,0,72,22,0,0,49,3415048192,57408,1,834295,58227,44735,5,0
2023-01-10 02:23:42.313277,1157,314,906,2103,1143,0,0,0,333878,1090,749574,1221,R,27270,0,214,0,75,23,0,0,48,3417272320,58207,1,834295,58223,44735,5,0
2023-01-10 02:23:42.578649,1162,314,907,2103,1143,0,0,0,332997,1080,748163,1214,S,27270,0,214,0,75,23,0,0,48,3417272320,58207,1,834295,58227,44735,5,0
2023-01-10 02:23:42.844289,1192,315,912,2103,1143,0,0,0,336390,1120,754803,1256,S,27366,0,214,0,78,24,0,0,48,3417272320,58223,1,834295,58271,44779,5,0
2023-01-10 02:23:43.094406,1215,316,917,2104,1143,0,0,0,338138,1141,757872,1281,S,27408,0,215,0,79,24,0,0,48,3417272320,58255,0,834295,58161,44796,5,0
2023-01-10 02:23:43.357094,1235,316,922,2105,1146,0,0,0,340590,1170,762640,1312,R,27601,0,216,0,82,26,0,0,48,3417272320,58162,0,834295,58206,44829,5,0
2023-01-10 02:23:43.624960,1276,317,928,2106,1148,0,0,0,342518,1193,767010,1338,S,27754,0,221,0,85,26,0,0,48,3417276416,58207,1,834650,58453,45051,5,0
2023-01-10 02:23:44.152527,1325,317,941,2111,1152,0,0,0,346414,1240,775395,1386,S,27977,0,226,0,89,27,0,0,48,3421675520,58468,0,835370,58469,45065,5,0
2023-01-10 02:23:43.887573,1303,317,933,2110,1150,0,0,0,345825,1233,773918,1378,S,27939,0,226,0,89,27,0,0,48,3421675520,58454,1,835370,58469,45065,5,0
2023-01-10 02:23:44.411114,1338,317,954,2113,1155,0,0,0,349284,1274,780756,1424,S,28036,0,226,0,90,27,0,0,48,3421675520,58469,0,835370,58469,45065,5,0
2023-01-10 02:23:44.673560,1361,318,965,2116,1165,0,0,0,353281,1323,788841,1478,S,28331,0,226,0,93,28,0,0,48,3415764992,56400,0,833927,56399,42948,5,0
2023-01-10 02:23:44.933896,1385,319,969,2117,1165,0,0,0,354126,1333,790781,1491,S,28374,0,226,0,94,28,0,0,48,3415764992,56399,0,833927,56399,42948,5,0
2023-01-10 02:23:45.193559,1404,319,973,2134,1165,0,0,0,356970,1368,796399,1528,S,28374,0,226,0,95,29,0,0,48,3415764992,56399,1,833927,56399,42948,5,0
2023-01-10 02:23:45.455670,1411,319,975,2163,1166,0,0,0,359856,1404,802005,1566,S,28387,0,226,0,96,29,0,0,48,3415764992,56399,1,833927,56399,42948,5,0
