#app.melon.magnifier
#./workspace/app.melon.magnifier_0/app.melon.magnifier.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 05:12:53.428860,932,374,871,1776,1113,0,0,0,1065185,1215,696698,878,D,19112,1676,117,0,40,13,2,0,106,3541602304,54404,1,866816,56298,43326,5,0
2023-01-10 05:12:53.706832,940,377,875,1776,1113,0,0,0,1067901,1248,701827,914,S,19720,1676,208,0,43,16,2,0,120,3558436864,57088,1,868813,57404,44317,5,0
2023-01-10 05:12:53.967471,949,378,878,1776,1113,0,0,0,1069829,1271,707445,940,S,19770,1676,213,0,43,16,2,0,121,3558658048,57404,1,870350,59772,45078,5,0
2023-01-10 05:12:54.234645,957,380,882,1776,1113,0,0,0,1072031,1297,712089,969,S,21489,1676,231,0,45,16,2,0,121,3564953600,59772,1,870868,60597,45121,5,0
2023-01-10 05:12:54.493001,965,383,885,1776,1113,0,0,0,1074251,1324,716524,996,S,22608,1676,236,0,57,21,2,0,121,3567120384,60862,1,871623,61472,45813,5,0
2023-01-10 05:12:54.770856,972,386,887,1776,1113,0,0,0,1076141,1346,721014,1022,S,23093,1676,239,0,62,23,2,0,121,3570167808,61472,1,871623,61506,45845,5,0
2023-01-10 05:12:55.026496,980,390,890,1776,1113,0,0,0,1078791,1378,725719,1052,S,23294,1676,239,0,65,23,2,0,121,3570167808,61506,1,871623,61506,45845,5,0
2023-01-10 05:12:55.295041,987,391,892,1776,1113,0,0,0,1080813,1402,729974,1077,S,23295,1676,239,0,66,25,2,0,121,3570167808,61506,1,871623,60783,45924,5,0
2023-01-10 05:12:55.548325,994,393,896,1776,1113,0,0,0,1082967,1428,734368,1103,S,23359,1676,240,0,69,25,2,0,122,3571290112,60784,1,871623,61093,46168,5,0
2023-01-10 05:12:55.803437,1022,396,903,1776,1113,0,0,0,1084961,1452,738962,1132,S,23509,1676,242,0,70,25,2,0,121,3570167808,61093,1,871623,61093,46168,5,0
2023-01-10 05:12:56.074665,1041,400,909,1776,1113,0,0,0,1087229,1479,743760,1163,S,23510,1676,242,0,71,27,2,0,121,3570167808,61093,1,871623,61093,46168,5,0
2023-01-10 05:12:56.341914,1064,409,915,1778,1114,0,0,0,1089827,1511,748510,1194,S,23527,1676,242,0,72,28,2,0,121,3570167808,61093,0,871623,61091,46168,5,0
2023-01-10 05:12:56.594776,1085,413,921,1779,1114,0,0,0,1092647,1546,753399,1226,S,23552,1676,242,0,75,28,2,0,121,3570167808,61089,1,871623,61089,46168,5,0
2023-01-10 05:12:56.865675,1107,415,926,1789,1114,0,0,0,1094915,1573,758305,1259,S,23614,1676,242,0,76,29,2,0,121,3570167808,61089,0,871687,61089,46168,5,0
