#app4813.vinebre
#./workspace/app4813.vinebre_0/app4813.vinebre.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 02:16:15.346742,962,315,847,1712,1122,0,0,0,876501,1023,663459,782,S,11920,0,3,0,41,6,0,0,16,3327332352,37838,0,813287,38762,26124,5,0
2023-01-09 02:16:15.613227,967,315,848,1712,1122,0,0,0,878169,1042,668338,801,R,12765,0,3,0,45,6,0,0,16,3330764800,38630,0,813287,38762,26124,5,0
2023-01-09 02:16:15.862954,982,315,852,1712,1122,0,0,0,879804,1061,671068,821,S,12876,0,3,0,45,6,0,0,16,3331223552,38762,0,813287,38762,26124,5,0
2023-01-09 02:16:16.115500,991,316,856,1712,1122,0,0,0,882294,1091,676922,850,S,12876,0,3,0,45,6,0,0,16,3331223552,38762,0,813403,38816,26205,5,0
2023-01-09 02:16:16.375568,995,319,860,1712,1122,0,0,0,884874,1122,683138,884,S,14060,0,3,0,49,6,0,0,16,3331698688,38816,0,813627,39602,26984,5,0
2023-01-09 02:16:16.640946,1004,320,863,1712,1124,0,0,0,887118,1149,688686,912,S,14300,0,4,0,51,7,0,0,16,3332616192,39602,0,813627,39602,26984,5,0
2023-01-09 02:16:16.892206,1011,322,866,1712,1124,0,0,0,889112,1173,692040,938,S,14302,0,4,0,51,7,0,0,16,3332616192,39602,0,813627,39602,26984,5,0
2023-01-09 02:16:17.160814,1018,326,869,1715,1125,0,0,0,891602,1203,697007,971,S,14303,0,4,0,51,8,0,0,16,3332616192,39602,0,813627,39602,26984,5,0
2023-01-09 02:16:17.407248,1023,326,872,1747,1125,0,0,0,894266,1236,701794,1002,S,14304,0,4,0,51,8,0,0,16,3332616192,39602,0,813627,39602,26984,5,0
2023-01-09 02:16:17.672697,1028,327,874,1781,1127,0,0,0,896822,1267,706917,1037,S,14332,0,5,0,52,8,0,0,16,3332616192,39602,1,813627,39602,26984,5,0
2023-01-09 02:16:17.933155,1033,328,876,1822,1127,0,0,0,899736,1303,711612,1067,S,14340,0,5,0,52,9,0,0,16,3331239936,39333,1,813291,39333,26714,5,0
2023-01-09 02:16:18.198742,1055,328,882,1832,1127,0,0,0,902268,1334,716644,1101,S,14340,0,5,0,52,9,0,0,16,3331239936,39333,1,813291,39333,26714,5,0
2023-01-09 02:16:18.464541,1086,329,887,1832,1128,0,0,0,904526,1362,721340,1131,S,14340,0,5,0,52,9,0,0,16,3331239936,39333,1,813291,39333,26714,5,0
2023-01-09 02:16:18.728816,1126,329,891,1834,1128,0,0,0,906902,1391,727206,1163,S,14340,0,5,0,52,9,0,0,16,3331239936,39333,1,812388,37720,25274,5,0
2023-01-09 02:16:19.001062,1152,330,896,1836,1128,0,0,0,909458,1422,732215,1197,S,14357,0,5,0,52,9,0,0,18,3327541248,37720,1,812388,37720,25274,5,0
2023-01-09 02:16:19.257050,1165,337,900,1839,1130,0,0,0,911612,1448,736774,1226,S,14361,0,5,0,52,9,0,0,18,3327541248,37720,1,812388,37720,25274,5,0
2023-01-09 02:16:19.516897,1184,337,902,1860,1130,0,0,0,914630,1486,741963,1262,S,14361,0,5,0,52,9,0,0,18,3327541248,37720,1,812388,37720,25274,5,0
2023-01-09 02:16:19.812126,1220,337,906,1869,1130,0,0,0,917412,1520,747104,1298,S,14361,0,5,0,52,9,0,0,18,3327541248,37720,1,812388,37720,25274,5,0
2023-01-09 02:16:20.031953,1249,337,909,1873,1130,0,0,0,919434,1544,751555,1325,S,14361,0,5,0,52,9,0,0,18,3327541248,37720,1,812388,37720,25274,5,0
2023-01-09 02:16:20.317895,1279,338,912,1875,1131,0,0,0,921876,1574,756229,1355,S,14361,0,5,0,52,9,0,0,18,3327541248,37720,1,811819,35408,25290,5,0
2023-01-09 02:16:20.564882,1308,338,917,1878,1131,0,0,0,924276,1603,761150,1388,S,14362,0,5,0,52,9,0,0,16,3325210624,35408,1,811819,35408,25290,5,0
2023-01-09 02:16:20.820916,1335,339,922,1880,1131,0,0,0,926648,1632,765986,1419,S,14362,0,5,0,52,9,0,0,16,3325210624,35408,1,811819,35408,25290,5,0
