#aws.apps.networkInfo
#./workspace/aws.apps.networkInfo_0/aws.apps.networkInfo.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 02:47:19.349512,891,300,850,1872,1135,0,0,0,96575,528,689189,767,S,2884,0,2,0,2,1,0,0,13,3286331392,26124,0,802327,26124,21438,5,0
2023-01-10 02:47:19.610287,904,300,854,1874,1135,0,0,0,99083,559,693858,797,S,3028,0,2,0,2,1,0,0,13,3286917120,26256,0,802470,26256,21569,5,0
2023-01-10 02:47:19.881167,912,300,857,1875,1135,0,0,0,101327,586,699828,826,S,3028,0,2,0,2,2,0,0,13,3286917120,26256,0,802470,26442,21742,5,0
2023-01-10 02:47:20.141434,923,305,860,1881,1135,0,0,0,103953,618,704690,858,S,3066,0,3,0,3,2,0,0,13,3286917120,26442,0,802471,26442,21742,5,0
2023-01-10 02:47:20.397879,926,308,862,1896,1135,0,0,0,106443,648,709973,894,S,3074,0,3,0,3,2,0,0,13,3286921216,26442,0,802471,26442,21742,5,0
2023-01-10 02:47:20.668484,934,309,864,1935,1135,0,0,0,109239,683,714848,926,S,3080,0,3,0,4,2,0,0,13,3286921216,26442,0,802471,26652,21919,5,0
2023-01-10 02:47:20.923878,943,311,867,1964,1136,0,0,0,112125,719,719813,959,S,3332,0,4,0,5,2,0,0,13,3287052288,26685,0,802503,27046,22235,5,0
2023-01-10 02:47:21.174027,961,312,871,1976,1137,0,0,0,114681,750,724867,993,R,3547,0,10,0,6,2,0,0,13,3287052288,27109,0,802503,27109,22280,5,0
2023-01-10 02:47:21.443928,990,312,875,1983,1137,0,0,0,116991,778,729539,1023,S,3548,0,10,0,6,2,0,0,13,3287052288,27109,0,802538,27109,22280,5,0
2023-01-10 02:47:21.699267,1009,312,878,2003,1138,0,0,0,119953,814,736043,1061,S,3730,0,10,0,8,2,0,0,13,3287052288,27196,1,802533,27196,22342,5,0
2023-01-10 02:47:21.980367,1039,313,882,2007,1138,0,0,0,121923,838,739311,1088,S,3782,0,10,0,9,2,0,0,13,3287175168,27196,1,802533,27196,22342,5,0
2023-01-10 02:47:22.231115,1063,313,886,2015,1138,0,0,0,124587,871,744189,1120,S,3813,0,10,0,9,2,0,0,13,3287175168,27196,0,802533,27196,22342,5,0
2023-01-10 02:47:22.491291,1087,313,888,2025,1138,0,0,0,126633,895,748799,1149,S,3880,0,10,0,10,3,0,0,13,3287175168,27331,0,802518,27305,22417,5,0
2023-01-10 02:47:22.751693,1119,314,892,2041,1138,0,0,0,129165,926,753541,1180,S,3994,0,10,0,11,3,0,0,13,3287175168,27312,0,802597,27312,22417,5,0
2023-01-10 02:47:23.005307,1135,314,895,2043,1138,0,0,0,131277,951,758283,1210,S,3998,0,10,0,12,3,0,0,13,3287175168,27312,0,802597,27354,22447,5,0
2023-01-10 02:47:23.256130,1175,314,901,2044,1138,0,0,0,133677,980,763068,1241,S,4004,0,10,0,12,3,0,0,13,3287437312,27354,0,802597,27354,22447,5,0
2023-01-10 02:47:23.516049,1185,315,904,2055,1140,0,0,0,136341,1013,768602,1278,S,4008,0,10,0,12,3,0,0,13,3287314432,27328,1,802597,27346,22432,5,0
2023-01-10 02:47:23.779377,1213,315,909,2069,1140,0,0,0,138831,1043,774250,1316,S,4232,0,10,0,14,3,0,0,13,3287416832,27068,0,802592,27068,22491,5,0
2023-01-10 02:47:24.044919,1246,316,914,2072,1140,0,0,0,141651,1078,779768,1352,S,4235,0,10,0,14,3,0,0,13,3287416832,27068,0,802592,27068,22491,5,0
2023-01-10 02:47:24.315529,1266,317,918,2079,1141,0,0,0,144273,1110,786064,1389,S,4239,0,10,0,15,3,0,0,13,3287416832,27068,1,802592,27096,22491,5,0
2023-01-10 02:47:24.578746,1285,317,923,2097,1141,0,0,0,146649,1139,790718,1419,S,4290,0,10,0,15,3,0,0,13,3287416832,27113,1,802592,27113,22507,5,0
2023-01-10 02:47:24.814633,1311,317,926,2105,1141,0,0,0,148869,1166,795282,1448,S,4290,0,10,0,15,3,0,0,13,3287416832,27113,1,802592,27113,22507,5,0
