#be.enternet.telemeterx
#./workspace/be.enternet.telemeterx_0/be.enternet.telemeterx.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 04:01:51.811328,940,302,845,492,987,0,0,0,510186,908,608417,865,S,4121,0,4,0,3,2,0,0,17,3295928320,26078,1,804670,26078,21097,5,0
2023-01-09 04:01:52.072510,947,303,848,492,987,0,0,0,513427,947,616215,902,S,4121,0,4,0,4,3,0,0,17,3295928320,26078,1,804670,26078,21097,5,0
2023-01-09 04:01:52.337381,953,304,849,492,987,0,0,0,515842,976,621425,935,S,4121,0,4,0,4,3,0,0,17,3295928320,26078,1,804671,26078,21097,5,0
2023-01-09 04:01:52.600667,960,306,852,493,987,0,0,0,517954,1001,625894,962,S,4141,0,6,0,4,3,0,0,17,3295932416,26078,1,804671,26078,21097,5,0
2023-01-09 04:01:52.861101,965,307,856,493,987,0,0,0,519882,1024,629041,986,S,4145,0,6,0,4,3,0,0,17,3295932416,26078,1,804671,26078,21097,5,0
2023-01-09 04:01:53.121483,972,310,860,493,988,0,0,0,522220,1052,633486,1013,S,4171,0,7,0,4,3,0,0,17,3295932416,26078,1,804671,26078,21097,5,0
2023-01-09 04:01:53.653895,984,311,865,493,988,0,0,0,525488,1091,640389,1053,S,4200,0,7,0,5,3,0,0,17,3295932416,26420,1,804671,26420,21403,5,0
2023-01-09 04:01:53.394359,982,311,864,493,988,0,0,0,525488,1091,640389,1053,S,4173,0,7,0,4,3,0,0,17,3295932416,26078,1,804671,26420,21403,5,0
2023-01-09 04:01:53.914171,994,316,872,500,995,0,0,0,528726,1130,646943,1094,S,4301,0,8,0,5,3,0,0,17,3295932416,26772,1,804671,26772,21683,5,0
2023-01-09 04:01:54.174545,1011,319,880,510,1001,0,0,0,531456,1164,651637,1124,S,4303,0,8,0,5,3,0,0,17,3295932416,26772,1,804671,26772,21683,5,0
2023-01-09 04:01:54.453830,1038,322,888,516,1003,0,0,0,533988,1195,656373,1155,S,4321,0,8,0,5,3,0,0,17,3295932416,26844,1,804671,26844,21745,5,0
2023-01-09 04:01:54.726817,1053,331,894,520,1003,0,0,0,536586,1227,661450,1190,S,4332,0,8,0,6,4,0,0,17,3295932416,26844,1,804671,26844,21745,5,0
2023-01-09 04:01:54.976004,1058,336,898,548,1003,0,0,0,539160,1259,666145,1220,S,4455,0,8,0,6,4,0,0,17,3296194560,27573,1,804735,27573,22465,5,0
