#cl.edesi.Servicios
#./workspace/cl.edesi.Servicios_0/cl.edesi.Servicios.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 04:04:19.278614,850,311,840,2002,1138,0,0,0,77546,626,647217,882,S,8238,0,192,0,8,6,0,0,37,3344117760,39212,1,816693,39423,32966,5,0
2023-01-10 04:04:19.542237,860,312,842,2002,1138,0,0,0,80012,656,651826,911,S,8283,0,194,0,9,7,0,0,37,3345174528,39423,1,817015,39714,33206,5,0
2023-01-10 04:04:19.807520,868,313,847,2002,1138,0,0,0,83012,693,658330,947,S,8369,0,204,0,10,7,0,0,37,3353640960,40477,1,818760,40477,33942,5,0
2023-01-10 04:04:20.060405,880,315,850,2004,1139,0,0,0,86442,735,665341,991,R,9478,0,208,0,13,7,0,0,37,3357642752,41623,1,819737,41774,35350,5,0
2023-01-10 04:04:20.321523,889,316,852,2005,1140,0,0,0,88346,758,668421,1014,S,9485,0,209,0,14,7,0,0,37,3357642752,41774,1,820003,41778,35350,5,0
2023-01-10 04:04:20.587804,894,323,855,2009,1140,0,0,0,90878,789,673236,1045,S,9506,0,209,0,15,7,0,0,38,3358732288,41778,1,820003,41778,35350,5,0
2023-01-10 04:04:20.852773,899,325,858,2036,1141,0,0,0,93632,823,678339,1080,S,9657,0,209,0,16,7,0,0,38,3358732288,41795,0,820003,41796,35366,5,0
2023-01-10 04:04:21.118318,905,325,860,2075,1142,0,0,0,96230,855,683155,1111,S,9910,0,210,0,17,8,0,0,38,3358732288,42067,0,820003,42067,35552,5,0
2023-01-10 04:04:21.378562,909,325,863,2113,1144,0,0,0,99050,890,688457,1149,S,9938,0,210,0,17,8,0,0,38,3358732288,42084,1,820003,42138,35617,5,0
2023-01-10 04:04:21.623754,920,326,866,2143,1144,0,0,0,101804,924,693410,1182,S,10242,0,210,0,18,8,0,0,38,3358732288,42138,1,820003,42139,35617,5,0
2023-01-10 04:04:21.901181,945,326,869,2153,1144,0,0,0,104270,954,698332,1215,R,10382,0,210,0,20,8,0,0,38,3358732288,42139,0,820003,42170,35646,5,0
2023-01-10 04:04:22.166673,949,327,872,2197,1144,0,0,0,106802,985,703149,1246,S,10590,0,210,0,21,8,0,0,38,3358732288,42186,0,820003,42186,35662,5,0
2023-01-10 04:04:22.422102,955,327,874,2237,1144,0,0,0,109424,1017,708626,1286,S,10591,0,210,0,22,9,0,0,38,3358732288,42186,1,820003,42186,35662,5,0
2023-01-10 04:04:22.682481,958,327,877,2277,1145,0,0,0,112178,1051,713557,1318,S,10620,0,211,0,22,9,0,0,38,3358732288,42202,1,820003,42202,35678,5,0
2023-01-10 04:04:22.937877,961,327,879,2319,1145,0,0,0,114800,1083,719208,1356,S,10651,0,211,0,22,9,0,0,38,3358863360,42202,1,820035,42202,35678,5,0
2023-01-10 04:04:23.213727,967,328,882,2361,1145,0,0,0,117332,1114,724740,1393,S,10679,0,211,0,22,10,0,0,38,3358863360,42202,1,820035,42202,35678,5,0
2023-01-10 04:04:23.474305,973,328,885,2399,1145,0,0,0,120086,1148,730548,1433,S,10717,0,212,0,23,10,0,0,38,3358863360,42219,1,820035,42223,35697,5,0
2023-01-10 04:04:23.734713,978,329,888,2440,1145,0,0,0,123104,1186,736913,1471,S,10828,0,212,0,24,10,0,0,38,3358863360,42239,1,820035,42221,35713,5,0
2023-01-10 04:04:23.989960,983,330,891,2476,1147,0,0,0,125504,1215,741707,1502,S,10829,0,212,0,25,10,0,0,38,3358863360,42221,1,820035,42249,35733,5,0
2023-01-10 04:04:24.245478,986,330,893,2521,1147,0,0,0,127946,1245,746297,1531,S,10829,0,212,0,25,10,0,0,38,3358863360,42249,1,820035,42249,35733,5,0
2023-01-10 04:04:24.501107,990,330,895,2559,1148,0,0,0,130634,1278,751494,1567,S,10829,0,212,0,25,10,0,0,38,3358863360,42257,0,820035,42257,35733,5,0
2023-01-10 04:04:24.772047,998,335,898,2589,1149,0,0,0,133100,1308,757722,1604,S,10840,0,212,0,26,11,0,0,38,3358863360,42257,0,820035,42257,35733,5,0
2023-01-10 04:04:25.037486,1017,342,904,2596,1149,0,0,0,135278,1334,762494,1635,S,10913,0,212,0,27,11,0,0,38,3358863360,42257,1,820035,42257,35733,5,0
2023-01-10 04:04:25.299969,1026,342,906,2606,1149,0,0,0,137720,1364,767110,1664,S,10971,0,212,0,27,12,0,0,38,3358863360,42257,0,820035,42257,35733,5,0
2023-01-10 04:04:25.555255,1035,342,909,2617,1149,0,0,0,140502,1398,772062,1697,S,11397,0,212,0,29,12,0,0,38,3359387648,42276,0,820163,42292,35763,5,0
