#cn.jnagtio.aphvebenq_l
#./workspace/cn.jnagtio.aphvebenq_l_0/app5376.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 23:20:32.065007,593,91,456,573,675,0,0,0,4576527,4821,1306022,2454,S,8348,0,326,0,14,10,0,0,40,3348471808,41427,1,817498,41427,34683,5,0
2023-01-11 23:20:32.346696,600,94,459,573,675,0,0,0,4579819,4861,1314462,2501,S,8402,0,329,0,14,10,0,0,40,3350568960,41427,1,818010,41427,34683,5,0
2023-01-11 23:20:32.612289,606,96,462,573,675,0,0,0,4585068,4916,1331309,2559,S,8402,0,329,0,14,10,0,0,40,3350568960,41427,1,818712,41952,35041,5,0
2023-01-11 23:20:32.877698,615,98,464,573,675,0,0,0,4589046,4965,1345181,2610,S,8673,0,330,0,15,10,0,0,42,3353444352,41952,1,818712,41952,35041,5,0
2023-01-11 23:20:33.138716,623,98,468,573,675,0,0,0,4591134,4990,1348733,2636,S,8673,0,330,0,15,10,0,0,42,3353444352,41952,1,818712,41952,35041,5,0
2023-01-11 23:20:33.402997,633,99,471,573,675,0,0,0,4593998,5025,1355033,2678,S,8673,0,330,0,15,10,0,0,42,3353444352,41952,1,818712,41952,35041,5,0
2023-01-11 23:20:33.676258,639,103,473,573,675,0,0,0,4635240,5137,1395793,2792,S,8680,0,330,0,15,11,0,0,42,3353444352,41952,1,818712,42044,35073,5,0
2023-01-11 23:20:33.939620,655,104,479,573,675,0,0,0,4679164,5229,1410222,2876,S,8738,0,331,0,16,11,0,0,42,3353444352,42044,1,819202,42855,35817,5,0
2023-01-11 23:20:34.202473,662,108,486,573,684,0,0,0,4691661,5300,1438039,2953,S,9040,0,332,0,17,11,0,0,43,3355451392,42855,1,819714,43169,35954,5,0
2023-01-11 23:20:34.462454,673,118,496,583,688,0,0,0,4771108,5424,1466673,3049,D,9819,0,348,0,21,11,0,0,45,3360006144,43840,0,820479,43670,36348,5,0
2023-01-11 23:20:34.702931,684,128,505,584,689,0,0,0,4786753,5489,1477522,3112,S,10123,0,351,0,23,12,0,0,50,3365150720,43796,0,821841,43897,36437,5,0
2023-01-11 23:20:34.958407,710,134,512,584,689,0,0,0,4791526,5546,1486977,3174,S,10487,0,351,0,25,12,0,0,52,3367489536,43902,0,822653,44096,36570,5,0
2023-01-11 23:20:35.239006,730,139,518,584,689,0,0,0,4793808,5574,1492035,3205,S,10591,0,355,0,26,13,0,0,52,3369586688,44096,0,822653,44176,36586,5,0
2023-01-11 23:20:35.484252,749,146,524,585,689,0,0,0,4798802,5634,1504332,3266,S,10675,0,358,0,28,13,0,0,52,3369553920,44213,0,822659,44213,36606,5,0
2023-01-11 23:20:35.750040,781,147,532,585,690,0,0,0,4802034,5673,1513591,3312,S,10756,0,358,0,30,14,0,0,52,3369742336,44239,0,822691,44239,36645,5,0
2023-01-11 23:20:36.006006,806,149,537,585,690,0,0,0,4804742,5706,1518588,3347,S,10757,0,358,0,30,14,0,0,52,3369742336,44239,0,822691,44239,36645,5,0
2023-01-11 23:20:36.264837,821,154,543,585,690,0,0,0,4808234,5749,1525727,3391,S,10816,0,358,0,31,14,0,0,52,3369742336,44239,0,822691,44196,36645,5,0
2023-01-11 23:20:36.530124,839,164,548,588,690,0,0,0,4813360,5813,1537989,3462,S,10816,0,358,0,31,14,0,0,52,3369742336,44196,0,822691,44119,36640,5,0
2023-01-11 23:20:36.785473,849,166,551,618,690,0,0,0,4817389,5863,1558817,3515,S,10923,0,358,0,32,14,0,0,52,3369742336,44119,1,822691,44202,36655,5,0
2023-01-11 23:20:37.064114,862,168,556,640,691,0,0,0,4822863,5906,1565418,3562,S,10981,0,363,0,33,14,0,0,52,3369742336,44202,1,822691,44202,36655,5,0
2023-01-11 23:20:37.324506,868,168,559,683,692,0,0,0,4826241,5948,1572132,3608,S,11011,0,363,0,34,15,0,0,52,3369955328,44204,1,822743,44204,36655,5,0
2023-01-11 23:20:37.579801,873,169,561,722,692,0,0,0,4830021,5995,1580002,3661,S,11023,0,363,0,34,15,0,0,52,3369955328,44204,0,822743,44204,36655,5,0
2023-01-11 23:20:37.835101,878,169,564,758,692,0,0,0,4832775,6029,1585324,3699,S,11024,0,363,0,35,15,0,0,52,3369955328,44204,1,822743,44204,36655,5,0
2023-01-11 23:20:38.116281,887,169,567,800,692,0,0,0,4836711,6078,1596482,3758,S,11033,0,363,0,35,15,0,0,52,3369955328,44204,1,822743,44305,36786,5,0
2023-01-11 23:20:38.357253,903,178,575,808,693,0,0,0,4840785,6128,1606570,3808,S,11055,0,363,0,36,15,0,0,52,3369955328,44305,1,822743,44305,36786,5,0
2023-01-11 23:20:38.623851,927,178,580,810,694,0,0,0,4847073,6204,1620872,3880,S,11056,0,363,0,36,15,0,0,52,3369955328,44305,1,822743,44305,36786,5,0
2023-01-11 23:20:38.883023,955,182,589,810,694,0,0,0,4851654,6260,1633987,3942,S,11064,0,363,0,37,15,0,0,52,3369955328,44305,0,822715,44288,36758,5,0
2023-01-11 23:20:39.128392,986,184,599,810,694,0,0,0,4853426,6281,1638357,3966,S,11065,0,363,0,38,15,0,0,52,3369840640,44288,0,822715,44288,36758,5,0
2023-01-11 23:20:39.394010,1002,187,603,812,696,0,0,0,4855538,6306,1643527,3999,S,11066,0,363,0,38,15,0,0,52,3369840640,44288,0,822715,44273,36755,5,0
2023-01-11 23:20:39.659827,1030,189,609,816,696,0,0,0,4858902,6347,1650282,4041,S,11080,0,363,0,40,16,0,0,52,3369840640,44273,0,822715,44273,36755,5,0
2023-01-11 23:20:39.920777,1057,194,615,816,696,0,0,0,4861416,6377,1656766,4077,S,11092,0,363,0,41,16,0,0,52,3369840640,44273,0,822715,44273,36755,5,0
2023-01-11 23:20:40.179795,1075,200,621,816,696,0,0,0,4889288,6420,1664347,4121,S,11250,0,363,0,42,16,0,0,52,3369840640,44381,0,822715,44381,36813,5,0
2023-01-11 23:20:40.442673,1086,205,628,832,698,0,0,0,4927629,6480,1669815,4163,S,11264,0,363,0,43,16,0,0,52,3369840640,44381,1,822715,44381,36813,5,0
2023-01-11 23:20:40.703024,1107,205,632,853,698,0,0,0,4930185,6511,1676715,4198,S,11264,0,363,0,43,16,0,0,52,3369840640,44381,1,822715,44381,36813,5,0
2023-01-11 23:20:40.965544,1136,205,636,858,698,0,0,0,4934235,6561,1685397,4250,D,11296,0,365,0,44,16,0,0,52,3369869312,44415,1,822720,44429,36829,5,0
2023-01-11 23:20:41.211415,1168,206,643,858,698,0,0,0,4936943,6594,1691491,4290,S,11313,0,365,0,44,16,0,0,52,3369861120,44429,1,822720,44429,36829,5,0
