#com.Beauty.Leg
#./workspace/com.Beauty.Leg_0/app3652.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 22:55:53.082326,832,149,569,1998,690,0,0,0,3340545,4260,1493566,2853,S,9305,0,64,0,8,4,0,0,18,3314618368,31061,1,809233,30874,24340,5,0
2023-01-11 22:55:53.341097,844,152,574,1998,690,0,0,0,3427202,4425,1540063,2973,S,9336,0,65,0,10,5,0,0,18,3314618368,30579,1,809233,30588,24341,5,0
2023-01-11 22:55:53.612635,857,153,580,1998,690,0,0,0,3431260,4467,1549617,3024,S,9345,0,65,0,10,5,0,0,18,3314618368,30588,1,809233,30588,24341,5,0
2023-01-11 22:55:53.890356,865,157,585,1998,690,0,0,0,3437256,4531,1570832,3096,S,9357,0,65,0,10,5,0,0,18,3314618368,30588,1,808685,30822,24552,5,0
2023-01-11 22:55:54.160494,869,160,591,1998,690,0,0,0,3441306,4581,1579578,3149,S,9358,0,65,0,10,5,0,0,16,3312373760,30822,1,808685,30822,24552,5,0
2023-01-11 22:55:54.412217,876,165,596,1998,690,0,0,0,3453101,4664,1600339,3243,S,10378,0,66,0,11,6,0,0,17,3316420608,31832,1,807606,29789,23247,5,0
2023-01-11 22:55:54.667662,909,169,605,1998,690,0,0,0,3459635,4718,1612286,3306,S,10606,0,66,0,13,6,0,0,17,3307954176,29789,1,807606,29789,23247,5,0
2023-01-11 22:55:54.937799,911,169,605,1998,690,0,0,0,3460474,4728,1613877,3315,S,10606,0,66,0,13,6,0,0,17,3307954176,29789,1,807606,29789,23247,5,0
2023-01-11 22:55:55.202049,921,175,614,1998,690,0,0,0,3571721,4860,1626230,3396,S,10606,0,66,0,13,6,0,0,17,3307954176,29789,1,807606,29789,23247,5,0
2023-01-11 22:55:55.469441,941,184,626,1998,690,0,0,0,3849453,5091,1639137,3538,S,10606,0,66,0,13,6,0,0,17,3307954176,29789,1,807606,29789,23247,5,0
2023-01-11 22:55:55.732299,951,197,633,1998,690,0,0,0,4089111,5293,1649797,3645,S,10606,0,66,0,13,6,0,0,17,3307954176,29789,1,807606,29789,23247,5,0
2023-01-11 22:55:56.003455,972,213,644,1999,690,0,0,0,4708071,5786,1668157,3789,S,11785,0,66,0,14,6,0,0,17,3313004544,30905,1,808839,30905,23906,5,0
2023-01-11 22:55:56.251148,993,218,652,2001,690,0,0,0,5095521,6092,1678952,3888,S,11985,0,66,0,14,6,0,0,17,3313004544,31181,1,808839,31181,23983,5,0
2023-01-11 22:55:56.518238,1008,225,663,2003,690,0,0,0,5698812,6568,1695026,4026,S,12406,0,71,0,17,6,0,0,17,3315101696,31839,1,809351,31839,24352,5,0
2023-01-11 22:55:56.772029,1032,232,674,2005,690,0,0,0,5995058,6801,1702239,4090,S,12413,0,71,0,17,6,0,0,17,3315101696,31839,1,809351,31839,24352,5,0
