#com.GoldDream.TingTing08i
#./workspace/com.GoldDream.TingTing08i_1/app911.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 05:07:07.635590,951,322,897,1582,1294,0,0,0,3290201,2965,669247,1156,D,8713,0,173,0,9,7,0,0,36,3343663104,38557,0,821242,45219,35316,5,0
2023-01-09 05:07:07.906365,965,323,903,1582,1294,0,0,0,3293976,3011,676461,1200,S,12248,0,218,0,13,10,0,0,38,3363807232,45219,0,821242,45219,35316,5,0
2023-01-09 05:07:08.171352,968,323,904,1582,1294,0,0,0,3295005,3023,678221,1211,S,12250,0,218,0,13,10,0,0,38,3363807232,45219,0,821242,45219,35316,5,0
2023-01-09 05:07:08.418352,975,324,907,1582,1294,0,0,0,3297377,3052,682971,1242,S,12270,0,218,0,13,10,0,0,38,3363807232,45219,0,822338,45592,35644,5,0
2023-01-09 05:07:08.691351,982,325,910,1582,1294,0,0,0,3299957,3083,689343,1276,S,12379,0,229,0,14,11,0,0,40,3367313408,45752,0,822098,45752,35740,5,0
2023-01-09 05:07:08.957148,990,329,913,1583,1295,0,0,0,3302537,3114,694458,1310,S,12390,0,229,0,14,11,0,0,40,3367313408,45752,0,822098,45752,35740,5,0
2023-01-09 05:07:09.206687,996,332,916,1597,1295,0,0,0,3305291,3148,699472,1344,S,12399,0,229,0,14,11,0,0,40,3367313408,45752,0,822098,45752,35740,5,0
2023-01-09 05:07:09.472418,1003,333,919,1622,1296,0,0,0,3307889,3180,704241,1375,S,12409,0,229,0,15,11,0,0,40,3367313408,45752,0,822098,46000,35942,5,0
2023-01-09 05:07:09.717338,1008,334,921,1644,1297,0,0,0,3310223,3208,709034,1406,S,12538,0,239,0,15,12,0,0,40,3367313408,46382,0,822056,46389,36213,5,0
2023-01-09 05:07:09.988224,1038,334,926,1653,1300,0,0,0,3312821,3240,713894,1438,S,12650,0,239,0,15,12,0,0,40,3367141376,46389,0,822056,46389,36213,5,0
2023-01-09 05:07:10.246811,1064,334,930,1665,1300,0,0,0,3315287,3270,718778,1470,S,12884,0,239,0,16,12,0,0,40,3367272448,46430,1,822088,46430,36243,5,0
2023-01-09 05:07:10.496846,1084,335,935,1669,1300,0,0,0,3317399,3295,723545,1501,R,13058,0,241,0,16,12,0,0,40,3367272448,46714,0,822713,47252,37182,5,0
2023-01-09 05:07:10.772616,1107,336,940,1677,1301,0,0,0,3319643,3322,728183,1530,S,14342,0,245,0,19,12,0,0,40,3370356736,47286,0,822841,47286,37214,5,0
2023-01-09 05:07:11.019897,1131,336,943,1685,1301,0,0,0,3321887,3349,732950,1561,R,14343,0,245,0,21,12,0,0,40,3370356736,47286,0,822841,47286,37214,5,0
2023-01-09 05:07:11.285295,1146,336,945,1707,1301,0,0,0,3324575,3382,738032,1596,S,14394,0,245,0,22,12,0,0,40,3370487808,47286,1,822873,47286,37214,5,0
2023-01-09 05:07:11.540661,1148,336,948,1752,1302,0,0,0,3327461,3418,743096,1630,S,14394,0,245,0,22,12,0,0,40,3370487808,47286,1,822873,47286,37214,5,0
2023-01-09 05:07:11.806085,1150,337,950,1795,1302,0,0,0,3330257,3453,747890,1661,S,14394,0,245,0,22,12,0,0,40,3370487808,47286,1,822873,47266,37214,5,0
2023-01-09 05:07:12.051314,1156,338,953,1828,1305,0,0,0,3332879,3485,753284,1700,S,14395,0,245,0,22,13,0,0,40,3370487808,47266,0,822873,47266,37214,5,0
2023-01-09 05:07:12.316824,1162,338,955,1873,1305,0,0,0,3335699,3520,758300,1734,S,14395,0,245,0,22,13,0,0,40,3370487808,47266,0,822873,47266,37214,5,0
2023-01-09 05:07:12.567617,1166,341,957,1905,1305,0,0,0,3338165,3550,763292,1768,S,14395,0,245,0,22,13,0,0,40,3370487808,47266,0,822873,47266,37214,5,0
2023-01-09 05:07:12.838054,1170,341,959,1954,1305,0,0,0,3341117,3587,768657,1806,S,14395,0,245,0,23,13,0,0,40,3370487808,47266,0,822873,47266,37214,5,0
2023-01-09 05:07:13.088248,1171,341,961,1996,1307,0,0,0,3343739,3619,773578,1839,S,14395,0,245,0,23,13,0,0,40,3370487808,47266,0,822873,47266,37214,5,0
2023-01-09 05:07:13.348966,1176,342,963,2039,1307,0,0,0,3346229,3649,779099,1875,S,14395,0,245,0,23,13,0,0,40,3370487808,47266,0,822873,47266,37214,5,0
2023-01-09 05:07:13.614396,1182,350,967,2063,1308,0,0,0,3348827,3681,784555,1910,S,14405,0,246,0,23,13,0,0,40,3370487808,47266,0,822873,47266,37214,5,0
2023-01-09 05:07:13.876775,1196,351,971,2069,1311,0,0,0,3351269,3711,789873,1944,S,14408,0,246,0,23,13,0,0,40,3370487808,47266,0,822865,47377,37315,5,0
2023-01-09 05:07:14.142740,1207,351,974,2077,1311,0,0,0,3353763,3741,795790,1977,S,14409,0,246,0,23,13,0,0,40,3370455040,47377,0,822865,47417,37347,5,0
2023-01-09 05:07:14.403069,1228,352,980,2080,1311,0,0,0,3355691,3764,800448,2007,S,14519,0,246,0,23,13,0,0,40,3370455040,47417,0,822865,47417,37347,5,0
2023-01-09 05:07:14.663616,1245,352,983,2084,1311,0,0,0,3357893,3790,805112,2036,S,14519,0,246,0,23,14,0,0,40,3370455040,47417,0,822865,47417,37347,5,0
2023-01-09 05:07:14.936702,1257,352,986,2115,1311,0,0,0,3360515,3822,810178,2070,S,14519,0,246,0,23,14,0,0,40,3370455040,47417,0,822865,47417,37347,5,0
2023-01-09 05:07:15.202316,1260,352,987,2159,1311,0,0,0,3363335,3857,816413,2106,S,14624,0,246,0,23,14,0,0,40,3370455040,47450,0,822865,47450,37379,5,0
2023-01-09 05:07:15.462468,1264,352,990,2201,1311,0,0,0,3365825,3887,821545,2141,S,14628,0,246,0,24,14,0,0,40,3370455040,47450,1,822865,44438,37377,5,0
2023-01-09 05:07:15.728028,1288,353,993,2221,1311,0,0,0,3367937,3912,826383,2173,S,14910,0,246,0,24,14,0,0,40,3370455040,44438,1,822865,44438,37377,5,0
2023-01-09 05:07:15.988393,1297,357,995,2249,1312,0,0,0,3370535,3944,831179,2204,S,14926,0,246,0,24,14,0,0,40,3370455040,44438,0,822865,44446,37377,5,0
2023-01-09 05:07:16.238801,1323,357,1001,2257,1312,0,0,0,3373157,3976,836156,2237,S,15085,0,246,0,25,14,0,0,40,3370455040,44446,0,823023,44593,37518,5,0
