#com.SnCLaBs.GPSTracker
#./workspace/com.SnCLaBs.GPSTracker_0/com.SnCLaBs.GPSTracker.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 05:03:14.888342,740,324,817,1810,1092,0,0,0,902884,1232,689344,978,S,13020,0,5,0,36,7,0,0,15,3326820352,38454,0,812212,38454,27149,5,0
2023-01-10 05:03:15.153931,748,329,823,1811,1094,0,0,0,905794,1268,695449,1012,D,13434,0,5,0,39,7,0,0,16,3326308352,38564,0,811827,38906,27124,5,0
2023-01-10 05:03:15.404409,762,332,825,1812,1094,0,0,0,908194,1297,700209,1043,R,14211,0,6,0,49,7,0,0,16,3326509056,39447,0,814222,41227,27666,5,0
2023-01-10 05:03:15.689181,788,336,832,1817,1094,0,0,0,910403,1323,705028,1075,R,18293,0,7,0,72,10,0,0,18,3336884224,41689,0,814673,41754,28109,5,0
2023-01-10 05:03:15.944978,813,336,837,1820,1094,0,0,0,912983,1354,710160,1109,S,18750,0,7,0,81,10,0,0,18,3338723328,42150,0,815532,42776,29249,5,0
2023-01-10 05:03:16.204119,838,336,841,1827,1094,0,0,0,915605,1386,715195,1143,S,19532,0,9,0,83,12,0,0,19,3336093696,41719,1,814476,41719,28151,5,0
2023-01-10 05:03:16.465246,863,337,847,1838,1095,0,0,0,918137,1417,720072,1175,R,19898,0,10,0,85,12,0,0,19,3336114176,41754,0,814481,41754,28183,5,0
2023-01-10 05:03:16.711356,891,338,851,1847,1095,0,0,0,920471,1445,724952,1207,S,20389,0,12,0,90,13,0,0,19,3336114176,41690,1,814529,41949,28323,5,0
2023-01-10 05:03:16.977023,907,338,856,1853,1095,0,0,0,923093,1477,729964,1241,S,20750,0,13,0,99,13,0,0,19,3336654848,42015,0,814613,42015,28377,5,0
2023-01-10 05:03:17.226849,936,338,860,1860,1095,0,0,0,925157,1502,734305,1267,S,20750,0,13,0,113,14,0,0,19,3336146944,41919,0,814530,41605,28358,5,0
2023-01-10 05:03:17.487175,966,339,865,1864,1095,0,0,0,927401,1529,738916,1296,S,20914,0,13,0,118,16,0,0,19,3336654848,41226,0,814613,40532,28491,5,0
2023-01-10 05:03:17.758138,985,339,869,1873,1095,0,0,0,929777,1558,743437,1324,S,20977,0,14,0,122,17,0,0,19,3336654848,40532,1,814489,40408,28368,5,0
2023-01-10 05:03:18.012906,999,339,872,1893,1095,0,0,0,932309,1589,748294,1356,S,21014,0,14,0,123,18,0,0,19,3336146944,40408,1,814493,41136,28368,5,0
2023-01-10 05:03:18.290929,1023,339,876,1916,1096,0,0,0,935313,1626,753464,1392,S,21995,0,14,0,145,19,0,0,19,3336171520,41136,0,814495,41136,28368,5,0
2023-01-10 05:03:18.546252,1055,339,879,1919,1096,0,0,0,937557,1653,758139,1422,R,22007,0,14,0,161,20,0,0,19,3336171520,40981,1,814495,40554,28384,5,0
2023-01-10 05:03:18.815694,1085,340,883,1921,1096,0,0,0,939909,1682,762967,1454,S,22414,0,14,0,171,21,0,0,19,3336716288,40817,1,814502,40944,28422,5,0
2023-01-10 05:03:19.071239,1125,340,890,1924,1096,0,0,0,942153,1709,768469,1479,S,22929,0,14,0,184,23,0,0,19,3336200192,40944,1,814502,40944,28422,5,0
2023-01-10 05:03:19.331593,1142,340,892,1925,1097,0,0,0,943523,1725,771159,1499,S,22933,0,14,0,185,23,0,0,19,3336200192,40944,1,814502,40944,28422,5,0
2023-01-10 05:03:19.585733,1163,340,897,1932,1097,0,0,0,945611,1750,776579,1535,S,22933,0,14,0,185,23,0,0,19,3336200192,40944,0,814502,40944,28422,5,0
2023-01-10 05:03:19.872025,1188,341,901,1956,1097,0,0,0,948119,1781,782535,1576,S,23803,0,14,0,194,25,0,0,19,3337433088,41634,1,814803,41634,28826,5,0
2023-01-10 05:03:20.122202,1209,343,905,1957,1097,0,0,0,950519,1810,788826,1615,S,23803,0,14,0,201,25,0,0,19,3337433088,41634,0,814502,41034,28536,5,0
2023-01-10 05:03:20.375374,1228,347,912,1961,1097,0,0,0,952961,1840,793989,1647,S,23808,0,14,0,203,26,0,0,19,3336200192,41034,0,814502,41025,28536,5,0
2023-01-10 05:03:20.644725,1254,347,915,1974,1097,0,0,0,955115,1866,798512,1675,S,23808,0,14,0,220,26,0,0,19,3336200192,41015,0,814502,41015,28536,5,0
2023-01-10 05:03:20.915732,1268,347,917,1998,1098,0,0,0,957449,1894,803306,1706,S,23808,0,14,0,221,26,0,0,19,3336200192,41015,0,814502,40779,28536,5,0
2023-01-10 05:03:21.165905,1282,348,921,2018,1098,0,0,0,959981,1925,809426,1741,S,24426,0,14,0,226,27,0,0,19,3337433088,41322,0,814803,41322,28795,5,0
2023-01-10 05:03:21.438109,1309,351,926,2022,1098,0,0,0,962183,1951,814221,1772,S,24426,0,14,0,228,28,0,0,19,3337433088,41322,0,815074,41759,29154,5,0
2023-01-10 05:03:21.700909,1340,356,934,2028,1098,0,0,0,964521,1979,819046,1804,S,24538,0,14,0,238,29,0,0,20,3337310208,41517,0,814773,41517,28911,5,0
2023-01-10 05:03:21.964251,1353,356,937,2032,1098,0,0,0,966765,2006,823793,1835,S,24538,0,14,0,238,29,0,0,20,3337310208,41517,0,814773,41517,28911,5,0
2023-01-10 05:03:22.212164,1379,357,943,2037,1098,0,0,0,969617,2041,828600,1866,S,25196,0,14,0,244,30,0,0,20,3338403840,42117,0,814766,41900,28937,5,0
