#com.aacbrands.trigger
#./workspace/com.aacbrands.trigger_0/com.aacbrands.trigger.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 04:40:25.557592,947,378,894,1668,1171,0,0,0,859839,1079,676391,888,S,17396,0,2,0,39,4,0,0,16,3353939968,42421,1,819350,42792,25066,5,0
2023-01-10 04:40:25.817589,959,379,896,1668,1171,0,0,0,862551,1112,682759,924,S,17772,0,2,0,46,5,0,0,16,3356057600,42792,1,819354,42873,25082,5,0
2023-01-10 04:40:26.088571,961,379,898,1668,1171,0,0,0,865013,1142,687727,956,S,17846,0,2,0,48,6,0,0,16,3356073984,42873,1,819356,42937,25082,5,0
2023-01-10 04:40:26.346540,970,382,900,1668,1171,0,0,0,868796,1188,694629,997,S,20263,0,2,0,70,7,0,0,16,3364966400,45241,1,821525,44683,27242,5,0
2023-01-10 04:40:26.606924,983,383,902,1668,1171,0,0,0,870605,1210,698591,1018,S,20640,0,2,0,71,7,0,0,16,3364966400,44932,1,821527,44667,27242,5,0
2023-01-10 04:40:26.869441,1000,383,905,1668,1171,0,0,0,874431,1255,706007,1063,S,20753,0,2,0,72,8,0,0,16,3364974592,44667,1,821531,44939,27242,5,0
2023-01-10 04:40:27.390109,1012,383,908,1668,1171,0,0,0,876690,1282,711580,1093,S,21056,0,2,0,75,8,0,0,16,3364982784,44876,1,822314,45394,27242,5,0
2023-01-10 04:40:27.130716,1000,383,905,1668,1171,0,0,0,875017,1262,707394,1070,S,20823,0,2,0,72,8,0,0,16,3364974592,44711,1,820876,43973,25802,5,0
2023-01-10 04:40:27.640226,1022,383,912,1668,1171,0,0,0,879649,1317,716878,1130,S,21569,0,2,0,80,9,0,0,16,3367096320,45394,1,821100,44550,26573,5,0
2023-01-10 04:40:27.921734,1030,384,915,1668,1171,0,0,0,881080,1334,719341,1148,S,21583,0,2,0,89,11,0,0,17,3362308096,43773,1,821100,44550,26573,5,0
2023-01-10 04:40:28.171616,1037,385,917,1668,1171,0,0,0,883608,1365,724304,1181,S,21813,0,2,0,92,12,0,0,17,3363225600,44550,1,821100,44550,26573,5,0
2023-01-10 04:40:28.446912,1054,387,921,1688,1171,0,0,0,886248,1398,729002,1211,S,21813,0,2,0,92,12,0,0,17,3363225600,44550,1,821100,44550,26573,5,0
2023-01-10 04:40:28.726258,1084,387,926,1696,1171,0,0,0,888492,1425,733610,1240,S,21813,0,2,0,92,12,0,0,17,3363225600,44550,1,821100,44550,26573,5,0
2023-01-10 04:40:28.976683,1104,388,930,1709,1171,0,0,0,891319,1460,738407,1271,R,21819,0,2,0,93,12,0,0,17,3363356672,44550,1,821132,42248,26573,5,0
2023-01-10 04:40:29.247324,1136,388,934,1715,1171,0,0,0,893521,1486,742973,1299,S,21819,0,2,0,95,12,0,0,17,3363356672,42248,1,821132,42248,26573,5,0
2023-01-10 04:40:29.494622,1153,388,938,1726,1173,0,0,0,896053,1517,748133,1335,S,21819,0,2,0,95,12,0,0,17,3363356672,42248,1,821132,42318,26604,5,0
2023-01-10 04:40:29.760087,1184,389,943,1735,1173,0,0,0,898543,1547,753219,1369,R,21851,0,3,0,98,12,0,0,17,3363356672,42318,1,821134,43005,26604,5,0
2023-01-10 04:40:30.068102,1221,389,948,1736,1173,0,0,0,901760,1586,760564,1414,S,22726,0,3,0,103,12,0,0,17,3363373056,43005,1,821149,43159,26604,5,0
2023-01-10 04:40:30.303812,1241,390,952,1738,1173,0,0,0,903659,1609,765494,1443,S,22950,0,3,0,113,12,0,0,17,3363426304,43337,1,821149,43110,26773,5,0
2023-01-10 04:40:30.570076,1268,392,956,1738,1173,0,0,0,905185,1627,769041,1470,S,23156,0,3,0,114,13,0,0,17,3363426304,43110,1,821149,43110,26773,5,0
2023-01-10 04:40:30.825780,1288,394,962,1743,1174,0,0,0,907585,1656,775224,1506,S,23165,0,3,0,114,13,0,0,17,3363426304,43110,1,821149,43110,26773,5,0
2023-01-10 04:40:31.086119,1311,394,965,1761,1175,0,0,0,909739,1682,779746,1534,S,23242,0,3,0,121,13,0,0,17,3363426304,42852,0,821149,42919,26873,5,0
2023-01-10 04:40:31.331501,1351,395,971,1764,1175,0,0,0,912431,1715,784670,1567,S,23270,0,3,0,128,13,0,0,17,3363426304,42919,1,821149,42919,26873,5,0
2023-01-10 04:40:31.597839,1361,395,974,1769,1175,0,0,0,914581,1741,789150,1594,S,23273,0,3,0,128,14,0,0,17,3363426304,42919,1,821149,42919,26873,5,0
2023-01-10 04:40:31.845933,1372,395,977,1793,1176,0,0,0,917269,1774,795645,1634,S,23281,0,3,0,129,14,0,0,17,3363426304,42919,1,821149,42919,26873,5,0
2023-01-10 04:40:32.106566,1379,395,980,1833,1176,0,0,0,919669,1803,800527,1666,S,23282,0,3,0,130,14,0,0,17,3363426304,42919,0,821149,42919,26873,5,0
2023-01-10 04:40:32.372074,1388,396,982,1865,1176,0,0,0,922621,1840,805631,1701,S,23288,0,3,0,132,14,0,0,17,3363426304,42919,1,821149,42921,26873,5,0
2023-01-10 04:40:32.637486,1404,396,986,1895,1176,0,0,0,925375,1874,810669,1735,S,23352,0,3,0,141,15,0,0,17,3363426304,42466,1,821149,42466,26873,5,0
2023-01-10 04:40:32.903072,1422,400,989,1907,1177,0,0,0,928105,1908,815791,1771,S,23367,0,3,0,142,15,0,0,17,3363426304,42466,0,821139,42470,26873,5,0
2023-01-10 04:40:33.163471,1446,407,996,1912,1178,0,0,0,930547,1938,820247,1798,S,23448,0,3,0,144,15,0,0,17,3363385344,42470,1,821139,42470,26873,5,0
2023-01-10 04:40:33.421845,1481,407,1001,1915,1178,0,0,0,933013,1968,825280,1833,S,23465,0,3,0,147,16,0,0,17,3363385344,42470,1,821139,42470,26873,5,0
2023-01-10 04:40:33.690788,1502,407,1004,1917,1178,0,0,0,935281,1995,830181,1866,S,23466,0,3,0,148,16,0,0,17,3363385344,42470,1,821139,42605,26950,5,0
2023-01-10 04:40:33.915471,1526,408,1008,1924,1178,0,0,0,937459,2021,836119,1899,S,23475,0,4,0,148,16,0,0,17,3363385344,42605,0,821139,42605,26950,5,0
2023-01-10 04:40:34.183033,1546,408,1011,1941,1178,0,0,0,940081,2053,841092,1932,S,23475,0,4,0,148,16,0,0,17,3363385344,42605,1,821139,42605,26950,5,0
2023-01-10 04:40:34.448691,1558,409,1015,1970,1178,0,0,0,942679,2085,846045,1965,S,23568,0,7,0,151,17,0,0,17,3363385344,43020,0,821139,43020,27296,5,0
