#com.ad3ieh
#./workspace/com.ad3ieh_0/com.ad3ieh.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 04:57:05.790497,874,305,862,1859,1161,0,0,0,980887,1411,695109,1074,S,18751,1658,39,0,27,10,1,1,81,3501707264,52456,0,854911,52517,39558,5,0
2023-01-10 04:57:05.524960,872,305,862,1859,1161,0,0,0,981199,1415,696298,1078,S,18751,1658,39,0,27,10,1,1,81,3501707264,52456,0,854911,52520,39558,5,0
2023-01-10 04:57:06.051348,883,305,866,1859,1161,0,0,0,983949,1448,701516,1099,S,18751,1658,39,0,28,10,1,1,81,3501707264,52316,0,854913,52520,39558,5,0
2023-01-10 04:57:06.301923,890,306,869,1859,1161,0,0,0,985466,1466,705463,1119,S,19066,1658,39,0,31,10,1,1,81,3501715456,52520,0,854913,52582,39558,5,0
2023-01-10 04:57:06.567423,903,306,871,1859,1161,0,0,0,988017,1496,710320,1151,S,19146,1658,39,0,34,10,1,1,81,3501723648,52582,0,854921,52611,39558,5,0
2023-01-10 04:57:06.838796,909,307,873,1859,1161,0,0,0,989789,1517,714197,1170,S,19202,1658,39,0,39,11,1,1,81,3501756416,52611,0,859748,55444,42160,5,0
2023-01-10 04:57:07.072888,917,307,875,1859,1161,0,0,0,991788,1541,718415,1195,S,19212,1658,39,0,44,12,1,1,81,3501772800,52611,0,862448,57329,43983,5,0
2023-01-10 04:57:07.350966,929,308,878,1860,1161,0,0,0,993564,1562,721281,1217,R,20423,1658,143,0,45,14,1,1,89,3525816320,55900,0,864641,58328,45004,5,0
2023-01-10 04:57:07.620301,939,309,882,1860,1161,0,0,0,997717,1613,728848,1265,S,21143,1658,212,0,48,18,1,1,102,3541569536,58328,1,865325,60332,46128,5,0
2023-01-10 04:57:07.877301,941,310,882,1860,1161,0,0,0,998652,1624,731756,1275,S,23058,1658,218,0,51,19,1,1,102,3544367104,59240,1,865325,60332,46128,5,0
2023-01-10 04:57:08.156216,954,311,887,1860,1161,0,0,0,1001412,1657,737047,1311,S,23489,1658,237,0,52,20,1,1,102,3544371200,60332,1,865325,60334,46128,5,0
2023-01-10 04:57:08.416714,962,312,890,1860,1161,0,0,0,1003614,1683,741503,1338,S,23524,1658,237,0,52,21,1,1,102,3544371200,60334,1,865711,60597,46359,5,0
2023-01-10 04:57:08.676768,973,314,894,1860,1161,0,0,0,1004894,1698,743875,1354,S,23592,1658,243,0,53,21,1,1,102,3545686016,60334,1,865711,60597,46359,5,0
2023-01-10 04:57:08.943057,982,314,897,1860,1161,0,0,0,1007318,1727,749039,1390,S,23615,1658,246,0,53,22,1,1,102,3545952256,60597,1,865711,60564,46359,5,0
2023-01-10 04:57:09.227084,989,316,901,1860,1161,0,0,0,1010493,1765,756093,1431,S,23615,1658,246,0,53,22,1,1,102,3545952256,60564,1,865711,60564,46359,5,0
2023-01-10 04:57:09.473916,996,317,904,1860,1161,0,0,0,1012260,1786,760484,1457,S,23616,1658,246,0,53,22,1,1,102,3545952256,60564,1,865711,60460,46407,5,0
