#com.agewap.ero.gallery
#./workspace/com.agewap.ero.gallery_0/app3651.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 04:08:07.869223,1497,309,888,1152,736,0,0,0,438262,801,703875,929,S,3054,0,5,0,4,2,0,0,12,3288633344,24726,0,802889,24726,19540,5,0
2023-01-11 04:08:08.135053,1509,310,891,1152,736,0,0,0,440010,822,708104,953,S,3054,0,5,0,4,2,0,0,12,3288633344,24726,0,802889,24726,19540,5,0
2023-01-11 04:08:08.393338,1516,310,893,1152,736,0,0,0,441720,842,711840,972,S,3054,0,5,0,4,2,0,0,12,3288633344,24726,0,802889,24726,19540,5,0
2023-01-11 04:08:08.663760,1519,311,895,1152,736,0,0,0,444177,872,718306,1011,S,3054,0,5,0,4,2,0,0,12,3288633344,24726,0,802889,24726,19540,5,0
2023-01-11 04:08:08.926185,1527,312,899,1152,736,0,0,0,445769,891,721117,1033,S,3054,0,5,0,4,2,0,0,12,3288633344,24726,0,802889,24726,19540,5,0
2023-01-11 04:08:09.189939,1535,314,903,1152,736,0,0,0,448623,925,726953,1071,S,3054,0,5,0,4,2,0,0,12,3288633344,24726,0,802889,24726,19540,5,0
2023-01-11 04:08:09.440237,1539,315,906,1152,736,0,0,0,451269,957,733971,1107,S,3054,0,5,0,4,2,0,0,12,3288633344,24726,0,802889,24726,19540,5,0
2023-01-11 04:08:09.718519,1553,316,910,1152,736,0,0,0,453045,978,736806,1129,S,3054,0,5,0,4,2,0,0,12,3288633344,24726,0,802889,24726,19540,5,0
2023-01-11 04:08:09.956747,1566,317,917,1152,736,0,0,0,455704,1010,741539,1158,S,3054,0,5,0,4,2,0,0,12,3288633344,24726,0,802889,24726,19540,5,0
2023-01-11 04:08:10.483135,1617,320,924,1152,736,0,0,0,459653,1057,752192,1215,S,3054,0,5,0,4,2,0,0,12,3288633344,24726,0,802889,24726,19540,5,0
2023-01-11 04:08:10.229514,1617,320,924,1152,736,0,0,0,460329,1065,753633,1222,S,3054,0,5,0,4,2,0,0,12,3288633344,24726,0,802889,24726,19540,5,0
2023-01-11 04:08:10.733582,1619,322,927,1152,736,0,0,0,462201,1087,757564,1244,S,3054,0,5,0,4,2,0,0,12,3288633344,24726,0,802921,24726,19540,5,0
2023-01-11 04:08:11.009210,1625,323,932,1152,736,0,0,0,464162,1111,760861,1271,S,3054,0,5,0,4,2,0,0,12,3288633344,24726,0,802921,24726,19540,5,0
2023-01-11 04:08:11.274153,1635,330,944,1152,736,0,0,0,466430,1138,765715,1303,S,3063,0,5,0,4,2,0,0,12,3288764416,24726,0,-1,-1,-1,-1,-1
2023-01-11 04:08:11.526379,1667,333,952,1152,736,0,0,0,472715,1213,777448,1375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 04:08:12.052112,1677,334,955,1152,736,0,0,0,473935,1228,780939,1393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 04:08:11.796863,1677,334,955,1152,736,0,0,0,474125,1230,781005,1394,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 04:08:12.307596,1679,334,956,1152,736,0,0,0,474125,1230,781005,1394,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 04:08:12.566955,1682,335,962,1152,736,0,0,0,478555,1282,791613,1446,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 04:08:12.829920,1685,337,967,1152,736,0,0,0,479991,1299,794271,1467,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 04:08:13.100222,1687,339,973,1152,736,0,0,0,483963,1347,805559,1523,S,6319,0,4,0,156,142,0,0,15,3286237184,23820,1,802304,23886,19580,5,0
2023-01-11 04:08:13.353729,1692,342,979,1152,736,0,0,0,488611,1404,823885,1587,S,6372,0,4,0,159,145,0,0,15,3286237184,23886,1,802304,23886,19580,5,0
2023-01-11 04:08:13.634554,1702,344,982,1152,736,0,0,0,490973,1432,828627,1618,S,6385,0,4,0,160,146,0,0,15,3286237184,23886,1,802304,23892,19580,5,0
2023-01-11 04:08:13.883307,1723,344,987,1152,736,0,0,0,493156,1458,833345,1649,S,6462,0,4,0,162,148,0,0,15,3286237184,23892,1,802304,23892,19580,5,0
2023-01-11 04:08:14.143654,1724,345,988,1152,736,0,0,0,494965,1480,837510,1673,S,6480,0,4,0,163,149,0,0,15,3286237184,23892,1,802304,23892,19580,5,0
2023-01-11 04:08:14.399220,1726,346,991,1152,736,0,0,0,496959,1504,840948,1702,S,6502,0,4,0,164,150,0,0,15,3286237184,23892,1,802304,23958,19580,5,0
2023-01-11 04:08:14.680095,1737,350,998,1152,736,0,0,0,503373,1580,855639,1783,S,6580,0,4,0,168,154,0,0,15,3286237184,23869,1,802304,23933,19580,5,0
