#com.alan.siwameinv1
#./workspace/com.alan.siwameinv1_0/app885.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 12:18:03.803955,785,113,490,1306,946,0,0,0,34773550,23905,731673,1482,S,5155,0,119,0,4,2,0,0,15,1133899776,27323,1,276831,27323,21715,5,0
2023-01-11 12:18:04.085297,797,115,493,1306,946,0,0,0,34777226,23950,740319,1530,S,5155,0,119,0,4,2,0,0,15,1133899776,27323,1,276831,27323,21715,5,0
2023-01-11 12:18:04.345937,809,117,495,1306,946,0,0,0,34778440,23964,742653,1546,S,5155,0,119,0,4,2,0,0,15,1133899776,27323,1,276831,27323,21715,5,0
2023-01-11 12:18:04.611268,813,121,498,1306,946,0,0,0,34781374,24000,748347,1587,S,5155,0,119,0,4,2,0,0,15,1133899776,27323,1,276831,27323,21715,5,0
2023-01-11 12:18:04.870966,819,126,501,1307,946,0,0,0,34784222,24035,753291,1620,S,5155,0,119,0,4,2,0,0,15,1133899776,27323,1,276831,27323,21715,5,0
2023-01-11 12:18:05.138383,826,128,503,1307,946,0,0,0,34786084,24057,758181,1648,S,5155,0,119,0,4,2,0,0,15,1133899776,27323,1,276831,27323,21715,5,0
2023-01-11 12:18:05.393785,830,132,506,1307,946,0,0,0,34788418,24085,763691,1684,D,5171,0,119,0,4,2,0,0,15,1133899776,27440,1,277553,28261,22585,5,0
2023-01-11 12:18:05.658183,837,135,510,1309,947,0,0,0,34791717,24126,770812,1727,S,5942,0,126,0,5,3,0,0,15,1136857088,28261,1,278274,29051,23352,5,0
2023-01-11 12:18:05.917910,849,140,513,1309,947,0,0,0,34794651,24162,777291,1765,S,6667,0,127,0,6,3,0,0,15,1139810304,29051,1,278274,29051,23352,5,0
2023-01-11 12:18:06.174116,857,147,517,1309,947,0,0,0,34796753,24188,780562,1792,S,6685,0,128,0,8,3,0,0,15,1139810304,29160,1,278274,29391,23644,5,0
2023-01-11 12:18:06.434680,878,161,525,1309,947,0,0,0,34798997,24215,785062,1819,S,6876,0,129,0,11,3,0,0,15,1139810304,29407,1,278274,29407,23659,5,0
2023-01-11 12:18:06.687536,893,171,531,1309,947,0,0,0,34802115,24253,793112,1864,S,6877,0,129,0,13,3,0,0,15,1139810304,29407,1,278402,29432,23672,5,0
2023-01-11 12:18:06.948060,912,182,538,1309,947,0,0,0,34804359,24280,797787,1894,S,6901,0,130,0,16,3,0,0,15,1140334592,29432,1,278402,29469,23701,5,0
2023-01-11 12:18:07.200604,931,186,543,1309,947,0,0,0,34806263,24303,800879,1919,S,6901,0,130,0,17,4,0,0,15,1140334592,29469,1,278402,29469,23701,5,0
2023-01-11 12:18:07.456946,949,197,549,1309,947,0,0,0,34809399,24342,807306,1957,S,6925,0,130,0,18,4,0,0,15,1140334592,29469,1,278402,29470,23701,5,0
2023-01-11 12:18:07.718435,963,209,556,1309,947,0,0,0,34811393,24366,810500,1982,S,6946,0,130,0,20,4,0,0,15,1140334592,29470,1,278434,29470,23701,5,0
2023-01-11 12:18:07.988691,987,220,566,1309,947,0,0,0,34814019,24398,815469,2016,S,6953,0,131,0,21,4,0,0,15,1140465664,29470,1,278434,29470,23701,5,0
2023-01-11 12:18:08.244615,1010,225,574,1309,947,0,0,0,34816641,24430,820557,2051,S,6992,0,131,0,23,4,0,0,15,1140465664,29470,1,278434,29470,23701,5,0
2023-01-11 12:18:08.510446,1022,237,581,1309,947,0,0,0,34818815,24456,825259,2081,S,6993,0,131,0,23,4,0,0,15,1140465664,29470,1,278434,29923,24056,5,0
2023-01-11 12:18:08.761139,1047,256,590,1310,947,0,0,0,34822122,24496,833259,2125,S,7386,0,154,0,26,4,0,0,15,1141252096,30461,1,278434,30292,24392,5,0
2023-01-11 12:18:09.022002,1052,259,592,1310,947,0,0,0,34824078,24519,837559,2150,S,7388,0,154,0,27,5,0,0,15,1140465664,30292,1,278434,30292,24392,5,0
2023-01-11 12:18:09.282196,1083,265,601,1310,947,0,0,0,34826142,24544,841835,2175,S,7391,0,154,0,28,5,0,0,15,1140465664,30292,1,278434,30292,24392,5,0
2023-01-11 12:18:09.540549,1101,270,610,1310,947,0,0,0,34827885,24565,845691,2194,S,7391,0,154,0,29,5,0,0,15,1140465664,30292,1,278434,30292,24392,5,0
2023-01-11 12:18:09.798410,1117,273,621,1310,947,0,0,0,34830015,24591,848759,2219,S,7391,0,156,0,30,5,0,0,15,1140465664,30292,1,278434,30292,24392,5,0
2023-01-11 12:18:10.071620,1128,283,632,1310,947,0,0,0,34832363,24620,853438,2249,S,7391,0,156,0,30,5,0,0,15,1140465664,30292,1,278434,30292,24392,5,0
2023-01-11 12:18:10.331752,1145,292,644,1310,947,0,0,0,34834853,24650,858239,2280,S,7391,0,156,0,33,5,0,0,15,1140465664,30292,1,278434,30292,24392,5,0
2023-01-11 12:18:10.608301,1160,298,653,1310,947,0,0,0,34837499,24682,863238,2314,S,7393,0,157,0,33,5,0,0,15,1140465664,30292,1,278434,30292,24392,5,0
2023-01-11 12:18:10.838999,1168,318,663,1311,947,0,0,0,34840107,24713,869594,2350,S,7393,0,157,0,33,5,0,0,15,1140465664,30292,1,278434,30292,24392,5,0
2023-01-11 12:18:11.103459,1181,328,672,1311,947,0,0,0,34841817,24733,872530,2373,S,7394,0,157,0,36,6,0,0,15,1140465664,30292,1,278434,30292,24392,5,0
2023-01-11 12:18:11.361223,1208,332,682,1311,947,0,0,0,34843905,24758,877050,2401,D,7400,0,158,0,37,6,0,0,15,1140465664,30292,1,278434,30292,24392,5,0
