#com.alan.weather
#./workspace/com.alan.weather_0/app5317.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 16:11:56.943445,842,149,543,1990,837,0,0,0,868321,1923,771266,1731,S,5069,729,109,0,6,4,0,0,19,1136545792,27638,1,277477,27638,23009,5,0
2023-01-11 16:11:57.225362,854,151,547,1991,837,0,0,0,870773,1952,777606,1768,S,5069,729,109,0,7,4,0,0,19,1136545792,27638,1,277477,27638,23009,5,0
2023-01-11 16:11:57.470527,865,153,548,1991,837,0,0,0,873523,1986,782700,1801,S,5069,729,111,0,7,5,0,0,19,1136545792,27638,1,277477,27638,23009,5,0
2023-01-11 16:11:57.750136,881,155,553,1996,838,0,0,0,876103,2017,788353,1838,S,5082,729,112,0,7,5,0,0,19,1136545792,27638,1,277477,27638,23009,5,0
2023-01-11 16:11:57.999559,885,155,555,2024,838,0,0,0,878659,2048,794000,1876,S,5091,729,112,0,7,5,0,0,19,1136545792,27638,1,277477,27639,23010,5,0
2023-01-11 16:11:58.258119,889,155,558,2062,838,0,0,0,881482,2082,799785,1915,S,5094,729,113,0,8,5,0,0,19,1136545792,27639,1,277802,28882,24140,5,0
2023-01-11 16:11:58.533707,892,155,560,2108,839,0,0,0,883948,2112,806036,1952,S,5570,729,115,0,9,5,0,0,19,1137876992,28883,0,277802,28883,24140,5,0
2023-01-11 16:11:58.783959,894,155,562,2150,839,0,0,0,886702,2146,811359,1990,S,5570,729,115,0,9,5,0,0,19,1137876992,28883,0,277802,28883,24140,5,0
2023-01-11 16:11:59.050830,897,155,564,2189,840,0,0,0,889342,2179,816125,2021,S,5571,729,115,0,10,5,0,0,19,1137876992,28883,1,277802,28883,24140,5,0
2023-01-11 16:11:59.311316,901,155,566,2236,840,0,0,0,892096,2213,821755,2062,S,5573,729,115,0,10,5,0,0,19,1137876992,28883,0,277802,28883,24140,5,0
2023-01-11 16:11:59.568801,904,155,568,2275,840,0,0,0,895048,2250,826851,2097,S,5573,729,115,0,11,5,0,0,19,1137876992,28883,1,277802,28883,24140,5,0
2023-01-11 16:11:59.825702,908,155,570,2317,840,0,0,0,898000,2287,832523,2135,S,5640,729,115,0,11,5,0,0,19,1137876992,28883,1,277802,28883,24140,5,0
