#com.allen.mp
#./workspace/com.allen.mp_0/app295.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 03:35:01.112449,878,211,666,2182,826,0,0,0,186624,565,745465,791,S,2861,0,103,0,5,5,0,0,11,1118932992,24008,0,273177,24008,19918,5,0
2023-01-11 03:35:01.383197,887,214,669,2182,826,0,0,0,188934,593,750003,819,S,2897,0,103,0,8,5,0,0,11,1118932992,24008,0,273177,24008,19918,5,0
2023-01-11 03:35:01.653286,894,217,672,2182,826,0,0,0,191688,627,756173,851,S,2897,0,103,0,8,5,0,0,11,1118932992,24008,0,273423,24211,20069,5,0
2023-01-11 03:35:01.929852,914,221,677,2183,826,0,0,0,195963,679,765950,914,S,3059,0,104,0,11,5,0,0,11,1119940608,24240,0,273335,23924,19727,5,0
2023-01-11 03:35:02.174224,917,221,678,2183,826,0,0,0,198061,704,770031,939,S,3082,0,104,0,11,5,0,0,11,1119940608,24240,0,273335,23924,19727,5,0
2023-01-11 03:35:02.429682,929,223,684,2183,826,0,0,0,200457,733,775186,973,S,3119,0,108,0,12,6,0,0,12,1119580160,23924,0,273335,23924,19727,5,0
2023-01-11 03:35:02.690351,933,223,687,2183,826,0,0,0,202881,762,779852,1005,S,3119,0,108,0,12,6,0,0,12,1119580160,23924,0,273335,23924,19727,5,0
2023-01-11 03:35:02.955800,938,225,692,2183,826,0,0,0,204308,779,782742,1027,S,3139,0,108,0,13,6,0,0,12,1119580160,23924,0,273335,23924,19727,5,0
2023-01-11 03:35:03.206094,942,227,697,2183,827,0,0,0,206424,804,787301,1056,S,3146,0,108,0,13,6,0,0,12,1119580160,23924,0,273336,24384,20105,5,0
2023-01-11 03:35:03.456485,951,229,704,2183,834,0,0,0,209202,838,793647,1092,S,3241,0,110,0,13,6,0,0,12,1119584256,24384,1,273528,25149,20864,5,0
2023-01-11 03:35:03.722185,960,233,714,2183,834,0,0,0,211540,866,798225,1121,R,3241,0,110,0,13,6,0,0,12,1119584256,24384,1,273528,25149,20864,5,0
2023-01-11 03:35:03.982438,1015,236,731,2184,835,0,0,0,215234,910,808081,1175,S,3327,0,110,0,15,6,0,0,12,1120370688,25149,0,273560,25149,20864,5,0
2023-01-11 03:35:04.237982,1013,235,730,2184,835,0,0,0,214676,903,805174,1164,S,3327,0,110,0,15,6,0,0,12,1120370688,25149,0,273560,25149,20864,5,0
2023-01-11 03:35:04.520663,1027,241,741,2184,835,0,0,0,217508,937,811638,1205,S,3334,0,110,0,15,7,0,0,12,1120501760,25149,0,273560,25149,20864,5,0
