#com.android.bartender
#./workspace/com.android.bartender_1/com.android.bartender6adf5a8299656f54c4854a1058f3b36fa123c704.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 02:31:25.993856,910,330,891,1844,1262,0,0,0,420811,749,627452,765,S,14753,0,176,0,15,10,0,0,37,3363590144,47821,1,822427,48786,36339,5,0
2023-01-10 02:31:26.264673,920,331,894,1844,1262,0,0,0,425364,804,636740,820,S,15819,1522,176,1,33,16,0,1,37,3370672128,48917,1,830495,56760,40604,5,0
2023-01-10 02:31:26.506527,923,331,895,1844,1262,0,0,0,426140,813,639725,829,S,20686,1522,195,1,38,17,0,1,40,3395047424,53773,1,830495,56760,40604,5,0
2023-01-10 02:31:26.772042,933,331,897,1844,1262,0,0,0,427624,830,643223,844,S,23099,1522,214,1,47,20,0,1,40,3401707520,56760,1,830495,56760,40604,5,0
2023-01-10 02:31:27.042747,942,331,901,1844,1262,0,0,0,430525,865,649149,886,S,23122,1522,214,1,47,20,0,1,40,3401707520,56760,1,830979,57239,41104,5,0
2023-01-10 02:31:27.303716,948,332,904,1844,1262,0,0,0,431644,878,650854,897,S,23632,1522,214,1,48,21,0,1,40,3403665408,57222,1,831272,57486,41344,5,0
2023-01-10 02:31:27.545263,959,337,907,1846,1262,0,0,0,434716,915,657868,938,S,23976,1522,224,1,63,24,0,1,42,3408195584,57486,1,831935,57876,41688,5,0
2023-01-10 02:31:27.803975,965,337,908,1846,1262,0,0,0,436554,937,660988,963,S,24202,1522,225,1,68,26,0,1,42,3407605760,57876,1,831935,57876,41688,5,0
2023-01-10 02:31:28.078583,973,338,912,1847,1263,0,0,0,438666,962,665247,987,S,24207,1522,225,1,75,26,0,1,42,3407605760,57876,0,831935,57876,41688,5,0
2023-01-10 02:31:28.328976,984,339,916,1854,1263,0,0,0,441354,995,670154,1019,S,24225,1522,226,1,87,30,0,1,42,3407605760,57394,1,831935,57394,41688,5,0
2023-01-10 02:31:28.592692,989,339,918,1862,1263,0,0,0,443910,1026,674972,1050,S,24249,1522,227,1,96,31,0,1,42,3407605760,57394,0,831935,57394,41688,5,0
2023-01-10 02:31:28.863210,1005,340,922,1866,1263,0,0,0,446088,1052,679498,1078,S,24250,1522,227,1,105,31,0,1,42,3407605760,57394,1,831935,56947,41688,5,0
2023-01-10 02:31:29.132787,1016,340,924,1872,1263,0,0,0,449692,1097,686729,1125,S,24336,1522,227,1,121,33,0,1,42,3407605760,57012,1,831935,57012,41688,5,0
2023-01-10 02:31:29.388184,1021,341,926,1872,1263,0,0,0,451662,1121,689805,1149,R,24336,1522,227,1,124,33,0,1,42,3407605760,57012,0,831935,57022,41688,5,0
2023-01-10 02:31:29.640395,1033,342,928,1877,1263,0,0,0,455125,1163,697077,1193,R,24411,1522,227,1,145,35,0,1,42,3407605760,57033,1,831935,57006,41688,5,0
2023-01-10 02:31:29.900846,1048,342,931,1877,1263,0,0,0,456126,1175,698903,1205,S,24445,1522,227,1,149,35,0,1,42,3407605760,57022,0,831935,56998,41688,5,0
2023-01-10 02:31:30.152341,1059,343,933,1880,1263,0,0,0,458620,1205,703617,1235,S,24482,1522,227,1,160,39,0,1,42,3407605760,56892,1,831935,56860,41688,5,0
2023-01-10 02:31:30.422894,1074,343,937,1883,1263,0,0,0,461299,1237,710110,1273,R,24513,1522,227,1,178,41,0,1,42,3407605760,56860,0,831935,56860,41688,5,0
2023-01-10 02:31:30.673266,1086,344,939,1885,1263,0,0,0,462726,1254,713075,1296,S,24514,1522,227,1,184,42,0,1,42,3407605760,56860,1,831935,56878,41688,5,0
2023-01-10 02:31:30.919433,1096,344,942,1899,1263,0,0,0,465196,1284,717759,1326,S,24518,1522,227,1,198,43,0,1,42,3407605760,56877,1,831935,56872,41688,5,0
2023-01-10 02:31:31.194576,1105,344,943,1901,1263,0,0,0,467020,1305,722107,1352,S,24519,1522,227,1,209,45,0,1,42,3407605760,56872,1,831935,56872,41688,5,0
2023-01-10 02:31:31.460498,1114,344,946,1902,1263,0,0,0,468882,1327,726527,1378,S,24522,1522,227,1,215,46,0,1,42,3407605760,56872,0,831935,56872,41688,5,0
2023-01-10 02:31:31.751491,1130,345,948,1915,1263,0,0,0,471504,1359,731596,1412,S,24522,1522,227,1,224,46,0,1,42,3407605760,56872,0,831935,56853,41688,5,0
2023-01-10 02:31:32.006787,1140,345,951,1930,1263,0,0,0,473814,1387,736257,1442,S,24528,1522,227,1,237,47,0,1,42,3407605760,56853,1,831935,56778,41704,5,0
2023-01-10 02:31:32.262673,1149,346,954,1934,1265,0,0,0,475992,1413,741098,1474,S,24593,1522,227,1,243,48,0,1,42,3407605760,56778,0,831935,56778,41704,5,0
2023-01-10 02:31:32.522692,1161,346,956,1943,1265,0,0,0,478080,1438,745627,1502,S,24595,1522,227,1,252,48,0,1,42,3407605760,56778,1,831935,56778,41704,5,0
2023-01-10 02:31:32.778122,1178,346,959,1948,1265,0,0,0,480390,1466,750486,1534,S,24605,1522,227,1,265,51,0,1,42,3407605760,56786,1,831935,56785,41704,5,0
2023-01-10 02:31:33.058045,1191,346,961,1957,1265,0,0,0,483541,1504,757773,1578,S,24629,1522,227,1,280,53,0,1,42,3407605760,56802,0,831935,56899,41771,5,0
2023-01-10 02:31:33.323908,1198,346,964,1960,1265,0,0,0,484968,1521,760882,1599,S,24632,1522,227,1,289,55,0,1,42,3407605760,56899,1,831935,56899,41771,5,0
2023-01-10 02:31:33.596831,1209,347,967,1961,1265,0,0,0,487302,1549,765969,1634,S,24632,1522,227,1,292,55,0,1,42,3407605760,56899,1,831940,56899,41771,5,0
2023-01-10 02:31:33.857228,1217,351,970,1967,1265,0,0,0,489678,1578,772651,1673,S,24665,1522,227,1,304,57,0,1,42,3407626240,56901,0,831940,56941,41833,5,0
2023-01-10 02:31:34.375486,1235,352,976,1969,1266,0,0,0,493726,1626,780859,1719,R,24776,1522,227,1,320,59,0,1,42,3407626240,56941,1,831942,57693,41834,5,0
2023-01-10 02:31:34.107578,1226,352,973,1968,1266,0,0,0,492385,1610,778744,1706,S,24775,1522,227,1,312,58,0,1,42,3407626240,56941,0,831940,57513,41834,5,0
2023-01-10 02:31:34.644084,1244,352,979,1970,1266,0,0,0,496014,1653,785492,1745,S,25778,1522,228,1,327,60,0,1,42,3407634432,57693,0,831946,57899,41834,5,0
2023-01-10 02:31:34.910339,1253,352,982,1972,1266,0,0,0,498917,1688,792090,1787,S,26084,1522,228,1,342,60,0,1,42,3407650816,57899,1,831946,57898,41834,5,0
2023-01-10 02:31:35.170820,1276,352,986,1974,1266,0,0,0,501407,1718,798051,1818,S,26088,1522,228,1,361,60,0,1,42,3407650816,57898,1,831946,57898,41834,5,0
2023-01-10 02:31:35.427567,1286,352,988,1974,1266,0,0,0,503023,1737,801016,1841,S,26088,1522,228,1,363,61,0,1,42,3407650816,57898,1,831946,57072,41834,5,0
2023-01-10 02:31:35.688555,1297,352,992,1989,1266,0,0,0,506117,1775,807559,1879,S,26090,1522,228,1,379,63,0,1,42,3407650816,57072,0,831946,57088,41850,5,0
2023-01-10 02:31:35.964551,1308,352,994,1993,1266,0,0,0,507893,1796,810302,1899,S,26122,1522,228,1,385,64,0,1,42,3407650816,57088,0,831946,57088,41850,5,0
2023-01-10 02:31:36.211752,1324,354,998,1996,1266,0,0,0,510585,1829,815210,1932,S,26122,1522,228,1,401,67,0,1,42,3407650816,57077,0,831946,57071,41850,5,0
2023-01-10 02:31:36.477328,1340,355,1001,1996,1266,0,0,0,514033,1870,825168,1984,S,26130,1522,228,1,413,70,0,1,42,3407650816,57071,0,831946,57071,41850,5,0
2023-01-10 02:31:36.732625,1342,355,1002,1996,1266,0,0,0,514279,1873,826489,1990,S,26130,1522,228,1,415,70,0,1,42,3407650816,57071,0,831946,57071,41850,5,0
2023-01-10 02:31:36.993087,1349,356,1003,1996,1266,0,0,0,516803,1903,831243,2020,S,26131,1522,228,1,423,71,0,1,42,3407650816,57071,0,831946,57071,41850,5,0
2023-01-10 02:31:37.277673,1354,357,1006,1996,1266,0,0,0,518641,1925,834520,2047,S,26131,1522,228,1,425,71,0,1,42,3407650816,57071,0,831946,57071,41850,5,0
