#com.android.installer.full
#./workspace/com.android.installer.full_2/app1121.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 23:06:30.594099,742,103,491,1472,681,0,0,0,423902,1772,1356949,2139,S,3243,0,11,0,4,2,0,0,13,3283443712,22084,1,801622,22084,16466,5,0
2023-01-11 23:06:30.869601,750,107,494,1472,681,0,0,0,428562,1829,1371691,2203,S,3281,0,11,0,4,2,0,0,14,3284533248,22090,1,801888,22090,16466,5,0
2023-01-11 23:06:31.135075,761,109,496,1472,681,0,0,0,430736,1855,1376565,2232,S,3283,0,11,0,4,2,0,0,14,3284533248,22090,1,801888,22090,16466,5,0
2023-01-11 23:06:31.384479,769,110,499,1472,681,0,0,0,437104,1907,1389819,2285,S,3283,0,11,0,4,2,0,0,14,3284533248,22090,1,801888,22090,16466,5,0
2023-01-11 23:06:31.655265,783,114,504,1472,681,0,0,0,442504,1974,1406343,2353,S,3283,0,11,0,4,2,0,0,14,3284533248,22090,1,-1,-1,-1,-1,-1
2023-01-11 23:06:31.910574,794,116,507,1472,681,0,0,0,447558,2034,1415689,2413,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 23:06:32.166450,805,118,511,1472,681,0,0,0,453601,2109,1439037,2491,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 23:06:32.424384,815,119,514,1472,681,0,0,0,456624,2146,1445300,2532,S,87475,0,204,0,133,71,0,0,43,3602694144,74904,1,879564,74904,39635,5,0
2023-01-11 23:06:32.685720,817,123,517,1472,681,0,0,0,523115,2253,1466441,2629,S,87486,0,204,0,133,72,0,0,44,3603783680,74906,1,879830,74825,39635,5,0
2023-01-11 23:06:32.946078,838,126,522,1473,681,0,0,0,524887,2274,1469584,2653,S,87486,0,204,0,134,73,0,0,44,3603783680,74825,1,879830,74825,39635,5,0
2023-01-11 23:06:33.206918,848,130,524,1473,681,0,0,0,528767,2321,1480930,2701,S,87486,0,204,0,135,73,0,0,44,3603783680,74825,1,880342,74890,39649,5,0
