#com.android.nmh.reader
#./workspace/com.android.nmh.reader_1/app277.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-12 00:05:59.981819,717,188,585,2104,672,0,0,0,43341488,31606,2115129,4647,S,3654,0,24,0,3,1,0,0,13,3291049984,26355,0,803479,26355,21523,5,0
2023-01-12 00:06:00.266775,728,193,593,2113,673,0,0,0,43345472,31655,2125308,4700,S,3669,0,24,0,3,1,0,0,13,3291049984,26505,0,803479,26505,21664,5,0
2023-01-12 00:06:00.513746,732,197,597,2124,682,0,0,0,43350236,31714,2139140,4766,R,4989,0,32,0,4,2,0,0,14,3294367744,29129,0,805119,30349,24293,5,0
2023-01-12 00:06:00.776976,743,200,604,2127,684,0,0,0,43361972,31817,2173834,4877,S,5979,0,40,0,5,2,0,0,14,3297767424,30349,0,804289,29554,23494,5,0
2023-01-12 00:06:01.054148,754,202,610,2127,684,0,0,0,43367606,31887,2188538,4951,S,5982,0,40,0,6,2,0,0,14,3294367744,29554,0,804289,29554,23494,5,0
2023-01-12 00:06:01.319871,758,206,614,2127,684,0,0,0,43374718,31980,2258808,5059,S,5982,0,40,0,6,2,0,0,14,3294367744,29554,0,804289,29554,23494,5,0
2023-01-12 00:06:01.584518,764,212,619,2128,685,0,0,0,43477334,32113,2272858,5145,S,5999,0,40,0,6,2,0,0,14,3294367744,29555,0,804289,29555,23495,5,0
2023-01-12 00:06:01.835919,777,217,627,2132,689,0,0,0,43487249,32238,2334437,5292,S,6052,0,42,0,7,2,0,0,14,3294371840,29857,0,804290,29960,23835,5,0
2023-01-12 00:06:02.091163,781,219,631,2132,698,0,0,0,43497077,32307,2346783,5359,S,6096,0,42,0,8,2,0,0,14,3294371840,29960,0,804290,29960,23835,5,0
2023-01-12 00:06:02.358802,791,226,639,2143,699,0,0,0,43506915,32379,2385819,5436,R,6989,0,45,0,9,3,0,0,15,3303882752,30130,0,808075,33452,25878,5,0
