#com.android.vending.sectool.v1
#./workspace/com.android.vending.sectool.v1_0/app5461.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 16:13:45.792974,858,142,552,1176,773,0,0,0,511225,1584,763180,1640,S,1979,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:46.058480,869,142,554,1176,773,0,0,0,511693,1590,763965,1647,S,1979,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:46.314387,879,143,556,1176,773,0,0,0,513064,1606,768002,1662,S,1979,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:46.585172,890,143,559,1176,773,0,0,0,516709,1649,776341,1701,S,1979,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:46.840544,895,144,562,1176,773,0,0,0,517332,1656,777818,1709,S,1979,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:47.112318,899,149,566,1177,774,0,0,0,522095,1712,785807,1769,S,2037,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:47.369649,906,155,570,1177,775,0,0,0,525786,1756,793611,1819,S,2037,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:47.624812,911,156,572,1177,775,0,0,0,526565,1765,795154,1828,S,2037,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:47.889620,917,160,576,1178,775,0,0,0,534309,1803,800964,1869,S,2037,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:48.150728,927,164,577,1181,775,0,0,0,538369,1845,806814,1906,S,2037,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:48.412007,938,168,581,1187,775,0,0,0,540943,1877,811414,1935,S,2037,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:48.667602,954,168,584,1199,775,0,0,0,543229,1905,815636,1959,S,2037,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:48.928033,965,168,587,1216,775,0,0,0,545917,1938,820620,1992,S,2037,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:49.190669,984,168,590,1239,775,0,0,0,548779,1974,825598,2026,S,2037,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:49.442914,1002,168,593,1254,776,0,0,0,551617,2010,830290,2056,S,2037,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:49.687844,1019,169,595,1270,777,0,0,0,554083,2040,835047,2087,S,2041,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:49.948588,1052,170,600,1280,777,0,0,0,556615,2071,839804,2118,S,2041,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:50.212646,1072,170,603,1287,777,0,0,0,558991,2100,844537,2149,S,2041,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:50.477359,1110,170,608,1296,777,0,0,0,561517,2132,848868,2175,S,2041,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:50.742829,1128,170,611,1305,777,0,0,0,563761,2159,854680,2207,S,2041,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:51.003183,1166,170,615,1309,777,0,0,0,566491,2193,859659,2241,S,2041,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:51.250215,1187,170,619,1320,777,0,0,0,568711,2220,864326,2270,S,2041,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
2023-01-11 16:13:51.536469,1210,170,622,1336,777,0,0,0,571441,2254,869419,2305,S,2041,0,1,0,2,1,0,0,13,3283750912,22617,1,801697,22617,18058,5,0
