#com.androidmypc.app
#./workspace/com.androidmypc.app_0/com.androidmypc.app.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 03:09:08.722429,1101,193,715,925,629,0,0,0,1055489,1076,637184,762,R,5055,0,1,0,49,7,0,0,12,3301789696,24687,1,806153,27468,19807,5,0
2023-01-11 03:09:08.983252,1112,194,719,925,629,0,0,0,1058559,1114,642671,802,S,6695,0,24,0,60,11,0,0,14,3304595456,28673,1,810905,32342,24878,5,0
2023-01-11 03:09:09.252515,1120,197,724,925,629,0,0,0,1061772,1153,650319,848,D,7325,0,163,0,65,16,0,0,21,3322568704,32980,1,813708,35963,28203,5,0
2023-01-11 03:09:09.510082,1124,197,727,925,629,0,0,0,1064073,1181,655205,880,D,7758,0,223,0,69,18,0,0,26,3328270336,35015,1,817396,40199,30342,5,0
2023-01-11 03:09:09.782549,1131,200,731,925,629,0,0,0,1066095,1205,660148,910,D,9446,0,253,0,79,23,0,0,35,3341889536,38578,1,824621,50124,34524,5,0
2023-01-11 03:09:10.040790,1136,201,735,925,629,0,0,0,1067687,1224,664612,934,S,14028,0,267,0,85,25,0,0,37,3364986880,43892,1,824621,50124,34524,5,0
2023-01-11 03:09:10.308947,1141,201,740,925,629,0,0,0,1070615,1259,670960,972,S,20790,0,274,0,105,33,0,0,39,3391987712,53247,1,829564,54697,37990,5,0
2023-01-11 03:09:10.574259,1154,203,747,925,629,0,0,0,1075776,1320,683512,1035,S,22240,0,274,0,108,34,0,0,39,3397894144,54697,1,830665,55095,38247,5,0
2023-01-11 03:09:10.834735,1162,204,750,925,629,0,0,0,1076555,1329,685992,1045,S,22241,0,274,0,108,34,0,0,39,3397894144,54697,1,830420,55100,38242,5,0
2023-01-11 03:09:11.356202,1171,205,755,925,629,0,0,0,1076555,1329,685992,1045,S,22251,0,275,0,109,34,0,0,39,3397894144,54697,1,830420,55100,38242,5,0
2023-01-11 03:09:11.090422,1167,204,753,925,629,0,0,0,1076209,1325,684947,1042,S,22241,0,274,0,108,34,0,0,39,3397894144,54697,1,830420,55100,38242,5,0
2023-01-11 03:09:11.601090,1179,205,759,925,629,0,0,0,1080721,1379,695076,1102,S,22446,0,283,0,111,34,0,0,41,3401400320,55100,1,830420,55177,38273,5,0
2023-01-11 03:09:11.861855,1184,206,763,925,629,0,0,0,1082223,1397,697749,1122,S,22533,0,286,0,113,35,0,0,41,3401400320,55105,1,830694,55176,38269,5,0
2023-01-11 03:09:12.132854,1188,208,767,925,629,0,0,0,1085049,1431,703437,1164,S,22593,0,287,0,115,36,0,0,42,3402522624,55176,1,830694,55176,38269,5,0
2023-01-11 03:09:12.394611,1193,211,773,925,629,0,0,0,1087161,1456,708074,1193,S,22604,0,287,0,115,36,0,0,43,3403583488,55176,1,830960,55180,38269,5,0
2023-01-11 03:09:12.657714,1196,215,777,925,629,0,0,0,1089783,1488,713220,1229,S,22619,0,287,0,115,36,0,0,43,3403612160,55180,1,829517,53774,36874,5,0
2023-01-11 03:09:12.907988,1202,219,781,925,629,0,0,0,1092391,1519,718402,1264,S,22646,0,289,0,116,36,0,0,43,3397701632,53774,1,829517,53774,36874,5,0
2023-01-11 03:09:13.174861,1206,221,785,929,629,0,0,0,1094541,1545,723194,1295,S,22651,0,289,0,116,36,0,0,43,3397701632,53774,1,829517,53774,36874,5,0
2023-01-11 03:09:13.434812,1210,224,791,948,630,0,0,0,1096875,1573,729155,1328,S,22651,0,289,0,116,36,0,0,43,3397701632,53774,1,829517,53774,36874,5,0
2023-01-11 03:09:13.679994,1214,226,795,964,630,0,0,0,1099521,1605,734073,1360,S,22673,0,289,0,116,36,0,0,43,3397701632,53259,0,829517,53486,37197,5,0
2023-01-11 03:09:13.959325,1222,229,802,970,632,0,0,0,1102369,1640,738883,1392,S,22777,0,289,0,117,37,0,0,42,3396579328,53510,0,838245,58897,37640,5,0
2023-01-11 03:09:14.485765,1257,235,823,972,633,0,0,0,1106307,1688,746517,1442,S,29296,0,307,0,144,37,0,0,45,3433467904,59025,0,838255,59157,37640,5,0
2023-01-11 03:09:14.224956,1254,233,820,972,633,0,0,0,1106307,1688,746517,1442,S,29208,0,307,0,142,37,0,0,45,3433459712,58963,0,838255,59157,37640,5,0
2023-01-11 03:09:14.757491,1279,239,834,972,633,0,0,0,1109743,1730,753676,1491,S,29395,0,307,0,160,37,0,0,45,3433492480,59157,0,838982,59959,38383,5,0
