#com.app023042022
#./workspace/com.app023042022_0/com.app023042022.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 00:14:15.475616,955,335,892,1891,1178,0,0,0,265418,571,634887,766,S,14927,0,197,0,20,10,0,0,41,3384221696,49417,1,827678,51017,36747,5,0
2023-01-10 00:14:15.741347,958,336,893,1891,1178,0,0,0,266222,581,637029,779,S,16526,0,197,0,25,10,0,0,41,3390169088,51017,1,827678,51017,36747,5,0
2023-01-10 00:14:16.010333,965,336,894,1891,1178,0,0,0,268245,605,641184,804,S,16533,0,197,0,26,11,0,0,41,3390169088,51017,1,827678,51017,36747,5,0
2023-01-10 00:14:16.276924,973,338,897,1891,1178,0,0,0,269525,620,643364,818,S,16539,0,197,0,26,11,0,0,41,3390169088,51017,1,827678,51017,36747,5,0
2023-01-10 00:14:16.531120,979,343,904,1891,1179,0,0,0,273201,665,651788,863,S,16574,0,197,0,26,11,0,0,42,3391258624,51235,1,827944,51235,36919,5,0
2023-01-10 00:14:16.787539,985,343,907,1891,1180,0,0,0,275261,690,655163,890,S,16583,0,197,0,26,11,0,0,42,3391258624,51235,1,827944,51235,36919,5,0
2023-01-10 00:14:17.047443,988,348,912,1896,1187,0,0,0,277859,722,659929,921,S,16591,0,197,0,26,11,0,0,42,3391258624,51235,0,827944,51235,36919,5,0
2023-01-10 00:14:17.307969,997,349,916,1912,1188,0,0,0,280415,753,664965,955,S,16591,0,197,0,26,11,0,0,42,3391258624,51235,0,827944,51235,36919,5,0
2023-01-10 00:14:17.563085,1003,349,918,1944,1188,0,0,0,283013,785,669869,987,S,16607,0,198,0,27,11,0,0,42,3391258624,51235,1,830249,53071,37136,5,0
2023-01-10 00:14:17.839321,1026,351,924,1958,1190,0,0,0,285729,818,674973,1022,S,20439,0,213,0,41,11,0,0,42,3411103744,54962,0,839465,59803,39280,5,0
2023-01-10 00:14:18.104790,1054,351,929,1960,1193,0,0,0,287879,844,679585,1051,S,25195,0,225,0,51,11,0,0,44,3438448640,59848,0,840559,61036,39705,5,0
2023-01-10 00:14:18.360832,1074,352,932,1964,1193,0,0,0,290765,880,684666,1086,S,26215,0,230,0,61,11,0,0,44,3442946048,61036,0,840569,61036,39705,5,0
2023-01-10 00:14:18.620828,1094,352,935,1983,1194,0,0,0,293321,911,689724,1121,S,26245,0,231,0,70,11,0,0,44,3437076480,59649,0,839130,59649,38293,5,0
2023-01-10 00:14:18.876227,1100,352,938,2021,1195,0,0,0,296391,949,695186,1161,S,27017,0,231,0,79,11,0,0,44,3440029696,60308,0,840075,59983,39124,5,0
2023-01-10 00:14:19.156967,1134,354,943,2022,1195,0,0,0,298673,977,700072,1193,S,27832,0,231,0,95,12,0,0,44,3440947200,59983,0,840075,59983,39124,5,0
2023-01-10 00:14:19.402138,1137,354,945,2055,1196,0,0,0,301361,1010,705072,1226,S,27832,0,231,0,95,12,0,0,44,3440947200,59983,0,840075,59983,39124,5,0
2023-01-10 00:14:19.672646,1140,354,949,2096,1200,0,0,0,303851,1040,710180,1261,S,27979,0,231,0,95,12,0,0,44,3440947200,59983,1,840075,59983,39124,5,0
2023-01-10 00:14:19.923036,1143,354,951,2136,1201,0,0,0,306671,1075,715312,1296,S,28100,0,231,0,96,12,0,0,44,3437670400,57587,1,839275,57587,39104,5,0
2023-01-10 00:14:20.193641,1148,355,953,2179,1203,0,0,0,309491,1110,720486,1332,S,28210,0,231,0,96,13,0,0,44,3437670400,57568,0,839275,57568,39104,5,0
2023-01-10 00:14:20.448883,1153,356,956,2218,1203,0,0,0,312443,1147,725636,1368,S,28211,0,231,0,96,13,0,0,44,3437670400,57568,0,839275,57568,39104,5,0
2023-01-10 00:14:20.704329,1156,356,957,2258,1204,0,0,0,314999,1178,730606,1402,S,28211,0,231,0,97,13,0,0,44,3437670400,57568,1,839275,57582,39118,5,0
2023-01-10 00:14:20.969819,1159,356,960,2306,1204,0,0,0,317531,1209,736086,1442,S,28290,0,231,0,97,13,0,0,44,3437670400,57582,1,839275,57582,39118,5,0
2023-01-10 00:14:21.235296,1162,356,962,2349,1204,0,0,0,320417,1245,741644,1479,S,28290,0,231,0,97,14,0,0,44,3437670400,57582,1,839275,57582,39118,5,0
2023-01-10 00:14:21.505863,1168,361,966,2380,1205,0,0,0,323057,1278,746986,1513,S,28346,0,232,0,98,14,0,0,44,3437670400,57625,1,839275,57641,39167,5,0
2023-01-10 00:14:21.761434,1177,364,969,2382,1206,0,0,0,325301,1305,752148,1545,S,28377,0,233,0,98,14,0,0,44,3437670400,57641,1,839275,57641,39167,5,0
2023-01-10 00:14:22.037212,1193,364,973,2389,1206,0,0,0,327857,1336,758395,1583,S,28440,0,233,0,99,14,0,0,44,3437670400,57641,1,839275,57641,39167,5,0
2023-01-10 00:14:22.292520,1204,364,975,2395,1206,0,0,0,330479,1368,763323,1616,S,28440,0,233,0,99,15,0,0,44,3437670400,57641,1,839275,57692,39212,5,0
2023-01-10 00:14:22.556438,1227,364,979,2401,1206,0,0,0,332879,1397,768210,1648,S,28468,0,233,0,101,15,0,0,44,3437670400,57693,0,839275,57693,39212,5,0
2023-01-10 00:14:22.806481,1230,364,981,2441,1206,0,0,0,335147,1424,773097,1680,S,28469,0,233,0,102,15,0,0,44,3437670400,57693,0,839275,57693,39212,5,0
2023-01-10 00:14:23.066960,1234,364,983,2487,1206,0,0,0,337967,1459,779417,1718,S,28588,0,233,0,102,15,0,0,44,3437670400,57693,1,839275,57693,39212,5,0
2023-01-10 00:14:23.332370,1237,364,985,2527,1206,0,0,0,340787,1494,784550,1753,S,28608,0,233,0,103,15,0,0,44,3437670400,56497,1,839275,56498,39213,5,0
