#com.appmk.book.AOUSWFCXSOUCADQMW
#./workspace/com.appmk.book.AOUSWFCXSOUCADQMW_0/com.appmk.book.AOUSWFCXSOUCADQMW.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 01:20:48.878235,978,283,871,1874,1044,0,0,0,659068,1167,673421,1066,R,9246,0,4,0,40,12,0,0,15,3300306944,28692,1,806751,29956,22029,5,0
2023-01-10 01:20:49.135670,981,283,871,1874,1044,0,0,0,661402,1195,678055,1095,S,9271,0,4,0,45,12,0,0,15,3300306944,28692,1,808193,31314,23508,5,0
2023-01-10 01:20:49.415827,991,284,874,1874,1044,0,0,0,662923,1213,680726,1114,S,10104,0,6,0,46,13,0,0,15,3304452096,29956,1,808193,31314,23508,5,0
2023-01-10 01:20:49.683037,1000,285,877,1874,1044,0,0,0,665097,1239,686397,1141,S,11544,0,7,0,47,14,0,0,15,3310358528,31314,1,808193,31393,23585,5,0
2023-01-10 01:20:49.928454,1007,289,880,1876,1044,0,0,0,667525,1268,691290,1172,S,12263,0,12,0,49,15,0,0,15,3310514176,32172,1,808231,32319,24322,5,0
2023-01-10 01:20:50.185866,1029,292,885,1877,1044,0,0,0,670237,1301,696304,1204,R,12444,0,12,0,51,15,0,0,15,3310514176,32319,1,808389,32648,24512,5,0
2023-01-10 01:20:50.446458,1056,295,889,1877,1044,0,0,0,672637,1330,701228,1237,S,12806,0,12,0,53,15,0,0,15,3311161344,32648,0,808231,32462,24463,5,0
2023-01-10 01:20:50.701445,1083,295,894,1880,1044,0,0,0,675009,1359,705864,1266,S,12877,0,13,0,54,15,0,0,15,3310514176,32462,0,808310,32527,24504,5,0
2023-01-10 01:20:50.961961,1112,296,900,1883,1045,0,0,0,677565,1390,710836,1299,S,13165,0,13,0,56,16,0,0,15,3310514176,32528,0,808310,32608,24555,5,0
2023-01-10 01:20:51.227859,1134,299,904,1886,1045,0,0,0,680173,1421,715760,1332,S,13275,0,13,0,57,16,0,0,15,3310514176,32574,1,808231,32630,24549,5,0
2023-01-10 01:20:51.483556,1163,300,910,1888,1045,0,0,0,682455,1449,720372,1361,S,13705,0,14,0,60,16,0,0,15,3310837760,32696,1,808231,32637,24549,5,0
2023-01-10 01:20:51.748320,1187,301,914,1894,1045,0,0,0,685375,1484,726924,1400,R,13808,0,14,0,62,16,0,0,15,3310514176,32637,0,808783,33335,24562,5,0
2023-01-10 01:20:52.008997,1212,302,921,1896,1045,0,0,0,687775,1513,732464,1439,R,14924,0,14,0,65,16,0,0,15,3312775168,33335,1,808783,33335,24562,5,0
2023-01-10 01:20:52.264271,1238,302,927,1898,1045,0,0,0,689391,1532,735424,1462,S,14935,0,14,0,65,16,0,0,15,3312775168,33335,1,808862,33403,24633,5,0
2023-01-10 01:20:52.531890,1259,303,931,1914,1045,0,0,0,691659,1559,740592,1498,R,15239,0,14,0,67,16,0,0,15,3313553408,33469,1,808973,33469,24699,5,0
2023-01-10 01:20:52.801502,1283,303,935,1926,1045,0,0,0,694101,1589,746062,1534,S,15296,0,14,0,68,16,0,0,15,3312906240,33379,1,808815,33379,24606,5,0
2023-01-10 01:20:53.061912,1307,303,939,1934,1045,0,0,0,696435,1617,751429,1568,S,15533,0,14,0,70,17,0,0,15,3312906240,33379,0,808815,33379,24606,5,0
2023-01-10 01:20:53.318021,1331,305,942,1945,1045,0,0,0,699165,1651,756986,1605,R,15595,0,14,0,85,17,0,0,15,3312906240,33379,1,808815,33379,24606,5,0
2023-01-10 01:20:53.578666,1342,305,945,1974,1045,0,0,0,702235,1689,763640,1647,S,15788,0,14,0,88,17,0,0,15,3313553408,33594,1,808973,33594,24776,5,0
2023-01-10 01:20:53.833827,1368,306,949,1977,1046,0,0,0,704607,1718,768458,1678,S,15789,0,14,0,88,17,0,0,15,3312906240,33397,0,808815,33437,24623,5,0
2023-01-10 01:20:54.094309,1397,307,956,1986,1046,0,0,0,706869,1746,772737,1703,S,16132,0,15,0,91,17,0,0,15,3312906240,33437,0,808894,33502,24682,5,0
2023-01-10 01:20:54.343645,1423,307,961,1988,1047,0,0,0,709359,1776,779013,1740,S,16256,0,15,0,92,17,0,0,15,3313229824,33502,1,808815,33428,24623,5,0
2023-01-10 01:20:54.612494,1452,307,965,1998,1047,0,0,0,711891,1807,783940,1773,S,16302,0,15,0,94,17,0,0,15,3312906240,33428,0,808894,33558,24699,5,0
2023-01-10 01:20:54.883093,1475,308,970,2006,1047,0,0,0,714333,1837,788687,1804,S,16391,0,15,0,97,17,0,0,15,3313229824,33558,0,808815,33482,24622,5,0
2023-01-10 01:20:55.152191,1500,308,974,2019,1047,0,0,0,716931,1869,793526,1836,S,16470,0,15,0,101,17,0,0,15,3312906240,33483,1,808815,33483,24622,5,0
2023-01-10 01:20:55.410507,1518,309,978,2037,1047,0,0,0,719463,1900,798413,1868,S,16470,0,15,0,103,17,0,0,15,3312906240,33483,1,808815,33483,24622,5,0
2023-01-10 01:20:55.680883,1526,309,980,2077,1047,0,0,0,722415,1937,803526,1903,S,16571,0,15,0,105,17,0,0,15,3313229824,33562,1,808815,33508,24637,5,0
2023-01-10 01:20:55.937730,1555,309,986,2088,1048,0,0,0,725169,1971,808413,1935,S,16574,0,15,0,107,17,0,0,15,3312906240,33508,1,808902,33642,24741,5,0
2023-01-10 01:20:56.197402,1575,321,991,2100,1048,0,0,0,728948,2017,817002,1984,S,16972,0,15,0,109,18,0,0,15,3312939008,33625,1,808902,33690,24733,5,0
2023-01-10 01:20:56.458842,1593,321,995,2100,1048,0,0,0,730696,2038,821253,2009,S,16981,0,15,0,110,18,0,0,15,3312939008,33625,1,808823,33671,24683,5,0
2023-01-10 01:20:56.719259,1613,321,999,2101,1048,0,0,0,731853,2052,823384,2025,S,17064,0,15,0,111,18,0,0,15,3313262592,33690,1,808823,33640,24683,5,0
