#com.apps.iowasos
#./workspace/com.apps.iowasos_1/com.apps.iowasos8c17e894e0faa47f0ad89808702357a625024159.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 01:38:20.586121,836,293,832,542,1015,0,0,0,819266,965,628859,779,S,12144,0,3,0,39,7,0,0,15,3327270912,35953,1,812322,35947,24274,5,0
2023-01-10 01:38:20.858610,842,296,834,542,1016,0,0,0,821798,996,633709,811,S,12144,0,3,0,41,7,0,0,15,3327270912,35947,1,812322,35947,24274,5,0
2023-01-10 01:38:21.132942,846,298,838,542,1016,0,0,0,823882,1021,639553,840,S,12144,0,3,0,41,7,0,0,15,3327270912,35947,1,812322,36197,24456,5,0
2023-01-10 01:38:21.385029,855,301,844,542,1016,0,0,0,827411,1064,646666,882,S,13166,0,4,0,47,8,0,0,15,3327295488,36936,1,812328,36936,24472,5,0
2023-01-10 01:38:21.641149,857,303,844,542,1016,0,0,0,828190,1073,648323,892,S,13166,0,4,0,47,8,0,0,15,3327295488,36936,1,812328,36936,24472,5,0
2023-01-10 01:38:21.900256,864,306,851,542,1019,0,0,0,831232,1111,653485,927,S,13175,0,4,0,48,8,0,0,15,3327295488,36936,1,812328,36936,24472,5,0
2023-01-10 01:38:22.160504,871,308,854,543,1020,0,0,0,833542,1139,658310,959,S,13210,0,5,0,48,8,0,0,15,3327299584,37225,0,812329,37225,24721,5,0
2023-01-10 01:38:22.434028,883,314,861,549,1024,0,0,0,835918,1168,663045,990,S,13296,0,6,0,50,8,0,0,15,3327299584,37533,0,812329,36849,24976,5,0
2023-01-10 01:38:22.694573,896,318,866,566,1025,0,0,0,838648,1202,667828,1021,S,13301,0,6,0,51,8,0,0,15,3327299584,36849,1,812329,36849,24976,5,0
2023-01-10 01:38:22.970107,922,318,872,590,1026,0,0,0,841426,1236,673152,1059,S,13689,0,9,0,56,10,0,0,19,3333918720,37976,1,814971,39770,25924,5,0
2023-01-10 01:38:23.237234,942,319,876,591,1026,0,0,0,843826,1265,678159,1093,S,15737,0,9,0,61,10,0,0,19,3338121216,39836,1,815396,39898,25924,5,0
2023-01-10 01:38:23.489168,976,324,881,593,1026,0,0,0,847831,1314,685438,1138,S,16651,0,9,0,85,11,0,0,19,3341565952,40755,0,814840,39469,25508,5,0
2023-01-10 01:38:23.739396,1015,324,884,594,1026,0,0,0,849414,1333,689348,1161,S,16673,0,9,0,85,11,0,0,20,3337584640,39469,0,814840,39469,25508,5,0
2023-01-10 01:38:24.000976,1025,325,887,594,1026,0,0,0,851432,1357,692762,1189,S,16675,0,9,0,86,11,0,0,20,3337584640,39469,0,814872,39469,25508,5,0
2023-01-10 01:38:24.264353,1034,331,893,613,1026,0,0,0,853988,1388,697665,1221,S,16744,0,9,0,86,11,0,0,20,3337715712,39486,1,814872,39486,25524,5,0
2023-01-10 01:38:24.514543,1037,331,895,656,1026,0,0,0,856742,1422,702718,1256,S,16778,0,9,0,86,11,0,0,20,3337715712,39486,1,815703,40596,26807,5,0
2023-01-10 01:38:24.787833,1065,333,900,670,1026,0,0,0,859722,1459,708865,1290,S,17837,0,9,0,90,13,0,0,20,3341119488,40596,1,814872,39940,26034,5,0
2023-01-10 01:38:25.055763,1091,333,904,671,1026,0,0,0,861342,1478,711706,1312,R,17977,0,9,0,91,13,0,0,20,3337715712,39924,1,815892,40603,26171,5,0
2023-01-10 01:38:25.307084,1124,334,910,671,1026,0,0,0,863648,1506,716495,1343,S,19366,0,9,0,97,14,0,0,20,3341893632,40603,1,815892,40669,26171,5,0
2023-01-10 01:38:25.562317,1157,335,914,672,1026,0,0,0,866610,1542,724054,1382,D,19871,0,9,0,105,14,0,0,20,3343609856,41131,1,816313,41159,26586,5,0
2023-01-10 01:38:25.827891,1183,336,917,673,1026,0,0,0,868476,1564,728234,1406,S,19959,0,11,0,111,14,0,0,20,3343618048,41159,1,815901,40792,26171,5,0
2023-01-10 01:38:26.078015,1213,336,921,673,1026,0,0,0,871113,1595,733409,1442,S,20400,0,11,0,115,14,0,0,20,3341930496,40792,1,816316,41075,26586,5,0
2023-01-10 01:38:26.350948,1233,336,926,675,1026,0,0,0,872766,1615,736279,1464,R,20417,0,11,0,116,15,0,0,20,3341930496,40792,1,816316,40971,26802,5,0
2023-01-10 01:38:26.624478,1267,336,932,678,1026,0,0,0,875322,1646,741077,1494,S,20859,0,11,0,134,16,0,0,20,3343630336,40971,0,816316,40971,26802,5,0
2023-01-10 01:38:26.892129,1286,336,936,681,1026,0,0,0,877406,1671,745935,1526,S,20862,0,11,0,135,16,0,0,20,3343630336,40971,0,816316,40971,26802,5,0
2023-01-10 01:38:27.150382,1293,337,938,719,1026,0,0,0,880094,1704,751327,1565,S,20868,0,12,0,135,16,0,0,20,3343630336,40971,0,816316,40971,26802,5,0
2023-01-10 01:38:27.400665,1296,337,941,763,1026,0,0,0,882782,1737,756497,1601,S,20868,0,12,0,135,16,0,0,20,3343630336,40971,0,816316,40971,26802,5,0
2023-01-10 01:38:27.671709,1307,337,945,795,1026,0,0,0,885356,1769,761179,1631,S,20876,0,12,0,136,17,0,0,20,3343630336,40971,1,816316,40971,26802,5,0
2023-01-10 01:38:27.932677,1320,346,950,805,1027,0,0,0,888044,1802,766169,1665,S,20885,0,12,0,139,17,0,0,20,3343630336,40971,1,816316,40971,26802,5,0
