#com.aprendepastasapp
#./workspace/com.aprendepastasapp_0/com.aprendepastasapp.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 03:27:14.054218,762,300,837,1901,1195,0,0,0,435141,705,680649,746,S,18699,1506,214,18,26,14,0,1,42,3386626048,51415,0,827889,52171,38473,5,0
2023-01-10 03:27:14.315821,769,301,838,1901,1195,0,0,0,437319,731,685155,773,S,19505,1506,214,18,31,14,0,1,42,3391033344,52106,0,828081,52147,38512,5,0
2023-01-10 03:27:14.591098,776,301,842,1901,1195,0,0,0,439379,756,690736,800,S,19823,1506,215,18,35,16,0,1,42,3391819776,52147,0,828081,52147,38512,5,0
2023-01-10 03:27:14.845600,779,306,853,1902,1200,0,0,0,441779,785,695464,830,S,19863,1506,216,18,35,16,0,1,42,3396018176,51978,1,837321,58060,38802,5,0
2023-01-10 03:27:15.099600,786,310,857,1907,1207,0,0,0,444443,818,700455,862,S,27687,1506,233,18,55,16,0,1,44,3429715968,58961,1,837339,58961,38991,5,0
2023-01-10 03:27:15.359914,794,310,859,1935,1210,0,0,0,447041,850,705249,893,S,27694,1506,233,18,62,16,0,1,44,3429740544,58961,0,837339,58962,38991,5,0
2023-01-10 03:27:15.615295,797,311,862,1973,1211,0,0,0,450125,889,710401,929,S,27890,1506,234,18,63,16,0,1,44,3429740544,58962,0,837339,59101,39108,5,0
2023-01-10 03:27:15.885853,801,315,864,2003,1213,0,0,0,452591,919,715238,961,S,28052,1506,236,18,64,16,0,1,44,3429740544,59118,0,837339,59118,39124,5,0
2023-01-10 03:27:16.141279,808,316,867,2040,1214,0,0,0,455477,955,720148,993,S,28110,1506,236,18,64,17,0,1,44,3429740544,59134,1,837339,57304,39153,5,0
2023-01-10 03:27:16.401613,813,316,870,2078,1214,0,0,0,457943,985,725052,1026,S,28192,1506,236,18,65,17,0,1,44,3429740544,57305,1,837339,57321,39169,5,0
2023-01-10 03:27:16.667213,816,316,872,2122,1214,0,0,0,460961,1023,730070,1060,S,28261,1506,236,18,65,18,0,1,44,3429740544,57321,1,837339,57321,39169,5,0
2023-01-10 03:27:16.922574,823,317,875,2162,1214,0,0,0,463715,1057,735004,1092,S,28363,1506,236,18,65,18,0,1,44,3426463744,57321,0,836539,57321,39149,5,0
2023-01-10 03:27:17.183016,825,317,877,2204,1214,0,0,0,466337,1089,739981,1125,S,28404,1506,237,18,66,18,0,1,44,3426463744,57337,1,836539,57352,39180,5,0
2023-01-10 03:27:17.443449,828,317,880,2246,1216,0,0,0,469091,1123,745115,1160,S,28457,1506,237,18,67,18,0,1,44,3426463744,57352,0,836539,57352,39180,5,0
2023-01-10 03:27:17.708894,831,318,883,2287,1220,0,0,0,471581,1153,750183,1194,S,28458,1506,237,18,67,19,0,1,44,3426463744,57357,1,836539,57357,39181,5,0
2023-01-10 03:27:17.964239,836,318,886,2324,1220,0,0,0,474203,1185,755582,1232,S,28459,1506,237,18,67,19,0,1,44,3426463744,57218,1,836539,57218,39181,5,0
2023-01-10 03:27:18.219671,842,319,888,2359,1221,0,0,0,476825,1217,760873,1269,S,28512,1506,238,18,68,19,0,1,44,3426463744,56190,1,836539,56190,39197,5,0
2023-01-10 03:27:18.490207,845,319,891,2404,1225,0,0,0,479381,1248,766768,1310,S,28538,1506,238,18,68,19,0,1,44,3426463744,56191,1,836539,56191,39197,5,0
2023-01-10 03:27:18.750569,848,320,893,2446,1225,0,0,0,482201,1283,772645,1351,S,28538,1506,238,18,68,19,0,1,44,3426463744,56191,1,836539,56191,39197,5,0
2023-01-10 03:27:19.006036,851,320,894,2492,1225,0,0,0,484889,1316,778282,1388,S,28538,1506,238,18,69,19,0,1,44,3426463744,56191,0,836539,56208,39213,5,0
2023-01-10 03:27:19.277527,860,322,899,2521,1228,0,0,0,487907,1354,784725,1426,S,28592,1506,238,18,69,19,0,1,44,3426463744,56208,0,836539,56208,39213,5,0
2023-01-10 03:27:19.526575,873,331,904,2529,1228,0,0,0,490439,1385,789524,1457,S,31140,1506,238,18,72,20,0,1,44,3427577856,58039,0,836811,58039,39237,5,0
2023-01-10 03:27:19.783037,886,332,908,2535,1229,0,0,0,492461,1409,794054,1485,S,31140,1506,238,18,72,20,0,1,44,3427577856,58039,0,836811,57859,39299,5,0
2023-01-10 03:27:20.038334,895,332,910,2541,1229,0,0,0,494459,1433,799704,1515,S,31142,1506,238,18,72,20,0,1,44,3427577856,57859,0,836811,57859,39299,5,0
2023-01-10 03:27:20.309153,911,332,914,2546,1229,0,0,0,497057,1465,804569,1547,S,31142,1506,238,18,73,20,0,1,44,3427577856,57859,0,836939,57135,39329,5,0
2023-01-10 03:27:20.559361,922,332,916,2570,1229,0,0,0,499811,1499,809722,1583,S,31606,1506,238,18,73,21,0,1,44,3428102144,57135,1,836939,57135,39329,5,0
2023-01-10 03:27:20.824972,926,333,919,2620,1229,0,0,0,502367,1530,814725,1616,S,31678,1506,238,18,74,21,0,1,44,3428102144,57135,0,836939,57135,39329,5,0
2023-01-10 03:27:21.080284,929,333,922,2656,1230,0,0,0,504857,1560,819728,1649,S,31679,1506,238,18,75,21,0,1,44,3428102144,57135,0,836939,57135,39329,5,0
2023-01-10 03:27:21.345867,933,333,924,2700,1230,0,0,0,507479,1592,824797,1683,S,31681,1506,238,18,75,21,0,1,44,3428102144,57135,1,836939,57135,39329,5,0
2023-01-10 03:27:21.606313,940,333,927,2742,1230,0,0,0,510365,1628,829800,1716,S,31720,1506,238,18,76,21,0,1,44,3426988032,57185,1,836667,57185,39321,5,0
2023-01-10 03:27:21.871771,945,334,928,2783,1230,0,0,0,512921,1659,834755,1749,S,31721,1506,238,18,76,21,0,1,44,3426988032,57185,0,836667,57185,39321,5,0
2023-01-10 03:27:22.132581,974,334,932,2793,1230,0,0,0,515543,1691,841011,1786,S,31911,1506,238,18,77,22,0,1,44,3426988032,56226,1,836667,56226,39382,5,0
