#com.arabfon.lovephoto
#./workspace/com.arabfon.lovephoto_0/com.arabfon.lovephoto.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 06:31:32.318541,957,307,856,1787,1134,0,0,0,2346968,2040,677198,950,S,12784,0,1,0,46,4,0,0,14,3331612672,37725,1,813388,37899,25337,5,0
2023-01-09 06:31:32.594636,973,307,858,1787,1134,0,0,0,2349930,2076,682592,989,S,13268,0,1,0,54,5,0,0,14,3332554752,38706,1,813612,38706,26136,5,0
2023-01-09 06:31:32.852716,985,308,864,1787,1134,0,0,0,2353309,2116,690864,1031,S,13269,0,1,0,58,6,0,0,14,3332554752,38706,1,813612,38706,26136,5,0
2023-01-09 06:31:33.108256,989,308,865,1787,1134,0,0,0,2354400,2129,694170,1047,S,13269,0,1,0,58,6,0,0,14,3332554752,38706,1,813612,38027,26453,5,0
2023-01-09 06:31:33.359528,996,309,867,1787,1134,0,0,0,2357268,2164,699444,1084,S,13279,0,2,0,60,7,0,0,14,3332554752,38027,1,813612,38027,26453,5,0
2023-01-09 06:31:33.630195,1001,312,871,1787,1135,0,0,0,2359196,2187,702744,1110,S,13280,0,2,0,60,8,0,0,14,3332554752,38027,1,813612,38027,26453,5,0
2023-01-09 06:31:33.889317,1009,315,874,1788,1135,0,0,0,2361794,2219,707663,1143,S,13280,0,2,0,62,9,0,0,14,3332554752,38027,1,813612,38026,26453,5,0
2023-01-09 06:31:34.164694,1020,317,877,1798,1135,0,0,0,2364680,2255,712697,1177,S,13282,0,2,0,64,11,0,0,14,3332554752,38026,0,813612,38026,26453,5,0
2023-01-09 06:31:34.420103,1033,318,880,1814,1135,0,0,0,2367542,2291,717509,1208,S,13313,0,3,0,67,12,0,0,14,3332558848,37997,1,813613,38395,26453,5,0
2023-01-09 06:31:34.680634,1056,322,883,1820,1135,0,0,0,2369654,2316,722076,1236,S,14287,0,3,0,73,12,0,0,14,3332558848,38647,1,813616,38713,26453,5,0
2023-01-09 06:31:34.951361,1078,322,887,1833,1135,0,0,0,2372342,2349,726931,1268,S,14346,0,3,0,77,13,0,0,14,3332571136,38713,1,813616,38713,26453,5,0
2023-01-09 06:31:35.213067,1106,323,890,1848,1135,0,0,0,2374874,2380,731923,1302,S,14347,0,3,0,80,13,0,0,14,3332571136,38713,0,813616,38713,26453,5,0
2023-01-09 06:31:35.466445,1130,323,894,1855,1135,0,0,0,2377496,2412,736803,1334,S,14408,0,3,0,83,14,0,0,14,3332571136,38482,0,813616,38482,26453,5,0
2023-01-09 06:31:35.728206,1156,324,898,1864,1135,0,0,0,2380052,2443,741773,1367,S,14446,0,3,0,85,15,0,0,14,3332571136,38115,1,813616,38115,26469,5,0
2023-01-09 06:31:35.987567,1181,324,903,1874,1135,0,0,0,2382362,2471,746474,1397,R,14526,0,3,0,91,15,0,0,16,3334733824,38410,1,837301,46625,34630,5,0
2023-01-09 06:31:36.243886,1203,328,911,1875,1135,0,0,0,2385116,2505,752719,1434,R,17197,0,41,0,98,17,0,0,28,3436494848,48696,1,846222,54530,41758,5,0
2023-01-09 06:31:36.500935,1217,332,922,1884,1141,0,0,0,2387114,2529,757060,1460,D,23591,0,50,0,107,22,0,0,82,3510046720,55173,1,860770,57726,43161,5,0
2023-01-09 06:31:36.771626,1244,333,931,1885,1144,0,0,0,2389851,2563,761782,1490,S,29427,1650,54,24,112,27,0,2,100,3552456704,59074,1,867813,60593,44796,5,0
2023-01-09 06:31:37.030445,1284,333,937,1886,1144,0,0,0,2392591,2596,768119,1526,S,31379,1650,54,24,119,27,0,2,96,3550060544,60798,1,871718,62829,46660,5,0
2023-01-09 06:31:37.273225,1306,333,941,1888,1145,0,0,0,2395024,2625,772802,1556,D,32223,1650,136,24,123,29,0,2,105,3570556928,62829,0,874156,65001,48755,5,0
2023-01-09 06:31:37.554173,1330,334,947,1888,1145,0,0,0,2396791,2646,775898,1581,R,32475,1650,204,24,125,30,0,2,111,3579420672,64724,0,875358,64712,47393,5,0
2023-01-09 06:31:37.811790,1353,334,952,1889,1147,0,0,0,2399035,2673,780404,1609,S,33989,1650,229,24,129,33,0,2,118,3585466368,64712,1,875060,65983,47789,5,0
2023-01-09 06:31:38.066676,1391,336,960,1890,1147,0,0,0,2402595,2716,787963,1658,S,35363,1650,249,24,151,34,0,2,118,3584245760,65983,1,875060,65983,47789,5,0
2023-01-09 06:31:38.327596,1415,339,966,1890,1147,0,0,0,2403399,2726,791003,1671,S,35363,1650,249,24,151,34,0,2,118,3584245760,65983,1,875060,65351,47838,5,0
2023-01-09 06:31:38.573262,1436,341,971,1890,1148,0,0,0,2405583,2752,794307,1697,S,35375,1650,249,24,154,34,0,2,118,3584245760,65351,1,875382,65491,48176,5,0
2023-01-09 06:31:38.836146,1456,343,980,1890,1151,0,0,0,2407983,2781,799281,1731,S,35414,1650,257,24,158,35,0,2,118,3585564672,65491,1,875382,65491,48176,5,0
2023-01-09 06:31:39.077428,1471,345,992,1891,1153,0,0,0,2410279,2809,803883,1760,S,35415,1650,257,24,164,36,0,2,116,3583320064,64081,0,875382,64083,48176,5,0
2023-01-09 06:31:39.360919,1481,346,1005,1893,1163,0,0,0,2412901,2841,809020,1795,S,35499,1650,257,24,172,36,0,2,118,3585564672,64083,0,875446,64087,48176,5,0
2023-01-09 06:31:39.615945,1510,346,1009,1894,1166,0,0,0,2415235,2869,814277,1828,S,35769,1650,257,24,185,37,0,2,118,3585826816,64087,0,875446,64087,48176,5,0
2023-01-09 06:31:39.876223,1525,347,1013,1917,1166,0,0,0,2417989,2903,819828,1864,S,35769,1650,257,24,190,37,0,2,118,3585826816,64087,0,875446,64087,48176,5,0
2023-01-09 06:31:40.136845,1534,354,1018,1938,1169,0,0,0,2421626,2948,828613,1915,S,35774,1650,257,24,194,37,0,2,116,3583488000,64037,0,874875,64037,48154,5,0
2023-01-09 06:31:40.399327,1571,356,1025,1940,1169,0,0,0,2423804,2974,833169,1943,S,35874,1650,257,24,206,38,0,2,116,3583488000,64037,0,874875,64037,48154,5,0
2023-01-09 06:31:40.659863,1599,357,1029,1940,1169,0,0,0,2425235,2991,835889,1964,S,35874,1650,257,24,207,38,0,2,116,3583488000,64037,0,874875,64038,48154,5,0
2023-01-09 06:31:40.934364,1628,360,1038,1940,1170,0,0,0,2428802,3035,842924,2008,S,35996,1650,257,24,213,38,0,2,116,3583488000,64025,0,874875,64022,48154,5,0
2023-01-09 06:31:41.192231,1641,360,1040,1940,1170,0,0,0,2430645,3057,847138,2034,S,36037,1650,257,24,216,39,0,2,116,3583488000,64026,1,874875,64021,48154,5,0
2023-01-09 06:31:41.478128,1695,363,1048,1940,1170,0,0,0,2433570,3092,853789,2071,S,36042,1650,257,24,229,40,0,2,116,3583488000,64021,1,875423,64021,48154,5,0
2023-01-09 06:31:41.749245,1703,364,1051,1940,1170,0,0,0,2434665,3105,855602,2083,S,36042,1650,257,24,229,40,0,2,116,3583488000,64021,1,875423,64050,48186,5,0
2023-01-09 06:31:42.265046,1749,373,1062,1941,1171,0,0,0,2438401,3150,863010,2129,S,36199,1650,257,24,253,41,0,2,118,3585732608,64050,1,875423,64044,48186,5,0
2023-01-09 06:31:41.999247,1747,371,1061,1940,1171,0,0,0,2439021,3157,864355,2135,S,36199,1650,257,24,253,41,0,2,118,3585732608,64050,1,875423,64044,48186,5,0
2023-01-09 06:31:42.518563,1769,380,1070,1941,1171,0,0,0,2441393,3186,869044,2164,S,36217,1650,257,24,262,42,0,2,118,3585732608,64044,1,874875,64050,48218,5,0
2023-01-09 06:31:42.789024,1819,385,1082,1941,1171,0,0,0,2444790,3227,876254,2208,S,36394,1650,257,24,291,44,0,2,116,3583488000,64050,1,874553,62999,47700,5,0
2023-01-09 06:31:43.034210,1829,386,1084,1941,1171,0,0,0,2445819,3239,878043,2220,S,36530,1650,257,24,292,45,0,2,117,3584589824,64051,1,874553,62999,47700,5,0
2023-01-09 06:31:43.304791,1846,389,1089,1941,1171,0,0,0,2448437,3271,884681,2261,S,36955,1650,257,24,295,45,0,2,118,3582169088,62999,1,874553,63001,47700,5,0
2023-01-09 06:31:43.565208,1864,396,1095,1941,1171,0,0,0,2450771,3299,889525,2293,S,37003,1650,257,24,299,45,0,2,118,3582169088,63001,1,874553,63001,47700,5,0
