#com.archiproducts.rifra
#./workspace/com.archiproducts.rifra_0/com.archiproducts.rifra.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 05:04:31.790068,1002,374,886,1339,1244,0,0,0,473602,723,672278,729,S,8280,0,193,0,10,6,0,0,37,3344322560,39269,1,816485,39269,32794,5,0
2023-01-10 05:04:32.063470,1010,374,888,1339,1244,0,0,0,475284,743,675873,756,S,8289,0,193,0,10,6,0,0,37,3344322560,39269,1,816758,39415,32888,5,0
2023-01-10 05:04:32.331221,1014,376,891,1339,1244,0,0,0,478488,782,683628,804,S,8594,0,203,0,12,7,0,0,41,3353698304,39900,1,818641,39868,33116,5,0
2023-01-10 05:04:32.582358,1023,377,896,1341,1250,0,0,0,480690,808,688601,835,S,8643,0,204,0,12,8,0,0,41,3350016000,39930,0,817875,40306,33454,5,0
2023-01-10 05:04:32.842983,1034,381,900,1344,1251,0,0,0,483132,838,693853,867,S,9632,0,208,0,15,9,0,0,42,3361239040,41884,1,820615,41884,35012,5,0
2023-01-10 05:04:33.108663,1043,381,903,1365,1251,0,0,0,485952,873,700058,903,S,9681,0,211,0,17,10,0,0,42,3361239040,41985,1,820615,41985,35113,5,0
2023-01-10 05:04:33.379569,1047,381,905,1402,1251,0,0,0,488640,906,705071,937,S,10113,0,212,0,20,10,0,0,42,3361239040,42038,0,820615,42040,35162,5,0
2023-01-10 05:04:33.622304,1057,385,910,1417,1253,0,0,0,490998,934,710084,971,S,10335,0,212,0,22,10,0,0,42,3361239040,42278,1,820615,42278,35335,5,0
2023-01-10 05:04:33.886218,1066,387,914,1441,1254,0,0,0,493836,970,714762,1001,S,10402,0,212,0,24,10,0,0,42,3361239040,42294,0,821336,43054,36103,5,0
2023-01-10 05:04:34.151685,1089,389,919,1459,1254,0,0,0,496170,998,720921,1037,S,11589,0,212,0,28,11,0,0,42,3364192256,43226,0,821336,43098,36133,5,0
2023-01-10 05:04:34.409693,1118,392,923,1459,1254,0,0,0,498546,1027,725755,1069,S,11783,0,212,0,30,11,0,0,42,3364192256,43098,0,821336,43071,36133,5,0
2023-01-10 05:04:34.680001,1126,393,927,1487,1255,0,0,0,501210,1060,730770,1103,S,11850,0,213,0,33,12,0,0,42,3364192256,43087,0,821336,43087,36148,5,0
2023-01-10 05:04:34.935304,1150,394,931,1499,1255,0,0,0,503784,1092,735470,1133,D,11955,0,213,0,35,12,0,0,42,3364192256,43150,0,821436,43760,36738,5,0
2023-01-10 05:04:35.195687,1171,394,935,1507,1255,0,0,0,506118,1120,740372,1166,S,12182,0,214,0,36,12,0,0,42,3364601856,43760,1,821468,43760,36738,5,0
2023-01-10 05:04:35.453523,1192,395,938,1520,1255,0,0,0,508518,1149,745100,1196,S,12296,0,214,0,36,12,0,0,42,3365142528,43869,1,821568,43935,36905,5,0
2023-01-10 05:04:35.734348,1204,395,941,1557,1255,0,0,0,511158,1182,749754,1226,S,12302,0,214,0,36,12,0,0,42,3364323328,43716,0,821368,43716,36707,5,0
2023-01-10 05:04:36.518471,1309,396,954,1560,1255,0,0,0,516861,1250,762638,1297,S,13618,0,215,0,41,14,0,0,43,3361771520,42220,0,822186,42903,35955,5,0
2023-01-10 05:04:36.780756,1333,397,957,1560,1255,0,0,0,518662,1271,766098,1315,S,14354,0,215,0,42,15,0,0,43,3367673856,42903,0,822907,44363,37413,5,0
2023-01-10 05:04:36.007818,1307,396,953,1560,1255,0,0,0,517173,1254,763737,1300,S,13613,0,215,0,41,14,0,0,43,3361771520,42220,0,822907,44363,37413,5,0
2023-01-10 05:04:36.263165,1316,397,955,1560,1255,0,0,0,518662,1271,766098,1315,S,13618,0,215,0,41,14,0,0,43,3361771520,42220,0,822907,44363,37413,5,0
2023-01-10 05:04:37.051670,1377,399,966,1560,1255,0,0,0,522740,1320,774883,1366,S,15148,0,216,0,43,15,0,0,43,3370627072,44363,0,822907,44363,37413,5,0
2023-01-10 05:04:37.319894,1376,399,966,1560,1255,0,0,0,522740,1320,774883,1366,S,15148,0,216,0,43,15,0,0,43,3370627072,44363,0,822907,44363,37413,5,0
2023-01-10 05:04:37.574682,1400,406,973,1561,1255,0,0,0,526795,1369,783096,1414,S,15148,0,216,0,43,15,0,0,43,3370627072,44363,0,823007,44527,37517,5,0
2023-01-10 05:04:37.845579,1431,410,978,1564,1255,0,0,0,528160,1385,785655,1432,S,15311,0,216,0,45,15,0,0,43,3370627072,44379,0,823107,44659,37643,5,0
2023-01-10 05:04:38.103502,1464,412,984,1564,1255,0,0,0,530782,1417,791898,1467,S,15726,0,216,0,47,16,0,0,43,3371446272,44659,0,823107,44659,37643,5,0
2023-01-10 05:04:38.356489,1473,412,986,1566,1255,0,0,0,532686,1440,795195,1494,S,15727,0,216,0,47,16,0,0,43,3371446272,44659,0,823107,44659,37643,5,0
2023-01-10 05:04:38.606304,1485,412,990,1590,1255,0,0,0,535044,1468,800103,1526,S,15745,0,216,0,47,16,0,0,43,3371446272,44659,0,823107,44659,37643,5,0
2023-01-10 05:04:38.887080,1488,412,992,1637,1256,0,0,0,537732,1501,805275,1562,S,15770,0,216,0,47,16,0,0,43,3371446272,44725,0,823107,44725,37665,5,0
2023-01-10 05:04:39.137514,1493,413,996,1667,1258,0,0,0,541270,1545,812041,1602,S,15812,0,216,0,48,16,0,0,43,3371446272,44725,1,823207,44888,37797,5,0
2023-01-10 05:04:39.413234,1506,414,1001,1669,1258,0,0,0,542640,1561,814666,1621,S,15912,0,216,0,48,17,0,0,43,3371855872,44888,1,823207,44888,37797,5,0
2023-01-10 05:04:39.670166,1516,414,1005,1672,1259,0,0,0,544686,1585,819347,1651,S,15912,0,216,0,48,17,0,0,43,3371855872,44888,1,823207,44888,37797,5,0
2023-01-10 05:04:39.936096,1527,415,1008,1679,1259,0,0,0,547152,1615,825311,1684,S,15914,0,216,0,49,17,0,0,43,3371855872,44888,1,823207,44888,37797,5,0
2023-01-10 05:04:40.192066,1537,415,1011,1686,1259,0,0,0,549774,1647,830154,1715,S,15914,0,216,0,49,17,0,0,43,3371855872,44888,0,823207,44888,37797,5,0
2023-01-10 05:04:40.454567,1540,415,1013,1723,1259,0,0,0,553295,1691,836566,1751,S,15915,0,216,0,50,17,0,0,43,3370627072,44593,0,822907,44593,37499,5,0
2023-01-10 05:04:40.725008,1574,415,1018,1728,1259,0,0,0,555251,1714,839555,1774,S,15916,0,216,0,50,17,0,0,43,3370627072,44593,0,820744,42435,35339,5,0
2023-01-10 05:04:40.982398,1600,415,1020,1729,1259,0,0,0,557495,1741,844456,1807,S,15916,0,216,0,50,17,0,0,43,3370627072,44593,0,820744,42435,35339,5,0
2023-01-10 05:04:41.243906,1636,417,1025,1729,1259,0,0,0,560141,1773,850901,1845,S,15922,0,216,0,50,17,0,0,43,3361767424,42435,0,820744,42435,35339,5,0
