#com.asbma.bostonvillage
#./workspace/com.asbma.bostonvillage_0/com.asbma.bostonvillage.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-07 20:39:30.330408,800,295,872,1922,1023,0,0,0,86310,632,638204,908,S,1819,0,2,0,1,0,0,0,13,3283087360,22049,1,801535,22049,17603,5,0
2023-01-07 20:39:30.612545,814,295,877,1935,1024,0,0,0,88918,663,644626,943,S,1956,0,2,0,1,1,0,0,13,3284279296,22796,1,801826,22796,18325,5,0
2023-01-07 20:39:30.861826,821,296,879,1935,1024,0,0,0,91498,694,649493,973,S,1956,0,2,0,1,1,0,0,13,3284279296,22796,1,801826,22796,18325,5,0
2023-01-07 20:39:31.116206,830,298,881,1935,1024,0,0,0,93180,714,653603,996,S,1956,0,2,0,1,1,0,0,13,3284279296,22796,1,801826,22796,18325,5,0
2023-01-07 20:39:31.386112,846,300,886,1940,1024,0,0,0,96094,750,658764,1032,S,1956,0,2,0,1,1,0,0,13,3284279296,22796,1,801826,22796,18325,5,0
2023-01-07 20:39:31.642701,871,303,889,1944,1024,0,0,0,98334,777,663704,1065,S,1956,0,2,0,1,1,0,0,13,3284279296,22796,1,801826,22796,18325,5,0
2023-01-07 20:39:31.888426,891,303,893,1949,1024,0,0,0,100488,803,668152,1092,S,1956,0,2,0,1,1,0,0,13,3284279296,22796,1,801826,22796,18325,5,0
2023-01-07 20:39:32.144147,914,304,897,1960,1025,0,0,0,102954,833,672888,1123,S,1956,0,2,0,1,1,0,0,13,3284279296,22796,1,801826,22796,18325,5,0
2023-01-07 20:39:32.414467,936,304,900,1977,1025,0,0,0,105108,859,677600,1154,S,1956,0,2,0,1,1,0,0,13,3284279296,22796,1,801826,22796,18325,5,0
2023-01-07 20:39:32.669846,957,304,902,1999,1026,0,0,0,107998,895,682595,1188,S,1956,0,2,0,1,1,0,0,13,3284279296,22796,1,801826,22796,18325,5,0
2023-01-07 20:39:32.935120,1000,306,908,2001,1026,0,0,0,111173,933,689976,1237,S,1956,0,2,0,1,1,0,0,13,3284279296,22796,1,801826,22796,18325,5,0
2023-01-07 20:39:33.198853,1027,308,912,2001,1026,0,0,0,112940,954,694049,1259,S,1956,0,2,0,1,1,0,0,13,3284279296,22796,1,801826,22796,18325,5,0
2023-01-07 20:39:33.454463,1046,310,914,2001,1026,0,0,0,115392,983,701048,1295,S,1956,0,2,0,1,1,0,0,13,3284279296,22796,1,801890,22796,18325,5,0
2023-01-07 20:39:33.980210,1096,318,924,2001,1026,0,0,0,117801,1012,706579,1332,S,1962,0,2,0,1,1,0,0,13,3284541440,22796,1,801890,22796,18325,5,0
2023-01-07 20:39:33.719779,1093,317,922,2001,1026,0,0,0,119885,1037,710899,1360,S,1962,0,2,0,1,1,0,0,13,3284541440,22796,1,801890,22796,18325,5,0
2023-01-07 20:39:34.255716,1143,322,932,2001,1026,0,0,0,121562,1057,714882,1382,S,1962,0,2,0,1,1,0,0,13,3284541440,22796,1,801890,22796,18325,5,0
2023-01-07 20:39:34.510658,1163,325,935,2001,1026,0,0,0,123834,1084,718412,1412,S,1962,0,2,0,1,1,0,0,13,3284541440,22796,1,801890,22627,18383,5,0
2023-01-07 20:39:35.021614,1223,333,942,2001,1026,0,0,0,128396,1139,729853,1468,S,1962,0,2,0,1,1,0,0,13,3284541440,22796,1,801890,22627,18383,5,0
2023-01-07 20:39:35.300716,1278,336,949,2001,1026,0,0,0,130007,1158,732675,1488,S,2042,0,2,0,2,1,0,0,13,3284541440,22627,1,801890,22627,18383,5,0
