#com.audioviator
#./workspace/com.audioviator_0/com.audioviator.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 02:13:26.265300,915,311,875,1855,1201,0,0,0,631563,1130,711889,1063,S,3590,0,6,0,4,1,0,0,15,3290697728,26717,0,803393,26717,21712,5,0
2023-01-10 02:13:26.530223,922,311,878,1855,1201,0,0,0,633897,1158,716874,1097,S,3590,0,6,0,5,1,0,0,15,3290697728,26717,0,803393,26717,21712,5,0
2023-01-10 02:13:26.799611,930,313,881,1857,1201,0,0,0,638145,1211,724639,1150,S,4009,0,6,0,5,1,0,0,15,3292397568,27185,1,803808,27185,22177,5,0
2023-01-10 02:13:27.060696,936,316,884,1864,1201,0,0,0,640611,1241,729415,1179,S,4029,0,7,0,5,2,0,0,15,3292397568,27185,0,803808,27185,22177,5,0
2023-01-10 02:13:27.310884,939,317,886,1886,1201,0,0,0,643299,1274,734646,1215,S,4270,0,7,0,6,2,0,0,15,3293315072,28102,1,804032,28102,23065,5,0
2023-01-10 02:13:27.578719,945,317,888,1928,1201,0,0,0,646317,1312,739937,1253,S,4271,0,7,0,7,2,0,0,15,3293315072,28102,1,804032,28174,23119,5,0
2023-01-10 02:13:27.854045,951,318,891,1963,1202,0,0,0,649005,1345,745899,1295,S,4711,0,9,0,9,2,0,0,15,3293212672,28307,1,804007,28307,23457,5,0
2023-01-10 02:13:28.109007,976,322,896,1969,1202,0,0,0,651117,1370,751301,1330,S,4719,0,10,0,10,2,0,0,15,3293212672,28307,1,804007,28307,23457,5,0
2023-01-10 02:13:28.379600,986,322,901,1991,1203,0,0,0,653739,1402,756883,1367,S,4817,0,10,0,11,2,0,0,15,3293560832,28412,0,804007,28405,23535,5,0
2023-01-10 02:13:28.624657,1011,323,906,2001,1203,0,0,0,656337,1434,762933,1401,S,5056,0,10,0,13,2,0,0,15,3293212672,28412,1,804007,28412,23535,5,0
2023-01-10 02:13:28.895548,1021,323,909,2033,1203,0,0,0,658449,1459,767700,1432,S,5127,0,10,0,13,2,0,0,15,3293212672,28428,0,804007,28428,23551,5,0
2023-01-10 02:13:29.150884,1031,324,912,2061,1205,0,0,0,661377,1496,772689,1466,S,5165,0,10,0,14,2,0,0,15,3293212672,28428,1,804798,29039,23971,5,0
2023-01-10 02:13:29.421538,1041,324,915,2096,1206,0,0,0,664263,1532,777818,1501,S,5517,0,11,0,16,2,0,0,16,3296452608,29039,1,804798,29039,23971,5,0
2023-01-10 02:13:29.683807,1045,324,917,2137,1206,0,0,0,666795,1563,784002,1537,S,5520,0,11,0,17,3,0,0,16,3296452608,29039,1,804798,29039,23971,5,0
2023-01-10 02:13:29.949384,1052,324,919,2176,1208,0,0,0,669549,1597,789395,1575,S,5539,0,11,0,18,3,0,0,16,3296583680,29039,1,805136,29042,23971,5,0
2023-01-10 02:13:30.220582,1062,325,923,2205,1209,0,0,0,672039,1627,794410,1609,S,5598,0,11,0,19,3,0,0,17,3297837056,29042,0,805136,29042,23971,5,0
2023-01-10 02:13:30.475515,1073,326,928,2235,1209,0,0,0,674481,1657,799683,1642,S,5651,0,11,0,20,3,0,0,17,3297837056,29274,1,805136,29274,24155,5,0
2023-01-10 02:13:30.735953,1081,328,931,2264,1211,0,0,0,677145,1690,805040,1676,S,5654,0,11,0,20,3,0,0,17,3297837056,29274,1,805136,29449,24217,5,0
2023-01-10 02:13:31.001376,1091,328,934,2300,1212,0,0,0,680139,1728,810403,1710,S,5816,0,12,0,22,3,0,0,17,3297943552,29449,0,805162,29450,24217,5,0
2023-01-10 02:13:31.259011,1096,328,937,2336,1212,0,0,0,682761,1760,816899,1750,S,5875,0,12,0,23,3,0,0,17,3297943552,29450,0,805162,29558,24273,5,0
2023-01-10 02:13:31.519595,1106,328,940,2372,1213,0,0,0,685515,1794,821938,1784,S,5889,0,12,0,23,3,0,0,17,3297943552,29558,0,805162,29558,24273,5,0
2023-01-10 02:13:31.785227,1124,336,944,2384,1214,0,0,0,687957,1824,826641,1814,S,5944,0,12,0,24,3,0,0,17,3297943552,29558,1,805162,29558,24273,5,0
2023-01-10 02:13:32.050515,1152,337,950,2396,1214,0,0,0,690357,1853,831713,1849,R,5948,0,12,0,26,4,0,0,17,3297943552,29621,0,805162,29647,24321,5,0
2023-01-10 02:13:32.304542,1181,337,954,2403,1214,0,0,0,693021,1886,836898,1884,S,6116,0,12,0,29,5,0,0,17,3297943552,29669,0,805162,29669,24321,5,0
2023-01-10 02:13:32.579332,1200,337,957,2408,1214,0,0,0,695289,1913,842083,1917,S,6117,0,12,0,29,5,0,0,17,3297943552,29669,0,805162,29669,24321,5,0
2023-01-10 02:13:32.829355,1212,337,960,2437,1215,0,0,0,698373,1952,847804,1955,S,6127,0,12,0,30,5,0,0,17,3298050048,29653,0,805188,29653,24321,5,0
2023-01-10 02:13:33.090001,1217,338,962,2477,1215,0,0,0,701169,1987,853411,1992,S,6169,0,12,0,31,5,0,0,17,3298050048,29653,1,805188,29653,24321,5,0
2023-01-10 02:13:33.360703,1228,338,965,2511,1217,0,0,0,703725,2018,859911,2031,R,6298,0,14,0,32,5,0,0,17,3298181120,29962,0,805220,30013,24552,5,0
2023-01-10 02:13:33.621136,1247,338,969,2531,1217,0,0,0,706413,2051,864926,2065,S,6508,0,14,0,34,5,0,0,17,3298181120,30013,0,805220,30013,24552,5,0
2023-01-10 02:13:33.876444,1258,339,971,2563,1217,0,0,0,709011,2083,869875,2098,S,6510,0,14,0,35,5,0,0,17,3298181120,30013,0,805305,30078,24604,5,0
2023-01-10 02:13:34.148249,1281,339,975,2583,1217,0,0,0,712057,2121,876233,2137,S,7956,0,17,0,38,6,0,0,21,3305795584,31203,1,807599,31724,26153,5,0
