#com.axelero.pompedicalorepadova
#./workspace/com.axelero.pompedicalorepadova_0/com.axelero.pompedicalorepadova.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 03:30:18.432644,938,361,888,1583,1317,0,0,0,369794,1070,709380,1152,S,14608,0,204,0,27,11,0,0,42,3381022720,49430,1,826032,49873,36225,5,0
2023-01-10 03:30:18.702893,949,362,891,1583,1317,0,0,0,373626,1117,717938,1198,S,14744,0,206,0,43,14,0,0,42,3383443456,49947,1,826767,50768,37133,5,0
2023-01-10 03:30:18.953889,955,362,893,1583,1317,0,0,0,375492,1139,720947,1221,S,14798,0,206,0,44,16,0,0,42,3386425344,50032,1,835701,56597,38042,5,0
2023-01-10 03:30:19.214316,964,364,897,1583,1317,0,0,0,378020,1170,725884,1252,S,20794,0,216,0,53,17,0,0,44,3420078080,55937,1,837458,58319,38875,5,0
2023-01-10 03:30:19.479693,970,367,899,1583,1317,0,0,0,380948,1207,730610,1282,S,23308,0,227,0,74,21,0,0,44,3430293504,58817,1,837514,59198,39631,5,0
2023-01-10 03:30:19.750537,979,369,903,1588,1318,0,0,0,383702,1241,735516,1314,S,23453,0,227,0,79,23,0,0,44,3430608896,59198,1,837551,59198,39631,5,0
2023-01-10 03:30:19.998775,992,369,906,1592,1319,0,0,0,386102,1270,740195,1344,S,23453,0,227,0,79,23,0,0,44,3430608896,59198,1,837615,57852,39653,5,0
2023-01-10 03:30:20.263537,1006,370,909,1598,1319,0,0,0,388658,1301,745253,1379,S,23596,0,228,0,80,24,0,0,44,3430871040,57852,0,837615,57852,39653,5,0
2023-01-10 03:30:20.529016,1010,371,912,1634,1319,0,0,0,391346,1334,750317,1413,R,23747,0,228,0,80,24,0,0,44,3431133184,57869,1,837679,57885,39685,5,0
2023-01-10 03:30:20.794856,1013,372,915,1666,1320,0,0,0,394166,1369,755579,1450,S,23775,0,228,0,80,24,0,0,44,3427856384,57914,0,836879,57950,39697,5,0
