#com.axxyoma.mobile
#./workspace/com.axxyoma.mobile_0/app568.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 22:55:05.536917,576,64,453,703,585,0,0,0,165872,1608,1181404,1918,S,5489,0,18,0,8,3,0,0,15,3292794880,25455,0,802463,24050,18297,5,0
2023-01-11 22:55:06.073392,600,66,460,703,585,0,0,0,169706,1652,1193217,1960,S,5495,0,18,0,8,3,0,0,15,3286888448,24050,0,802463,24050,18297,5,0
2023-01-11 22:55:05.813262,592,66,457,703,585,0,0,0,170141,1657,1195423,1965,S,5495,0,18,0,8,3,0,0,15,3286888448,24050,0,802463,24050,18297,5,0
2023-01-11 22:55:06.336783,607,67,462,703,585,0,0,0,172566,1686,1199737,1995,S,5495,0,18,0,8,3,0,0,15,3286888448,24050,0,802463,24050,18297,5,0
2023-01-11 22:55:06.582398,617,67,467,703,585,0,0,0,182233,1749,1218728,2063,S,5495,0,18,0,8,3,0,0,15,3286888448,24050,0,802463,24050,18297,5,0
2023-01-11 22:55:06.847868,630,69,471,703,585,0,0,0,268543,1861,1239626,2133,S,5495,0,18,0,8,3,0,0,15,3286888448,24050,0,802463,24050,18297,5,0
2023-01-11 22:55:07.113384,634,71,473,703,585,0,0,0,570547,2115,1251626,2242,S,5495,0,18,0,8,3,0,0,15,3286888448,24050,0,802463,24050,18297,5,0
2023-01-11 22:55:07.385673,651,73,478,703,585,0,0,0,644276,2217,1266375,2296,S,5495,0,18,0,8,3,0,0,15,3286888448,24050,0,802463,24050,18297,5,0
2023-01-11 22:55:07.640949,669,75,482,703,585,0,0,0,644553,2220,1267444,2299,S,5495,0,18,0,8,3,0,0,15,3286888448,24050,0,802463,24050,18297,5,0
2023-01-11 22:55:07.911838,680,76,487,703,585,0,0,0,649856,2285,1292618,2369,S,5495,0,18,0,8,3,0,0,15,3286888448,24050,0,802463,24050,18297,5,0
2023-01-11 22:55:08.176978,686,77,488,703,585,0,0,0,659813,2324,1299438,2406,S,5495,0,18,0,8,3,0,0,15,3286888448,24050,0,802463,24050,18297,5,0
2023-01-11 22:55:08.428549,694,78,491,703,585,0,0,0,662521,2357,1306227,2440,S,5495,0,18,0,8,3,0,0,15,3286888448,24050,0,802463,24050,18297,5,0
2023-01-11 22:55:08.696447,704,79,495,703,585,0,0,0,664996,2386,1311077,2470,S,5495,0,18,0,8,3,0,0,15,3286888448,24050,0,802495,24050,18297,5,0
2023-01-11 22:55:08.951682,712,81,498,703,585,0,0,0,667978,2422,1324006,2508,S,5495,0,18,0,8,3,0,0,15,3286888448,24050,0,802495,24050,18297,5,0
