#com.bookbestrate
#./workspace/com.bookbestrate_0/com.bookbestrate.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 04:51:40.305566,898,323,889,1956,1177,0,0,0,1027307,1119,669600,763,S,15172,0,2,0,16,3,0,0,15,3343556608,39380,0,816298,39380,23305,5,0
2023-01-10 04:51:40.560821,908,324,896,1966,1191,0,0,0,1030349,1157,676190,800,R,17668,0,105,0,19,5,0,0,26,3378372608,47810,1,829625,52010,34849,5,0
2023-01-10 04:51:40.845333,915,329,902,1968,1199,0,0,0,1033301,1194,681135,833,S,23040,0,194,0,29,9,0,0,39,3410669568,56336,1,832874,57289,37787,5,0
2023-01-10 04:51:41.104234,928,331,905,1968,1202,0,0,0,1035191,1216,685589,860,S,23990,0,211,0,35,11,0,0,39,3413549056,57750,1,832505,57019,37181,5,0
2023-01-10 04:51:41.360357,936,331,908,1968,1204,0,0,0,1037657,1246,690566,892,S,24097,0,211,0,42,12,0,0,39,3409940480,57019,1,832505,57019,37181,5,0
2023-01-10 04:51:41.635336,954,332,914,1970,1209,0,0,0,1040279,1278,695422,924,S,24129,0,211,0,43,12,0,0,39,3411259392,57099,0,832827,57052,37243,5,0
2023-01-10 04:51:41.913454,959,333,925,1973,1222,0,0,0,1042721,1308,700122,954,S,24131,0,211,0,44,12,0,0,39,3411259392,57052,0,832955,57467,37651,5,0
2023-01-10 04:51:42.182982,963,334,939,1982,1235,0,0,0,1045187,1338,704997,987,S,28649,0,231,0,48,14,0,0,41,3443314688,60443,0,841175,61491,38188,5,0
2023-01-10 04:51:42.433367,984,334,944,1998,1236,0,0,0,1047869,1372,709585,1016,S,31890,0,232,0,71,14,0,0,41,3449696256,63093,0,842219,63211,38314,5,0
2023-01-10 04:51:42.698846,1016,335,950,2009,1236,0,0,0,1050467,1404,714354,1047,S,32739,0,232,0,95,15,0,0,41,3450261504,63313,1,842349,63313,38410,5,0
2023-01-10 04:51:42.951735,1029,336,953,2020,1236,0,0,0,1052711,1431,719125,1078,S,32909,0,232,0,96,15,0,0,41,3450261504,63331,1,842349,63331,38426,5,0
2023-01-10 04:51:43.206838,1042,336,956,2051,1236,0,0,0,1055087,1460,723764,1107,S,32910,0,232,0,96,16,0,0,41,3450261504,63331,0,842349,63145,38570,5,0
2023-01-10 04:51:43.468906,1048,336,959,2088,1239,0,0,0,1057907,1495,728698,1139,S,33052,0,233,0,97,16,0,0,41,3450261504,62741,1,842349,62757,38586,5,0
2023-01-10 04:51:43.739540,1051,336,961,2132,1240,0,0,0,1060727,1530,733698,1172,S,33137,0,233,0,97,16,0,0,41,3450261504,62757,0,842349,62757,38586,5,0
2023-01-10 04:51:43.994911,1055,337,963,2175,1240,0,0,0,1063415,1563,739028,1210,S,33211,0,233,0,98,16,0,0,41,3450392576,62772,1,841581,62016,38580,5,0
2023-01-10 04:51:44.239967,1059,337,964,2216,1240,0,0,0,1066235,1598,744160,1245,R,33213,0,233,0,99,16,0,0,41,3447115776,62016,0,841581,62016,38580,5,0
2023-01-10 04:51:44.520783,1065,338,969,2253,1244,0,0,0,1069121,1634,749136,1278,S,33214,0,233,0,99,16,0,0,41,3447115776,62011,1,841581,62011,38580,5,0
2023-01-10 04:51:44.771238,1072,342,972,2284,1244,0,0,0,1071809,1667,754335,1314,S,33260,0,234,0,100,17,0,0,41,3447115776,61999,0,841581,61999,38597,5,0
2023-01-10 04:51:45.016271,1074,342,974,2322,1244,0,0,0,1074827,1705,759402,1348,S,33260,0,234,0,100,17,0,0,41,3447115776,61999,0,841581,61999,38597,5,0
2023-01-10 04:51:45.281809,1078,342,976,2369,1244,0,0,0,1077449,1737,764709,1385,S,33260,0,234,0,100,17,0,0,41,3447115776,61999,1,841581,62003,38598,5,0
2023-01-10 04:51:45.547372,1081,342,979,2410,1246,0,0,0,1080005,1768,769776,1419,S,33329,0,234,0,101,17,0,0,41,3447115776,61983,1,841581,61983,38598,5,0
2023-01-10 04:51:45.812892,1089,343,982,2444,1247,0,0,0,1082627,1800,775431,1457,S,33334,0,234,0,101,17,0,0,41,3447115776,61983,1,841581,61995,38615,5,0
2023-01-10 04:51:46.073260,1102,351,986,2454,1248,0,0,0,1085381,1834,781104,1495,S,33800,0,234,0,102,18,0,0,41,3447640064,62016,1,841709,62016,38631,5,0
2023-01-10 04:51:46.334012,1121,351,989,2465,1248,0,0,0,1087889,1865,786423,1529,S,33825,0,234,0,102,19,0,0,41,3447640064,60051,0,841709,60051,38631,5,0
2023-01-10 04:51:46.588106,1134,351,993,2475,1248,0,0,0,1090421,1896,792677,1566,S,33830,0,235,0,103,19,0,0,41,3447640064,60051,0,841709,60051,38631,5,0
2023-01-10 04:51:46.853660,1152,352,997,2478,1249,0,0,0,1092665,1923,797228,1594,S,33867,0,235,0,104,19,0,0,41,3447640064,60044,0,841709,60044,38631,5,0
2023-01-10 04:51:47.109190,1172,352,1001,2491,1249,0,0,0,1095089,1952,802560,1632,S,33868,0,235,0,104,19,0,0,41,3447640064,60044,1,841709,60044,38631,5,0
2023-01-10 04:51:47.364472,1174,353,1003,2534,1249,0,0,0,1097465,1981,807532,1666,S,33950,0,235,0,105,19,0,0,41,3447640064,60044,0,841709,60044,38631,5,0
2023-01-10 04:51:47.624896,1178,353,1005,2580,1249,0,0,0,1100081,2013,813901,1704,S,34051,0,235,0,105,19,0,0,41,3447640064,60074,1,841709,60074,38660,5,0
2023-01-10 04:51:47.885694,1189,354,1009,2609,1249,0,0,0,1102703,2045,819011,1739,S,34137,0,235,0,106,19,0,0,41,3447640064,60151,0,841709,60151,38720,5,0
2023-01-10 04:51:48.151052,1207,354,1013,2631,1250,0,0,0,1105367,2078,824097,1774,S,34137,0,235,0,107,20,0,0,41,3447640064,60151,0,840870,59456,38224,5,0
2023-01-10 04:51:48.412829,1222,355,1018,2661,1250,0,0,0,1108475,2117,829276,1808,S,34399,0,235,0,108,20,0,0,41,3444203520,59456,0,840870,59456,38224,5,0
2023-01-10 04:51:48.677531,1253,355,1022,2668,1250,0,0,0,1111403,2154,834074,1839,S,34420,0,235,0,109,20,0,0,41,3444203520,59457,1,840870,59457,38224,5,0
