#com.boxitsoft.zombargedon
#./workspace/com.boxitsoft.zombargedon_0/app4195.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 16:51:00.500571,659,143,528,2678,953,0,0,0,10412953,8191,760660,1909,S,27399,0,268,0,121,53,0,0,61,3623473152,58715,0,884637,58715,47442,5,0
2023-01-11 16:51:00.776397,675,143,535,2690,953,0,0,0,10420621,8285,777008,2009,S,27406,0,268,0,121,53,0,0,61,3623473152,58715,0,884637,58715,47442,5,0
2023-01-11 16:51:01.045680,689,143,539,2690,953,0,0,0,10422052,8302,780485,2027,S,27406,0,268,0,121,53,0,0,61,3623473152,58715,0,884637,58715,47442,5,0
2023-01-11 16:51:01.301157,696,144,541,2690,953,0,0,0,10424410,8330,785720,2059,S,27406,0,268,0,121,53,0,0,61,3623473152,58715,0,884637,58715,47442,5,0
2023-01-11 16:51:01.558659,705,145,543,2692,953,0,0,0,10425846,8347,788345,2078,S,27408,0,268,0,121,53,0,0,61,3623473152,58715,0,884637,58715,47442,5,0
2023-01-11 16:51:01.804879,713,149,547,2700,953,0,0,0,10428874,8384,795621,2121,S,27419,0,268,0,121,53,0,0,61,3623473152,58715,0,884637,58715,47442,5,0
2023-01-11 16:51:02.064001,721,150,550,2702,953,0,0,0,10430802,8407,800118,2149,S,27419,0,268,0,121,53,0,0,61,3623473152,58715,0,884637,58715,47442,5,0
2023-01-11 16:51:02.325715,729,150,553,2712,953,0,0,0,10433178,8436,804753,2178,S,27442,0,268,0,122,53,0,0,61,3623473152,58715,0,884637,58715,47442,5,0
2023-01-11 16:51:02.596106,741,150,556,2728,954,0,0,0,10435834,8468,810156,2217,S,27442,0,268,0,122,53,0,0,61,3623473152,58715,0,884637,58715,47442,5,0
2023-01-11 16:51:02.851497,753,150,560,2748,954,0,0,0,10438588,8502,815697,2257,S,27442,0,268,0,122,53,0,0,61,3623473152,58715,0,884637,58715,47442,5,0
2023-01-11 16:51:03.122145,775,150,564,2766,954,0,0,0,10441120,8533,820684,2291,S,27442,0,268,0,122,53,0,0,61,3623473152,58715,0,884637,58715,47442,5,0
2023-01-11 16:51:03.377612,795,150,567,2785,955,0,0,0,10443808,8566,826307,2329,S,27442,0,268,0,122,53,0,0,61,3623473152,58715,0,884637,58715,47442,5,0
2023-01-11 16:51:03.638010,817,150,569,2806,955,0,0,0,10446538,8600,831864,2366,S,27442,0,268,0,122,53,0,0,61,3623473152,58715,0,884903,58718,47442,5,0
2023-01-11 16:51:03.904779,855,150,573,2811,955,0,0,0,10449518,8637,839059,2411,S,27450,0,268,0,122,54,0,0,62,3624562688,58718,1,884903,58718,47442,5,0
2023-01-11 16:51:04.179856,876,151,577,2816,955,0,0,0,10451824,8665,844138,2446,S,27450,0,268,0,122,54,0,0,62,3624562688,58718,1,884903,58718,47442,5,0
2023-01-11 16:51:04.419803,900,151,582,2824,955,0,0,0,10454134,8693,848791,2476,S,27450,0,268,0,122,54,0,0,62,3624562688,58718,1,884903,58718,47442,5,0
2023-01-11 16:51:04.680629,934,151,586,2830,955,0,0,0,10456892,8727,853426,2505,S,27450,0,268,0,122,54,0,0,62,3624562688,58718,1,884903,58718,47442,5,0
2023-01-11 16:51:04.940461,950,151,590,2835,955,0,0,0,10461327,8780,861772,2556,S,27450,0,268,0,122,54,0,0,62,3624562688,58718,1,882985,58705,47458,5,0
2023-01-11 16:51:05.207308,974,152,598,2839,955,0,0,0,10463883,8811,866614,2587,S,27450,0,268,0,122,54,0,0,55,3616706560,58705,1,882985,58705,47458,5,0
2023-01-11 16:51:05.476653,999,152,603,2848,955,0,0,0,10466367,8841,871801,2623,S,27450,0,268,0,122,54,0,0,55,3616706560,58705,1,882985,58705,47458,5,0
2023-01-11 16:51:05.745377,1025,152,606,2863,955,0,0,0,10471644,8904,881906,2690,S,27450,0,268,0,122,54,0,0,55,3616706560,58705,1,882985,58705,47458,5,0
2023-01-11 16:51:05.995504,1058,154,613,2865,955,0,0,0,10474560,8939,888822,2732,S,27454,0,268,0,122,54,0,0,55,3616706560,58705,1,882985,58705,47458,5,0
2023-01-11 16:51:06.272595,1085,157,617,2866,955,0,0,0,10476308,8960,891849,2756,S,27454,0,268,0,122,54,0,0,55,3616706560,58705,1,882985,58705,47458,5,0
2023-01-11 16:51:06.498938,1095,166,620,2876,955,0,0,0,10480937,9015,898635,2802,S,27454,0,268,0,122,54,0,0,55,3616706560,58705,1,882985,58768,47457,5,0
2023-01-11 16:51:06.779618,1147,171,628,2878,955,0,0,0,10484174,9054,908980,2846,S,27460,0,268,0,122,54,0,0,55,3616706560,58768,1,882985,58768,47457,5,0
2023-01-11 16:51:07.056837,1148,171,628,2878,955,0,0,0,10485449,9069,911025,2860,S,27460,0,268,0,122,54,0,0,55,3616706560,58768,1,882985,58768,47457,5,0
2023-01-11 16:51:07.566087,1204,173,636,2879,955,0,0,0,10488776,9109,918659,2909,S,27460,0,268,0,122,54,0,0,55,3616706560,58768,1,882985,58768,47457,5,0
2023-01-11 16:51:07.315711,1196,173,635,2879,955,0,0,0,10489615,9119,920227,2918,S,27460,0,268,0,122,54,0,0,55,3616706560,58768,1,882985,58768,47457,5,0
2023-01-11 16:51:07.824427,1232,175,641,2879,955,0,0,0,10495282,9186,929308,2983,S,27460,0,268,0,122,54,0,0,55,3616706560,58768,1,882985,58768,47457,5,0
2023-01-11 16:51:08.090871,1253,179,647,2882,955,0,0,0,10497498,9213,934078,3014,S,27460,0,268,0,122,54,0,0,55,3616706560,58768,1,882985,58768,47457,5,0
2023-01-11 16:51:08.365002,1274,188,652,2889,955,0,0,0,10500138,9246,938915,3046,S,27460,0,268,0,122,54,0,0,55,3616706560,58768,1,882985,58768,47457,5,0
2023-01-11 16:51:08.640186,1295,198,655,2904,955,0,0,0,10502694,9277,943990,3080,S,27460,0,268,0,122,54,0,0,55,3616706560,58768,1,882985,58768,47457,5,0
2023-01-11 16:51:08.921461,1326,198,659,2909,955,0,0,0,10504882,9303,948659,3110,S,27461,0,268,0,122,54,0,0,55,3616706560,58768,1,882985,58768,47457,5,0
2023-01-11 16:51:09.172152,1353,198,662,2916,955,0,0,0,10510297,9367,959790,3180,S,27461,0,268,0,122,54,0,0,55,3616706560,58768,1,882985,58768,47457,5,0
2023-01-11 16:51:09.437800,1400,199,673,2917,955,0,0,0,10516185,9437,972594,3256,S,27470,0,268,0,122,54,0,0,55,3616706560,58768,1,882985,58768,47457,5,0
2023-01-11 16:51:09.706120,1415,201,678,2918,955,0,0,0,10516684,9443,973916,3262,S,27470,0,268,0,122,54,0,0,55,3616706560,58768,1,882985,58768,47457,5,0
