#com.broapps.comomejorartuautoestima
#./workspace/com.broapps.comomejorartuautoestima_0/com.broapps.comomejorartuautoestima.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 05:16:19.419261,974,405,915,1432,1202,0,0,0,320026,595,679709,721,S,14745,0,203,0,20,11,0,0,43,3383123968,49314,0,825710,49513,35812,5,0
2023-01-10 05:16:19.695137,983,406,918,1432,1202,0,0,0,322388,623,685604,752,S,15412,0,205,0,36,11,0,0,43,3383455744,50105,0,826772,50857,36610,5,0
2023-01-10 05:16:19.960821,991,406,920,1432,1202,0,0,0,325436,660,691123,789,S,16978,0,211,0,44,11,0,0,44,3390623744,51808,0,828510,53197,38868,5,0
2023-01-10 05:16:20.216170,1002,408,924,1433,1203,0,0,0,328148,693,696150,821,S,18005,0,214,0,52,12,0,0,44,3398299648,53285,0,837494,58373,39271,5,0
2023-01-10 05:16:20.462215,1013,409,926,1433,1203,0,0,0,330118,717,700426,846,S,22115,0,228,0,67,13,0,0,46,3424075776,57383,0,837776,58850,39347,5,0
2023-01-10 05:16:20.726629,1018,413,928,1433,1203,0,0,0,332362,744,705080,876,S,23655,0,229,0,83,14,0,0,47,3431530496,58850,0,837778,58850,39347,5,0
2023-01-10 05:16:20.981742,1027,415,931,1450,1205,0,0,0,335182,779,710010,908,S,23800,0,229,0,83,15,0,0,47,3431538688,58851,1,837778,58851,39347,5,0
2023-01-10 05:16:21.247196,1046,416,937,1472,1206,0,0,0,338342,818,716585,947,S,24179,0,231,0,85,15,0,0,47,3431538688,59134,0,837778,59134,39525,5,0
2023-01-10 05:16:21.522504,1061,424,941,1473,1207,0,0,0,340114,839,719702,972,S,24182,0,231,0,85,15,0,0,47,3431538688,59134,0,837792,57250,39557,5,0
2023-01-10 05:16:21.778726,1078,431,946,1483,1207,0,0,0,342712,871,724560,1004,S,24570,0,231,0,86,18,0,0,47,3428261888,57331,1,836978,57331,39553,5,0
2023-01-10 05:16:22.056165,1094,431,952,1501,1208,0,0,0,345508,906,729574,1038,S,24721,0,231,0,87,18,0,0,47,3428261888,57347,1,836978,57347,39569,5,0
