#com.calsto.statusbar.jb
#./workspace/com.calsto.statusbar.jb_0/app3372.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 23:04:24.060582,764,103,504,2527,797,0,0,0,993870,2440,1393886,2465,S,15952,0,274,0,35,13,0,0,38,3378606080,49904,0,824855,49904,37107,5,0
2023-01-11 23:04:24.329606,767,103,506,2527,797,0,0,0,996015,2466,1399063,2495,S,15952,0,274,0,35,13,0,0,38,3378606080,49904,0,824855,49904,37107,5,0
2023-01-11 23:04:24.592213,772,105,510,2527,797,0,0,0,998567,2497,1404454,2530,S,15954,0,274,0,35,13,0,0,38,3378606080,49904,0,824855,49904,37107,5,0
2023-01-11 23:04:24.863450,778,111,518,2527,797,0,0,0,1064696,2650,1443458,2657,S,15964,0,274,0,35,13,0,0,38,3378606080,50007,0,825588,50666,37930,5,0
2023-01-11 23:04:25.108730,789,113,521,2528,797,0,0,0,1093308,2694,1447976,2689,S,17093,0,274,0,42,17,0,0,38,3381600256,50666,0,825588,50754,38012,5,0
2023-01-11 23:04:25.369424,798,115,523,2529,797,0,0,0,1100199,2755,1462002,2751,S,17309,0,274,0,49,19,0,0,38,3382263808,50930,0,825748,50930,38186,5,0
2023-01-11 23:04:25.621028,808,115,527,2529,797,0,0,0,1102935,2788,1468821,2788,S,17311,0,274,0,51,20,0,0,38,3382263808,50930,0,825748,50930,38186,5,0
2023-01-11 23:04:25.886764,820,117,530,2529,797,0,0,0,1106954,2837,1476830,2839,S,17388,0,275,0,57,21,0,0,38,3382263808,50946,0,825748,50946,38202,5,0
2023-01-11 23:04:26.145148,826,118,532,2529,797,0,0,0,1109752,2871,1482861,2877,S,17398,0,275,0,58,22,0,0,38,3382263808,50946,0,825748,50946,38202,5,0
2023-01-11 23:04:26.398844,841,127,538,2529,797,0,0,0,1112266,2901,1488131,2911,S,17400,0,275,0,60,22,0,0,38,3382263808,50946,0,825748,50483,38341,5,0
2023-01-11 23:04:26.676269,862,136,544,2530,797,0,0,0,1176402,2983,1496820,2972,S,18624,0,276,0,66,22,0,0,38,3382263808,51452,0,825754,51580,38412,5,0
2023-01-11 23:04:26.929346,887,141,550,2531,798,0,0,0,1180206,3030,1504565,3018,S,18750,0,276,0,76,22,0,0,38,3382288384,51580,0,825754,51639,38412,5,0
2023-01-11 23:04:27.197889,912,145,556,2531,798,0,0,0,1183632,3072,1511521,3063,S,18801,0,276,0,82,23,0,0,38,3382288384,51605,1,825754,51318,38412,5,0
2023-01-11 23:04:27.460970,933,149,562,2533,798,0,0,0,1186614,3108,1518519,3105,S,20166,0,276,0,91,23,0,0,42,3388928000,51873,1,827378,52167,38659,5,0
2023-01-11 23:04:27.714420,968,150,569,2535,798,0,0,0,1189326,3141,1526339,3145,S,20372,0,276,0,100,24,0,0,42,3388940288,52167,1,827378,52167,38659,5,0
2023-01-11 23:04:27.979445,985,150,573,2540,798,0,0,0,1192830,3186,1544975,3192,S,20373,0,276,0,101,24,0,0,42,3388940288,52167,0,827378,52167,38659,5,0
2023-01-11 23:04:28.245399,1010,152,578,2562,799,0,0,0,1197783,3238,1553433,3246,S,20499,0,276,0,115,24,0,0,46,3393429504,51738,1,828529,51750,38684,5,0
2023-01-11 23:04:28.495615,1034,154,583,2567,799,0,0,0,1200495,3271,1559120,3285,S,20695,0,276,0,122,24,0,0,46,3393654784,51750,0,828529,51750,38684,5,0
2023-01-11 23:04:28.766245,1046,154,586,2593,799,0,0,0,1202985,3301,1564315,3321,S,20695,0,276,0,124,24,0,0,46,3393654784,51750,0,828529,51750,38684,5,0
2023-01-11 23:04:29.031744,1062,155,589,2621,799,0,0,0,1206249,3342,1572082,3364,S,20714,0,276,0,129,25,0,0,46,3393429504,51566,0,828474,51566,38658,5,0
2023-01-11 23:04:29.284166,1083,155,594,2636,799,0,0,0,1209126,3377,1577636,3401,S,20716,0,276,0,133,27,0,0,46,3393429504,51566,1,828474,51566,38658,5,0
2023-01-11 23:04:29.555738,1109,156,601,2648,799,0,0,0,1212642,3420,1586045,3451,S,21223,0,276,0,142,29,0,0,50,3398574080,51671,0,829785,51815,38717,5,0
2023-01-11 23:04:29.793282,1127,158,606,2653,799,0,0,0,1215066,3449,1591196,3485,S,21361,0,276,0,147,30,0,0,50,3398799360,51815,1,829785,51815,38717,5,0
2023-01-11 23:04:30.074461,1149,158,610,2675,799,0,0,0,1218888,3497,1599429,3536,S,21375,0,276,0,151,31,0,0,50,3398799360,51835,0,829785,51835,38717,5,0
2023-01-11 23:04:30.334721,1166,167,618,2684,800,0,0,0,1223722,3557,1614095,3609,S,22715,0,276,0,159,33,0,0,54,3403304960,52842,0,830885,52857,38786,5,0
2023-01-11 23:04:30.584982,1197,168,626,2685,801,0,0,0,1227772,3607,1625023,3667,S,22740,0,276,0,163,33,0,0,54,3403304960,52857,0,830885,52857,38786,5,0
2023-01-11 23:04:30.842116,1217,168,631,2686,801,0,0,0,1229520,3628,1627763,3687,S,22742,0,276,0,165,34,0,0,54,3403304960,52857,0,830885,52857,38786,5,0
2023-01-11 23:04:31.105223,1248,168,635,2687,801,0,0,0,1232994,3670,1634906,3728,S,22745,0,276,0,167,35,0,0,54,3403304960,52857,0,830885,52857,38786,5,0
2023-01-11 23:04:31.360192,1273,170,642,2688,801,0,0,0,1236260,3710,1643365,3773,S,22750,0,276,0,168,36,0,0,54,3403304960,52857,0,830830,52540,38797,5,0
2023-01-11 23:04:31.615646,1294,173,648,2690,801,0,0,0,1239218,3746,1649633,3816,S,22782,0,276,0,172,37,0,0,54,3403079680,52540,1,830830,52337,38797,5,0
2023-01-11 23:04:31.870893,1316,173,654,2700,801,0,0,0,1241816,3778,1654426,3847,S,22801,0,276,0,182,39,0,0,54,3403079680,52145,1,830830,52145,38797,5,0
2023-01-11 23:04:32.149967,1339,173,658,2714,801,0,0,0,1244414,3810,1659943,3883,S,22822,0,276,0,187,40,0,0,54,3403079680,52146,0,830830,52124,38813,5,0
2023-01-11 23:04:32.410470,1373,173,665,2724,801,0,0,0,1247258,3845,1666612,3928,S,22995,0,276,0,197,41,0,0,54,3403079680,52204,0,830830,52176,38829,5,0
2023-01-11 23:04:32.673078,1391,173,669,2733,801,0,0,0,1249838,3876,1672419,3966,S,22997,0,276,0,201,42,0,0,54,3403079680,52176,0,830830,52176,38829,5,0
2023-01-11 23:04:32.940773,1419,173,675,2742,801,0,0,0,1252460,3908,1679026,4005,R,23000,0,276,0,205,43,0,0,54,3403079680,52152,0,830830,52141,38829,5,0
2023-01-11 23:04:33.195761,1439,174,681,2747,801,0,0,0,1254638,3934,1683729,4035,S,23000,0,276,0,206,44,0,0,54,3403079680,52141,1,830830,52114,38829,5,0
