#com.cat.translator
#./workspace/com.cat.translator_0/com.cat.translator.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 23:32:40.062408,948,303,864,1931,1173,0,0,0,652662,903,658073,757,S,3995,0,17,0,5,1,0,0,14,3287113728,23887,0,802518,23887,17917,5,0
2023-01-09 23:32:40.343272,954,304,867,1954,1174,0,0,0,656418,950,665673,803,S,4014,0,17,0,5,2,0,0,14,3287113728,23888,0,802518,23888,17917,5,0
2023-01-09 23:32:40.623747,962,307,870,1965,1175,0,0,0,658974,981,670984,840,S,4020,0,17,0,6,2,0,0,14,3287113728,23888,1,802518,23888,17917,5,0
2023-01-09 23:32:40.889315,969,308,873,1992,1175,0,0,0,661818,1016,676040,874,S,4105,0,17,0,6,2,0,0,14,3287244800,23889,1,807085,30297,23631,5,0
2023-01-09 23:32:41.144817,981,308,878,2003,1175,0,0,0,664128,1044,680604,902,D,7002,0,82,0,12,4,0,0,21,3319664640,32459,1,810214,31731,25235,5,0
2023-01-09 23:32:41.411325,987,315,882,2003,1183,0,0,0,666726,1076,685457,934,R,8117,0,171,0,17,6,0,0,32,3330830336,34935,1,816570,36296,28742,5,0
2023-01-09 23:32:41.666794,997,316,886,2006,1187,0,0,0,668592,1098,689928,962,R,12613,0,180,0,30,10,0,0,38,3344670720,36296,1,819667,39341,30634,5,0
2023-01-09 23:32:41.947593,1007,317,890,2007,1188,0,0,0,671110,1128,696013,995,S,16223,0,220,0,42,14,0,0,41,3357360128,39684,1,819668,39685,30658,5,0
2023-01-09 23:32:42.197504,1035,317,893,2008,1188,0,0,0,672792,1148,699037,1019,R,16261,0,221,0,43,14,0,0,41,3356352512,39489,1,819422,39664,30552,5,0
2023-01-09 23:32:42.456977,1060,317,900,2011,1195,0,0,0,675258,1178,703963,1052,S,16923,0,222,0,48,16,0,0,41,3356856320,39745,0,819545,39748,30612,5,0
2023-01-09 23:32:42.715613,1079,318,904,2012,1197,0,0,0,677322,1203,708373,1079,S,17284,0,230,0,49,17,0,0,41,3358040064,40120,1,820401,40118,31050,5,0
2023-01-09 23:32:42.967577,1086,318,909,2038,1203,0,0,0,679854,1234,713432,1114,S,17602,0,232,0,52,17,0,0,43,3360362496,40121,0,820401,40123,31050,5,0
2023-01-09 23:32:43.233279,1096,319,912,2076,1204,0,0,0,682740,1270,718408,1147,S,18004,0,232,0,53,18,0,0,45,3366805504,40224,0,821974,40226,31101,5,0
2023-01-09 23:32:43.493586,1098,319,914,2118,1205,0,0,0,685626,1306,723672,1184,S,18064,0,232,0,53,18,0,0,45,3366805504,40226,0,821974,40226,31101,5,0
2023-01-09 23:32:43.759182,1100,320,920,2160,1207,0,0,0,688182,1337,728714,1218,S,18074,0,232,0,53,18,0,0,45,3366805504,40226,0,821974,40226,31101,5,0
2023-01-09 23:32:44.004300,1101,320,922,2200,1207,0,0,0,690936,1371,733552,1250,S,18076,0,232,0,53,18,0,0,45,3366805504,40226,0,820808,40519,31168,5,0
2023-01-09 23:32:44.279963,1126,320,926,2214,1208,0,0,0,693666,1405,738546,1284,S,19862,0,233,0,67,19,0,0,43,3361251328,40687,1,820618,40688,31169,5,0
2023-01-09 23:32:44.535485,1148,320,930,2233,1208,0,0,0,695910,1432,743135,1313,R,20019,0,233,0,67,19,0,0,43,3361251328,40688,0,821925,40691,31169,5,0
2023-01-09 23:32:44.795901,1168,322,936,2256,1209,0,0,0,698220,1460,748231,1348,S,21858,0,233,0,77,20,0,0,44,3365822464,40526,1,822539,40645,31235,5,0
2023-01-09 23:32:45.052074,1198,324,942,2261,1209,0,0,0,701224,1497,753945,1387,S,22519,0,233,0,79,22,0,0,45,3369119744,40649,1,822539,40650,31235,5,0
2023-01-09 23:32:45.315571,1219,325,946,2268,1209,0,0,0,703086,1519,758999,1417,S,22606,0,233,0,80,22,0,0,45,3369119744,40650,0,822539,40652,31235,5,0
2023-01-09 23:32:45.570732,1235,325,951,2286,1209,0,0,0,705618,1550,764149,1453,S,23011,0,233,0,82,22,0,0,45,3369119744,40656,0,822539,40656,31235,5,0
2023-01-09 23:32:45.831120,1239,325,954,2325,1209,0,0,0,708306,1583,769893,1492,S,23032,0,233,0,82,22,0,0,45,3369119744,40657,1,0,0,0,0,0
