#com.cfinc.homee.themepack.sweet_spring
#./workspace/com.cfinc.homee.themepack.sweet_spring_0/com.cfinc.homee.themepack.sweet_spring.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 23:28:58.347332,716,281,787,1941,1205,0,0,0,2951052,2795,678177,1263,S,10773,0,8,0,22,7,0,0,26,3330924544,36981,1,813214,36981,25809,5,0
2023-01-09 23:28:58.607921,725,284,791,1941,1205,0,0,0,2953768,2828,684282,1296,S,10773,0,8,0,22,7,0,0,26,3330924544,36981,1,813214,36981,25809,5,0
2023-01-09 23:28:58.890971,730,284,793,1941,1205,0,0,0,2955814,2852,690311,1325,S,10773,0,8,0,22,7,0,0,26,3330924544,36981,1,813214,36981,25809,5,0
2023-01-09 23:28:59.141582,740,286,795,1941,1205,0,0,0,2957430,2871,693268,1348,S,10773,0,8,0,22,7,0,0,26,3330924544,36981,1,813214,36981,25809,5,0
2023-01-09 23:28:59.412821,745,291,800,1943,1206,0,0,0,2959995,2902,697937,1377,S,10779,0,9,0,22,7,0,0,26,3330924544,36981,1,813216,36891,25990,5,0
2023-01-09 23:28:59.671478,751,294,803,1943,1206,0,0,0,2962551,2933,703200,1413,S,12027,0,9,0,32,7,0,0,26,3331903488,37209,1,813719,37210,26189,5,0
2023-01-09 23:28:59.924781,758,295,806,1953,1208,0,0,0,2965173,2965,708496,1451,S,12217,0,9,0,32,8,0,0,28,3331379200,36767,1,813357,36860,25665,5,0
2023-01-09 23:29:00.190152,769,296,809,1953,1208,0,0,0,2966973,2986,712634,1474,S,12280,0,9,0,34,8,0,0,28,3331510272,36860,1,813357,36860,25665,5,0
2023-01-09 23:29:00.451576,775,297,811,1958,1208,0,0,0,2969283,3014,717348,1505,S,12280,0,9,0,34,8,0,0,28,3331510272,36860,1,813357,36860,25665,5,0
2023-01-09 23:29:00.702087,787,299,816,1965,1208,0,0,0,2971905,3046,722290,1538,S,12280,0,9,0,34,8,0,0,28,3331510272,36860,1,813357,36860,25665,5,0
2023-01-09 23:29:00.971410,792,299,817,1980,1208,0,0,0,2974395,3076,727232,1571,S,12280,0,9,0,34,8,0,0,28,3331510272,36860,1,813357,36860,25665,5,0
