#com.cn21.vocapp
#./workspace/com.cn21.vocapp_0/com.cn21.vocapp.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 03:16:15.958950,926,310,880,1571,1339,0,0,0,1003528,1109,686308,770,S,3417,0,2,0,1,3,0,0,14,3289284608,25860,1,803048,25860,20544,5,0
2023-01-10 03:16:16.225261,933,310,884,1584,1341,0,0,0,1006504,1146,692734,808,S,3417,0,2,0,1,3,0,0,14,3289284608,25860,1,803048,25860,20544,5,0
2023-01-10 03:16:16.480529,934,310,886,1628,1341,0,0,0,1009324,1181,697854,843,S,3417,0,2,0,1,3,0,0,14,3289284608,25860,1,803048,25860,20544,5,0
2023-01-10 03:16:16.751115,945,312,889,1642,1342,0,0,0,1012078,1215,703038,879,S,3450,0,3,0,1,3,0,0,16,3291635712,25862,1,803374,25864,20544,5,0
2023-01-10 03:16:17.031209,952,314,891,1643,1342,0,0,0,1014634,1246,707930,912,S,3456,0,3,0,2,3,0,0,15,3290619904,25864,1,803374,25864,20544,5,0
2023-01-10 03:16:17.283509,967,316,893,1651,1343,0,0,0,1017298,1279,712624,942,S,3456,0,3,0,2,3,0,0,15,3290619904,25864,1,803374,25864,20544,5,0
2023-01-10 03:16:17.549067,972,316,895,1686,1343,0,0,0,1020004,1313,717162,970,S,3456,0,3,0,2,3,0,0,15,3290619904,25864,1,803374,25864,20544,5,0
2023-01-10 03:16:17.814300,982,316,897,1717,1343,0,0,0,1023022,1351,722126,1003,S,3456,0,3,0,2,3,0,0,15,3290619904,25864,1,803374,25864,20544,5,0
2023-01-10 03:16:18.069724,982,316,898,1762,1344,0,0,0,1026106,1390,727024,1035,S,3456,0,3,0,2,3,0,0,15,3290619904,25864,1,803374,25864,20544,5,0
2023-01-10 03:16:18.330172,983,316,899,1810,1344,0,0,0,1029058,1427,732211,1071,S,3456,0,3,0,2,3,0,0,15,3290619904,25864,1,803374,25864,20544,5,0
