#com.communitake.android.bell
#./workspace/com.communitake.android.bell_0/com.communitake.android.bell.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 02:32:55.333574,794,191,630,1176,750,0,0,0,588303,735,576718,659,0,0,0,0,0,0,0,0,0,0,0,0,0,439652,24094,18064,5,0
2023-01-11 02:32:55.604468,802,193,633,1176,750,0,0,0,589692,751,580669,677,0,0,0,0,0,0,0,0,0,0,0,0,0,439652,24094,18064,5,0
2023-01-11 02:32:55.865231,807,194,634,1176,750,0,0,0,593049,791,587644,718,0,0,0,0,0,0,0,0,0,0,0,0,0,439652,24094,18064,5,0
2023-01-11 02:32:56.127682,812,195,638,1176,750,0,0,0,594206,805,590951,731,0,0,0,0,0,0,0,0,0,0,0,0,0,439652,24094,18064,5,0
2023-01-11 02:32:56.382601,815,199,640,1176,750,0,0,0,598202,853,602241,784,0,0,0,0,0,0,0,0,0,0,0,0,0,439652,24094,18064,5,0
2023-01-11 02:32:56.643182,819,204,644,1176,750,0,0,0,600875,885,607273,818,0,0,0,0,0,0,0,0,0,0,0,0,0,439652,24094,18064,5,0
2023-01-11 02:32:56.922071,829,208,649,1176,750,0,0,0,605004,935,621851,871,0,0,0,0,0,0,0,0,0,0,0,0,0,439652,24094,18064,5,0
2023-01-11 02:32:57.175308,831,212,652,1176,750,0,0,0,608193,973,631122,916,0,0,0,0,0,0,0,0,0,0,0,0,0,439652,24094,18064,5,0
2023-01-11 02:32:57.425599,836,214,655,1176,750,0,0,0,609875,993,633901,937,0,0,0,0,0,0,0,0,0,0,0,0,0,439652,24094,18064,5,0
2023-01-11 02:32:57.686119,844,217,661,1176,750,0,0,0,613161,1032,643667,976,0,0,0,0,0,0,0,0,0,0,0,0,0,439652,24094,18064,5,0
2023-01-11 02:32:57.981284,848,218,665,1177,751,0,0,0,615692,1063,648496,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,439652,24094,18064,5,0
2023-01-11 02:32:58.245448,852,226,674,1183,752,0,0,0,618677,1099,656137,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,439652,24094,18064,5,0
2023-01-11 02:32:58.515224,861,227,683,1183,753,0,0,0,621818,1137,663835,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,439652,24094,18064,5,0
2023-01-11 02:32:58.764010,868,228,689,1184,754,0,0,0,624893,1174,673743,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,437753,24521,18481,5,0
2023-01-11 02:32:59.061308,874,231,696,1185,754,0,0,0,628194,1214,682859,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,437753,24521,18481,5,0
2023-01-11 02:32:59.305631,878,232,699,1185,754,0,0,0,630707,1244,690296,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,437753,24521,18481,5,0
2023-01-11 02:32:59.552614,885,234,703,1185,754,0,0,0,633044,1272,694971,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,437753,24521,18481,5,0
2023-01-11 02:32:59.845731,891,239,708,1185,754,0,0,0,636455,1313,705638,1291,0,0,0,0,0,0,0,0,0,0,0,0,0,437753,24521,18481,5,0
2023-01-11 02:33:00.098834,895,241,713,1185,754,0,0,0,639194,1346,713204,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,437753,24521,18481,5,0
2023-01-11 02:33:00.379369,901,244,719,1185,754,0,0,0,642921,1391,722987,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,437753,24521,18481,5,0
2023-01-11 02:33:00.624754,906,246,722,1185,754,0,0,0,645254,1419,728639,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,437753,24521,18481,5,0
