#com.conduit.app_da100d46cc26415abdca51abaa2c510b.app
#./workspace/com.conduit.app_da100d46cc26415abdca51abaa2c510b.app_0/com.conduit.app_da100d46cc26415abdca51abaa2c510b.app.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 00:44:05.956759,937,317,895,3391,1140,0,0,0,2716241,2446,681349,1065,S,16811,0,215,0,35,9,0,0,42,3378802688,46716,1,825225,47011,32994,5,0
2023-01-10 00:44:06.222923,949,317,899,3393,1142,0,0,0,2718419,2472,685986,1094,S,17149,0,223,0,36,10,0,0,42,3380932608,47352,0,825423,47352,33220,5,0
2023-01-10 00:44:06.493769,957,323,913,3393,1151,0,0,0,2721461,2510,693469,1131,S,17160,0,223,0,37,11,0,0,42,3380932608,47197,0,825225,46569,33120,5,0
2023-01-10 00:44:06.739213,964,324,920,3395,1152,0,0,0,2723861,2539,698329,1163,S,17293,0,225,0,39,11,0,0,42,3380121600,46570,0,826033,46806,33294,5,0
2023-01-10 00:44:06.999402,971,327,922,3396,1153,0,0,0,2726129,2566,703069,1192,S,17994,0,231,0,42,14,0,0,45,3383431168,47074,1,826549,48437,33743,5,0
2023-01-10 00:44:07.255648,980,328,926,3399,1154,0,0,0,2728331,2592,707684,1221,S,19245,0,231,0,50,16,0,0,45,3385544704,48437,1,826557,48798,33743,5,0
2023-01-10 00:44:07.530706,991,328,929,3409,1154,0,0,0,2730839,2623,712431,1252,S,19980,0,231,0,63,18,0,0,45,3386658816,48867,0,826821,48867,33775,5,0
2023-01-10 00:44:07.780329,1001,328,932,3422,1154,0,0,0,2733527,2656,717563,1287,S,20055,0,231,0,64,19,0,0,45,3386658816,48867,0,826821,48892,33791,5,0
2023-01-10 00:44:08.040883,1011,331,935,3448,1155,0,0,0,2736281,2690,722437,1319,S,20415,0,232,0,69,19,0,0,45,3386658816,49039,0,826821,49039,33922,5,0
2023-01-10 00:44:08.312137,1035,331,938,3457,1155,0,0,0,2738591,2718,727209,1350,S,20416,0,232,0,70,19,0,0,45,3386658816,49039,0,826821,49039,33922,5,0
2023-01-10 00:44:08.577197,1049,332,942,3490,1155,0,0,0,2741391,2753,731909,1381,S,21881,0,232,0,80,19,0,0,45,3386675200,49019,1,826828,48935,34007,5,0
2023-01-10 00:44:08.837735,1070,333,945,3497,1155,0,0,0,2743385,2777,736393,1408,S,22310,0,232,0,88,19,0,0,45,3386687488,48935,0,826554,48934,34007,5,0
2023-01-10 00:44:09.098423,1094,333,951,3508,1155,0,0,0,2746007,2809,741207,1440,S,22338,0,232,0,89,19,0,0,44,3385565184,48934,1,826554,48934,34007,5,0
