#com.convertoman.proin
#./workspace/com.convertoman.proin_2/app2511.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 04:41:00.548262,1181,250,836,1450,824,0,0,0,10115515,7270,704376,1216,S,35836,0,328,0,183,68,0,0,83,3427069952,42882,1,836083,39958,29970,5,0
2023-01-11 04:41:00.813982,1186,255,840,1450,824,0,0,0,10118917,7312,711978,1265,S,38287,0,328,0,191,73,0,0,83,3424657408,39960,1,836326,40403,30273,5,0
2023-01-11 04:41:01.074427,1190,260,844,1450,824,0,0,0,10121546,7343,718653,1300,S,38717,0,328,0,197,73,0,0,83,3428171776,40645,1,836556,41133,30321,5,0
2023-01-11 04:41:01.350631,1195,261,848,1450,824,0,0,0,10123540,7367,723656,1330,S,39436,0,328,0,202,76,0,0,83,3426807808,41314,1,836631,41356,30309,5,0
2023-01-11 04:41:01.610537,1201,263,854,1450,824,0,0,0,10126388,7402,729056,1365,S,39486,0,328,0,203,76,0,0,83,3426840576,41356,1,836631,41356,30309,5,0
2023-01-11 04:41:01.874580,1207,265,858,1450,824,0,0,0,10128566,7428,734036,1395,S,39499,0,328,0,203,76,0,0,83,3426840576,41356,1,836631,41356,30309,5,0
2023-01-11 04:41:02.114438,1210,267,863,1450,824,0,0,0,10130626,7453,739729,1425,S,39501,0,328,0,203,76,0,0,83,3426840576,41356,1,836631,41356,30309,5,0
2023-01-11 04:41:02.400395,1215,271,867,1450,824,0,0,0,10133488,7489,744565,1457,S,39501,0,328,0,203,76,0,0,83,3426840576,41356,1,836631,41356,30309,5,0
2023-01-11 04:41:02.660977,1222,273,873,1450,824,0,0,0,10135966,7519,749539,1488,S,39501,0,328,0,203,76,0,0,83,3426840576,41356,1,836631,41356,30309,5,0
2023-01-11 04:41:02.911628,1225,275,876,1450,824,0,0,0,10138144,7545,754129,1517,S,39501,0,328,0,203,76,0,0,83,3426840576,41356,1,836631,41356,30309,5,0
2023-01-11 04:41:03.199165,1232,276,879,1450,824,0,0,0,10142077,7593,764018,1569,S,39501,0,328,0,203,76,0,0,83,3426840576,41356,1,836631,41356,30309,5,0
2023-01-11 04:41:03.442657,1247,279,883,1450,824,0,0,0,10145215,7630,769743,1609,S,39501,0,328,0,203,76,0,0,83,3426840576,41356,1,836631,41356,30309,5,0
2023-01-11 04:41:03.703258,1248,279,884,1450,824,0,0,0,10145648,7635,771089,1615,S,39501,0,328,0,203,76,0,0,83,3426840576,41356,1,836631,41356,30309,5,0
2023-01-11 04:41:03.963609,1251,280,887,1450,824,0,0,0,10148049,7664,774651,1645,S,39501,0,328,0,203,76,0,0,83,3426840576,41356,1,836631,41356,30309,5,0
2023-01-11 04:41:04.248666,1257,284,893,1450,824,0,0,0,10150596,7694,781028,1682,S,39501,0,328,0,203,76,0,0,83,3426840576,41356,1,836631,41356,30309,5,0
2023-01-11 04:41:04.486285,1260,286,896,1450,824,0,0,0,10151687,7707,783166,1695,S,39501,0,328,0,203,76,0,0,83,3426840576,41356,1,836631,41356,30309,5,0
2023-01-11 04:41:04.746921,1265,288,902,1450,824,0,0,0,10154471,7740,788556,1732,S,39502,0,328,0,203,76,0,0,83,3426840576,41356,1,836631,41356,30309,5,0
2023-01-11 04:41:05.014199,1271,292,908,1450,824,0,0,0,10156805,7768,793303,1763,S,39502,0,328,0,203,76,0,0,83,3426840576,41356,1,836631,41356,30309,5,0
