#com.davemac327.gesture.tool
#./workspace/com.davemac327.gesture.tool_0/com.davemac327.gesture.tool.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 06:42:37.048045,915,324,902,1938,1082,0,0,0,78432,557,670396,831,S,3501,0,3,0,2,1,0,0,13,3290361856,25505,1,803311,25505,20969,5,0
2023-01-09 06:42:37.313905,926,324,905,1943,1082,0,0,0,80766,585,675204,862,S,3502,0,3,0,2,1,0,0,13,3290361856,25505,1,803311,25505,20969,5,0
2023-01-09 06:42:37.570041,941,324,909,1945,1083,0,0,0,83880,623,682264,902,S,3502,0,3,0,2,1,0,0,13,3290361856,25505,1,803311,25505,20969,5,0
2023-01-09 06:42:37.842117,950,325,911,1954,1083,0,0,0,86370,653,687350,935,S,3514,0,4,0,2,1,0,0,13,3290361856,25505,1,803311,25505,20969,5,0
2023-01-09 06:42:38.091990,957,329,913,1979,1083,0,0,0,89166,688,692093,965,S,3529,0,4,0,3,1,0,0,13,3290361856,25506,1,803311,25506,20970,5,0
2023-01-09 06:42:38.352386,959,329,915,2020,1083,0,0,0,91566,717,697034,998,S,3531,0,4,0,3,1,0,0,13,3290361856,25506,0,803311,25713,21148,5,0
2023-01-09 06:42:38.607731,966,330,919,2045,1084,0,0,0,94188,749,701911,1030,S,3655,0,7,0,3,1,0,0,13,3290365952,26100,1,803312,26100,21477,5,0
2023-01-09 06:42:38.868129,974,330,921,2077,1085,0,0,0,97008,784,706904,1063,S,3660,0,8,0,4,1,0,0,13,3290365952,26100,1,803312,26100,21477,5,0
2023-01-09 06:42:39.133711,995,331,925,2105,1085,0,0,0,99606,816,711717,1094,S,4401,0,8,0,4,2,0,0,13,3293319168,26922,0,804257,27732,23080,5,0
2023-01-09 06:42:39.394156,1012,332,928,2115,1085,0,0,0,101496,838,716171,1121,S,4656,0,8,0,5,2,0,0,13,3294236672,27732,1,804257,27733,23080,5,0
2023-01-09 06:42:39.660615,1034,332,931,2134,1085,0,0,0,104316,873,721273,1156,S,4716,0,8,0,6,2,0,0,13,3294236672,27733,1,804257,27752,23108,5,0
2023-01-09 06:42:39.915275,1053,333,936,2158,1085,0,0,0,107074,907,726063,1187,S,6445,0,8,0,7,3,0,0,16,3303575552,29776,0,806537,29776,24965,5,0
2023-01-09 06:42:40.175608,1079,335,939,2159,1085,0,0,0,109564,937,730833,1218,S,6445,0,8,0,7,3,0,0,16,3303575552,29776,0,804374,27667,22854,5,0
2023-01-09 06:42:40.431029,1100,338,941,2160,1085,0,0,0,111501,960,735209,1244,S,6449,0,8,0,7,3,0,0,16,3294715904,27667,0,804406,27667,22854,5,0
2023-01-09 06:42:40.689819,1122,344,947,2168,1085,0,0,0,114217,993,740354,1280,S,6462,0,9,0,8,3,0,0,16,3294846976,27667,0,804406,27667,22854,5,0
2023-01-09 06:42:40.950094,1149,344,952,2169,1085,0,0,0,116055,1015,744719,1306,S,6466,0,9,0,8,3,0,0,16,3294846976,27667,0,804406,27667,22854,5,0
2023-01-09 06:42:41.216711,1162,345,955,2193,1085,0,0,0,118827,1050,749288,1334,S,6470,0,9,0,8,3,0,0,16,3294846976,27667,0,804406,27667,22854,5,0
2023-01-09 06:42:41.463913,1168,345,957,2231,1085,0,0,0,121755,1087,754037,1364,S,6478,0,9,0,9,3,0,0,16,3294846976,27667,0,805127,28500,23671,5,0
2023-01-09 06:42:41.714046,1177,345,959,2261,1086,0,0,0,124461,1121,758714,1394,S,7200,0,9,0,9,3,0,0,16,3297800192,28500,0,805127,28500,23671,5,0
2023-01-09 06:42:41.974456,1181,346,962,2305,1086,0,0,0,127479,1159,763818,1429,S,7208,0,10,0,9,3,0,0,16,3297800192,28500,1,805127,28500,23671,5,0
