#com.djiqiot.mttqabjiolnpljw
#./workspace/com.djiqiot.mttqabjiolnpljw_0/app1169.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 23:01:41.746526,737,86,488,1468,604,0,0,0,7067637,6229,1337611,2270,D,6201,0,124,0,7,5,0,0,17,3316269056,33793,1,814313,37807,32525,5,0
2023-01-11 23:01:42.014671,747,88,496,1468,604,0,0,0,7072363,6287,1351085,2334,D,8104,0,277,0,11,7,0,0,35,3344486400,39706,1,824570,45474,34552,5,0
2023-01-11 23:01:42.269857,756,90,501,1468,604,0,0,0,7077907,6356,1370551,2410,S,14517,0,310,0,16,11,0,0,40,3377438720,45540,1,826635,49286,35971,5,0
2023-01-11 23:01:42.535172,765,92,506,1468,604,0,0,0,7080081,6382,1377802,2444,S,17051,0,343,0,19,12,0,0,41,3384774656,49790,1,826361,50662,37293,5,0
2023-01-11 23:01:42.787872,770,96,509,1468,604,0,0,0,7084065,6431,1386859,2495,S,17169,0,364,0,21,14,0,0,41,3384782848,50925,1,826367,50925,37529,5,0
2023-01-11 23:01:43.050589,782,97,515,1468,605,0,0,0,7088101,6480,1398642,2547,S,17213,0,372,0,25,15,0,0,41,3384803328,50925,1,826945,53784,40324,5,0
2023-01-11 23:01:43.562214,796,99,522,1468,605,0,0,0,7172571,6656,1437920,2714,S,20915,0,379,0,33,21,0,0,41,3387789312,54182,1,830343,57048,40310,5,0
2023-01-11 23:01:43.317352,788,98,518,1468,605,0,0,0,7171824,6647,1435952,2706,S,20284,0,379,0,32,20,0,0,41,3393884160,55014,1,830392,57218,40310,5,0
2023-01-11 23:01:43.826650,808,101,526,1468,605,0,0,0,7183139,6724,1451268,2791,S,24147,0,381,0,37,22,0,0,41,3401285632,57218,1,834509,61358,40604,5,0
2023-01-11 23:01:44.093093,818,103,531,1468,605,0,0,0,7190703,6789,1469821,2861,S,31790,0,384,0,48,23,0,0,41,3434110976,64662,1,842124,67944,42001,5,0
2023-01-11 23:01:44.331113,830,104,535,1468,605,0,0,0,7194203,6834,1484137,2903,S,34890,0,385,0,53,24,0,0,41,3449339904,67726,1,848121,71844,41834,5,0
2023-01-11 23:01:44.598199,842,109,541,1468,605,0,0,0,7276120,6954,1500808,3004,S,42273,0,385,0,64,29,0,0,47,3492245504,74905,1,853514,75413,42820,5,0
2023-01-11 23:01:44.869513,850,111,549,1468,605,0,0,0,7280580,7009,1511759,3062,S,43276,0,385,0,75,35,0,0,48,3497586688,75875,1,854085,75267,43431,5,0
2023-01-11 23:01:45.130581,862,114,556,1468,605,0,0,0,7286231,7057,1525257,3112,S,43501,0,385,0,78,38,0,0,47,3498332160,75267,1,854085,75267,43431,5,0
2023-01-11 23:01:45.399592,868,118,558,1468,605,0,0,0,7289709,7099,1533755,3155,S,43641,0,385,0,81,38,0,0,47,3498332160,73932,1,854121,74168,43433,5,0
2023-01-11 23:01:45.649512,878,120,561,1469,605,0,0,0,7292067,7127,1539212,3189,S,43887,0,385,0,85,40,0,0,47,3498479616,74168,1,854125,74168,43433,5,0
2023-01-11 23:01:45.925243,883,121,563,1469,605,0,0,0,7294175,7152,1544421,3219,S,43900,0,385,0,88,41,0,0,47,3498496000,74168,1,854127,74168,43433,5,0
