#com.doodroid.oil
#./workspace/com.doodroid.oil_0/com.doodroid.oil.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 01:31:56.763559,940,297,847,1842,1214,0,0,0,488037,840,658423,815,S,17361,1504,198,20,17,13,0,1,44,3391688704,50221,1,828053,51097,36003,5,0
2023-01-10 01:31:57.033712,949,298,850,1842,1215,0,0,0,490059,864,661634,841,S,18134,1504,198,20,22,15,0,1,44,3391696896,51097,1,829503,52143,36911,5,0
2023-01-10 01:31:57.294957,958,298,852,1842,1215,0,0,0,491807,885,665781,864,S,19882,1504,207,20,29,15,0,1,44,3397644288,52869,1,829825,53246,37972,5,0
2023-01-10 01:31:57.561839,969,299,858,1842,1218,0,0,0,496013,937,673754,919,S,20415,1504,216,20,31,16,0,1,44,3399233536,53855,1,829893,53921,38379,5,0
2023-01-10 01:31:57.832396,979,302,866,1843,1221,0,0,0,498885,972,678794,953,S,20575,1504,216,20,40,17,0,1,44,3401363456,54048,1,833912,55661,39223,5,0
2023-01-10 01:31:58.083663,986,302,871,1843,1225,0,0,0,501687,1006,685070,986,S,22285,1504,220,20,61,20,0,1,44,3415703552,55787,1,834040,56442,39996,5,0
2023-01-10 01:31:58.344485,993,304,873,1843,1225,0,0,0,503123,1023,687524,1003,S,22575,1504,222,20,63,20,0,1,44,3416227840,56442,1,834040,56442,39996,5,0
2023-01-10 01:31:58.604697,1000,306,876,1846,1227,0,0,0,505589,1053,692584,1037,S,22593,1504,222,20,66,21,0,1,44,3416227840,56283,0,834040,56283,40028,5,0
2023-01-10 01:31:58.887752,1008,306,879,1862,1227,0,0,0,508409,1088,697518,1069,S,22743,1504,222,20,67,21,0,1,44,3416227840,56299,0,834040,55675,40091,5,0
2023-01-10 01:31:59.147493,1016,308,883,1883,1229,0,0,0,510875,1118,702405,1101,S,23133,1504,224,20,74,21,0,1,44,3416227840,55707,1,834040,55707,40123,5,0
