#com.droidhen.vipbasketball
#./workspace/com.droidhen.vipbasketball_0/app1819.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 15:21:30.224411,819,123,491,2597,726,0,0,0,3618322,2955,713753,1085,S,7778,0,6,0,15,5,0,0,19,3316699136,32469,0,809741,32470,25274,5,0
2023-01-11 15:21:30.500220,823,124,494,2597,726,0,0,0,3620656,2983,731812,1125,S,7798,0,6,0,16,5,0,0,19,3316699136,32470,0,809741,32470,25274,5,0
2023-01-11 15:21:30.745232,833,127,499,2597,726,0,0,0,3698614,3081,742435,1183,S,7825,0,6,0,17,5,0,0,19,3316699136,32487,0,809741,32487,25326,5,0
2023-01-11 15:21:31.015792,839,129,500,2598,727,0,0,0,3700050,3098,744880,1200,S,7825,0,6,0,18,5,0,0,19,3316699136,32487,0,809741,32596,25422,5,0
2023-01-11 15:21:31.278621,849,134,504,2606,727,0,0,0,3748014,3182,766102,1272,S,7858,0,6,0,20,5,0,0,19,3316699136,32685,0,809741,32685,25504,5,0
2023-01-11 15:21:31.533351,860,136,508,2616,729,0,0,0,3750480,3212,771060,1306,S,7858,0,6,0,21,5,0,0,19,3316699136,32685,0,809741,32685,25504,5,0
2023-01-11 15:21:31.793753,866,136,510,2648,729,0,0,0,3753432,3249,776373,1344,S,7861,0,6,0,22,5,0,0,19,3316699136,32685,1,809741,32685,25504,5,0
2023-01-11 15:21:32.059241,874,136,514,2675,729,0,0,0,3856922,3359,783832,1411,D,9356,0,41,0,25,5,0,0,21,3331420160,36170,0,816050,39160,31677,5,0
2023-01-11 15:21:32.312738,879,148,519,2676,738,0,0,0,4026474,3510,794027,1519,S,11104,0,288,0,30,7,0,0,41,3367022592,43567,1,824298,45872,37198,5,0
2023-01-11 15:21:32.583858,892,150,525,2676,742,0,0,0,4029096,3542,799702,1558,S,13411,0,308,0,32,10,0,0,43,3376353280,46048,0,824305,46048,37296,5,0
2023-01-11 15:21:32.831726,907,151,529,2678,747,0,0,0,4031448,3571,805301,1587,S,13547,0,309,0,33,11,0,0,43,3370397696,44856,0,822915,45006,36145,5,0
2023-01-11 15:21:33.107936,915,151,533,2680,755,0,0,0,4276201,3769,815091,1694,S,13818,0,313,0,34,11,0,0,43,3370659840,45006,0,822915,45006,36145,5,0
2023-01-11 15:21:33.384324,919,151,539,2689,770,0,0,0,4279153,3806,820069,1727,S,13950,0,322,0,35,12,0,0,43,3371978752,45462,0,823237,45462,36491,5,0
2023-01-11 15:21:33.629120,924,152,542,2726,774,0,0,0,4528243,4018,830091,1837,S,14384,0,324,0,36,12,0,0,43,3375378432,45897,1,824461,46010,37018,5,0
2023-01-11 15:21:33.903178,942,156,548,2738,774,0,0,0,4530619,4047,836026,1870,S,15085,0,324,0,39,13,0,0,44,3376992256,46029,0,824493,46030,37034,5,0
2023-01-11 15:21:34.160528,949,158,552,2770,779,0,0,0,4533373,4081,841104,1905,S,15219,0,324,0,40,13,0,0,44,3377123328,46007,1,824493,46008,37034,5,0
2023-01-11 15:21:34.426060,952,158,554,2812,779,0,0,0,4880197,4354,847362,1958,S,15329,0,324,0,40,13,0,0,45,3378245632,46013,0,824767,46013,37034,5,0
2023-01-11 15:21:34.701022,955,158,556,2859,779,0,0,0,4882663,4384,852416,1993,S,15329,0,324,0,40,13,0,0,45,3378245632,46013,0,824767,46013,37034,5,0
2023-01-11 15:21:34.956376,957,158,559,2906,779,0,0,0,5049025,4534,857848,2033,S,15329,0,324,0,40,13,0,0,45,3378245632,46013,0,824767,46013,37034,5,0
2023-01-11 15:21:35.216817,962,159,560,2949,780,0,0,0,5335843,4768,864198,2088,S,15329,0,324,0,40,13,0,0,45,3378245632,46013,0,824767,46013,37034,5,0
2023-01-11 15:21:35.477379,965,159,561,2994,780,0,0,0,5475025,4900,869724,2129,S,15329,0,324,0,40,13,0,0,45,3378245632,46013,0,824767,46013,37034,5,0
2023-01-11 15:21:35.744472,969,159,564,3036,781,0,0,0,5945329,5261,883448,2295,S,15329,0,324,0,40,13,0,0,45,3378245632,46013,0,824767,46013,37034,5,0
2023-01-11 15:21:36.009921,971,159,565,3084,781,0,0,0,5948281,5298,890049,2337,S,15329,0,324,0,40,13,0,0,45,3378245632,46013,0,824767,46013,37034,5,0
2023-01-11 15:21:36.265590,975,160,568,3124,783,0,0,0,6791581,5921,911083,2613,S,15329,0,324,0,40,13,0,0,45,3378245632,46013,0,824767,46013,37034,5,0
2023-01-11 15:21:36.520501,977,160,570,3170,783,0,0,0,6794533,5958,916013,2646,S,15329,0,324,0,40,13,0,0,45,3378245632,46013,0,824767,46013,37034,5,0
2023-01-11 15:21:36.780995,979,160,573,3214,783,0,0,0,7076983,6188,922063,2695,S,15329,0,324,0,40,13,0,0,45,3378245632,46013,0,824767,46013,37034,5,0
2023-01-11 15:21:37.041343,982,160,574,3255,783,0,0,0,7717801,6666,929122,2760,S,15329,0,324,0,40,13,0,0,45,3378245632,46013,0,824767,46013,37034,5,0
2023-01-11 15:21:37.306793,984,160,576,3306,784,0,0,0,7723489,6703,934423,2798,S,15329,0,324,0,41,13,0,0,45,3378245632,46013,0,824767,46013,37034,5,0
2023-01-11 15:21:37.562156,985,161,578,3351,784,0,0,0,8921997,7574,942826,2883,S,15329,0,324,0,41,13,0,0,45,3378245632,46013,0,824767,46013,37034,5,0
2023-01-11 15:21:37.822622,986,161,579,3397,784,0,0,0,8925147,7614,947755,2915,S,15329,0,324,0,41,13,0,0,45,3378245632,46013,0,824767,46013,37034,5,0
2023-01-11 15:21:38.088201,989,161,580,3446,784,0,0,0,9527355,8067,954544,2976,S,15329,0,324,0,41,13,0,0,45,3378245632,46013,0,824767,46013,37034,5,0
2023-01-11 15:21:38.343533,991,161,582,3494,784,0,0,0,9529977,8099,959539,3009,S,15329,0,324,0,41,13,0,0,45,3378245632,46013,0,824767,46013,37034,5,0
2023-01-11 15:21:38.603980,993,161,583,3539,784,0,0,0,9532665,8132,964601,3043,S,15329,0,324,0,41,13,0,0,45,3378245632,46013,0,824767,46013,37034,5,0
2023-01-11 15:21:38.864284,999,162,586,3579,786,0,0,0,9886857,8413,970911,3097,S,15958,0,324,0,41,13,0,0,45,3380797440,46611,0,825806,47006,38014,5,0
2023-01-11 15:21:39.127466,1010,163,589,3594,786,0,0,0,9889389,8444,975836,3130,S,16424,0,324,0,43,14,0,0,45,3382501376,47030,1,825806,47046,38070,5,0
2023-01-11 15:21:39.402315,1022,163,593,3603,786,0,0,0,10189659,8676,981763,3180,S,16502,0,325,0,44,15,0,0,45,3377401856,45838,1,824561,45838,36855,5,0
2023-01-11 15:21:39.657674,1032,163,596,3628,786,0,0,0,10410113,8864,988059,3232,S,16504,0,325,0,46,15,0,0,45,3377401856,45838,0,824561,45838,36855,5,0
2023-01-11 15:21:39.928143,1042,164,600,3660,786,0,0,0,11238629,9471,996247,3289,S,16525,0,325,0,48,15,0,0,45,3377401856,45841,0,824561,45841,36855,5,0
2023-01-11 15:21:40.188516,1050,164,603,3687,786,0,0,0,11751887,9861,1003008,3341,S,16547,0,325,0,49,15,0,0,45,3377401856,45841,1,824561,45841,36855,5,0
2023-01-11 15:21:40.454846,1060,164,605,3719,787,0,0,0,12474197,10393,1010117,3397,S,16548,0,325,0,50,16,0,0,45,3377401856,45841,0,824561,45841,36855,5,0
2023-01-11 15:21:40.705071,1068,164,608,3746,787,0,0,0,13278689,10988,1018820,3472,S,16551,0,325,0,51,16,0,0,45,3377401856,45841,0,824561,45841,36855,5,0
2023-01-11 15:21:40.965428,1079,170,611,3756,787,0,0,0,13509713,11185,1024673,3515,S,16551,0,325,0,53,16,0,0,45,3377401856,45841,0,824561,45841,36855,5,0
2023-01-11 15:21:41.226896,1095,172,616,3761,790,0,0,0,13740819,11383,1030722,3561,S,16591,0,325,0,56,16,0,0,45,3377401856,45841,1,824561,45841,36855,5,0
2023-01-11 15:21:41.482289,1116,173,621,3762,790,0,0,0,14198215,11734,1037501,3602,S,17348,0,325,0,59,17,0,0,44,3382980608,46463,1,826338,46859,37686,5,0
2023-01-11 15:21:41.756696,1129,173,623,3763,790,0,0,0,14660958,12084,1043487,3646,S,17768,0,325,0,60,17,0,0,44,3384680448,46859,1,825299,45872,36694,5,0
2023-01-11 15:21:42.001879,1132,174,625,3763,790,0,0,0,14661547,12091,1044989,3654,S,17768,0,325,0,60,17,0,0,44,3384680448,46859,1,825299,45872,36694,5,0
2023-01-11 15:21:42.273348,1139,178,628,3765,790,0,0,0,15380105,12626,1052072,3718,S,17771,0,325,0,60,17,0,0,44,3380424704,45872,0,825573,45877,36694,5,0
2023-01-11 15:21:42.528252,1149,182,632,3770,790,0,0,0,15538787,12764,1057282,3756,S,17794,0,325,0,60,18,0,0,45,3381547008,45877,0,825573,45877,36694,5,0
