#com.drvaanand.book.AOUZPCKXNREHSDAHY
#./workspace/com.drvaanand.book.AOUZPCKXNREHSDAHY_0/com.drvaanand.book.AOUZPCKXNREHSDAHY.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 05:40:32.942616,867,314,856,1810,1263,0,0,0,783516,1068,709908,898,S,9816,0,187,0,10,8,0,0,39,3351703552,41788,1,818288,42992,35464,5,0
2023-01-10 05:40:33.214134,873,314,858,1811,1264,0,0,0,785037,1086,712447,915,S,9952,0,202,0,11,8,0,0,39,3351707648,42719,1,818288,42992,35464,5,0
2023-01-10 05:40:33.469758,882,315,860,1811,1264,0,0,0,787121,1111,716924,942,S,10211,0,205,0,12,8,0,0,39,3351707648,42992,1,818545,42992,35464,5,0
2023-01-10 05:40:33.744574,888,316,864,1811,1277,0,0,0,790769,1156,724346,990,S,10271,0,214,0,13,8,0,0,41,3356246016,43275,0,820416,44578,36843,5,0
2023-01-10 05:40:33.999795,898,317,869,1817,1283,0,0,0,793547,1190,729370,1022,S,11795,0,220,0,17,8,0,0,41,3360747520,44681,0,820416,44699,36914,5,0
2023-01-10 05:40:34.265756,924,321,874,1818,1283,0,0,0,796419,1225,734417,1055,S,11840,0,221,0,19,8,0,0,41,3360423936,44676,1,820406,44636,37044,5,0
2023-01-10 05:40:34.524730,961,326,882,1819,1283,0,0,0,799320,1260,740967,1094,S,12688,0,221,0,24,8,0,0,41,3360706560,44781,1,820406,44700,37066,5,0
2023-01-10 05:40:34.785349,981,326,885,1819,1283,0,0,0,800627,1276,743302,1110,S,12760,0,221,0,24,8,0,0,41,3360706560,44718,1,820406,44678,37066,5,0
2023-01-10 05:40:35.046041,1001,328,891,1819,1283,0,0,0,803217,1307,748491,1146,S,12984,0,221,0,25,9,0,0,41,3360382976,44678,1,820564,44889,37236,5,0
2023-01-10 05:40:35.316691,1040,329,899,1821,1283,0,0,0,805083,1329,752834,1172,S,13392,0,225,0,27,9,0,0,41,3360382976,44807,0,820485,44873,37199,5,0
2023-01-10 05:40:35.578386,1053,330,903,1823,1283,0,0,0,807299,1356,757444,1201,R,13536,0,226,0,29,10,0,0,41,3360706560,44873,1,820564,44986,37298,5,0
2023-01-10 05:40:35.839475,1078,330,907,1831,1283,0,0,0,809231,1379,761589,1224,S,13762,0,226,0,31,10,0,0,41,3360382976,44821,0,820406,44785,37142,5,0
2023-01-10 05:40:36.115233,1102,332,912,1836,1283,0,0,0,811631,1408,766543,1257,S,13992,0,226,0,33,10,0,0,41,3360382976,44785,0,820406,44785,37142,5,0
2023-01-10 05:40:36.383262,1126,335,916,1845,1283,0,0,0,814253,1440,771870,1295,S,14242,0,226,0,35,10,0,0,41,3361030144,44975,1,820596,44975,37291,5,0
2023-01-10 05:40:36.628455,1153,335,921,1850,1283,0,0,0,816497,1467,776681,1327,S,14257,0,226,0,36,10,0,0,41,3361161216,44975,0,820596,44975,37291,5,0
2023-01-10 05:40:36.891630,1161,335,924,1877,1283,0,0,0,819095,1499,781654,1360,S,14258,0,226,0,37,10,0,0,41,3360514048,44801,1,820438,44801,37137,5,0
2023-01-10 05:40:37.157953,1189,336,929,1884,1283,0,0,0,821183,1524,786178,1388,S,14258,0,226,0,37,10,0,0,41,3360514048,44801,1,820438,44801,37137,5,0
