#com.dtnrss
#./workspace/com.dtnrss_0/com.dtnrss.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 02:20:27.163741,867,314,867,1840,1185,0,0,0,1012956,1059,599504,721,S,16822,1657,45,0,36,19,1,1,64,3476676608,51274,1,851766,53564,40107,5,0
2023-01-09 02:20:27.436317,878,315,869,1840,1185,0,0,0,1016553,1102,606274,760,S,20096,1657,46,0,48,22,1,1,65,3492057088,54398,1,856411,57318,43282,5,0
2023-01-09 02:20:27.691478,883,316,870,1840,1185,0,0,0,1017121,1109,607619,766,S,20113,1657,46,0,49,22,1,1,64,3490934784,54401,1,858064,58461,44414,5,0
2023-01-09 02:20:27.952033,892,317,873,1840,1185,0,0,0,1019479,1137,612538,798,D,20945,1657,161,0,51,24,1,1,72,3508961280,57318,1,860477,59959,45811,5,0
2023-01-09 02:20:28.210279,899,318,875,1840,1185,0,0,0,1021837,1165,618617,831,S,23408,1657,218,0,59,28,1,1,84,3530747904,60948,1,862260,62040,46968,5,0
2023-01-09 02:20:28.475506,905,319,878,1840,1185,0,0,0,1023613,1186,621354,851,S,24745,1657,233,0,69,29,1,1,84,3535114240,62601,1,862261,62395,47000,5,0
2023-01-09 02:20:28.736180,914,320,882,1840,1185,0,0,0,1026481,1221,629095,889,S,25272,1657,241,0,74,31,1,1,84,3531821056,62395,1,862261,62395,47000,5,0
2023-01-09 02:20:29.006553,923,321,885,1840,1185,0,0,0,1027605,1234,631273,903,S,25288,1657,241,0,74,33,1,1,84,3531821056,62395,1,862261,62395,47000,5,0
2023-01-09 02:20:29.275268,925,324,888,1840,1185,0,0,0,1030407,1268,636850,942,S,25309,1657,246,0,77,33,1,1,84,3531825152,61622,1,862583,61874,47356,5,0
2023-01-09 02:20:29.531826,929,327,890,1840,1185,0,0,0,1032363,1291,641325,970,S,25320,1657,250,0,81,34,1,1,84,3533139968,61874,1,862583,61923,47403,5,0
2023-01-09 02:20:29.794566,938,329,896,1840,1185,0,0,0,1035391,1328,647807,1008,S,25519,1657,250,0,85,34,1,1,84,3533139968,61923,1,862583,61939,47419,5,0
2023-01-09 02:20:30.044726,941,331,898,1840,1185,0,0,0,1036917,1346,650412,1026,S,25660,1657,250,0,87,34,1,1,84,3533139968,61939,1,862583,61939,47419,5,0
2023-01-09 02:20:30.305129,951,338,910,1840,1188,0,0,0,1039515,1378,655309,1059,S,25745,1657,250,0,92,34,1,1,85,3534229504,61974,1,862849,61974,47453,5,0
2023-01-09 02:20:30.575667,970,347,917,1840,1189,0,0,0,1042179,1411,660338,1094,S,25814,1657,251,0,97,34,1,1,85,3534229504,62113,1,862913,62133,47581,5,0
2023-01-09 02:20:30.840393,995,348,922,1848,1190,0,0,0,1044447,1438,665080,1125,S,26123,1657,251,0,105,34,1,1,85,3534491648,62133,1,862913,62133,47581,5,0
2023-01-09 02:20:31.080393,1009,350,926,1868,1191,0,0,0,1047399,1475,670400,1163,S,26125,1657,251,0,115,34,1,1,85,3534491648,62097,1,862913,62097,47581,5,0
2023-01-09 02:20:31.350867,1026,351,929,1893,1191,0,0,0,1049893,1505,675234,1195,S,26163,1657,251,0,120,34,1,1,85,3534299136,62047,1,862866,62020,47581,5,0
2023-01-09 02:20:31.882098,1100,352,939,1898,1191,0,0,0,1053466,1547,684604,1247,S,26637,1657,252,0,154,34,1,1,85,3534299136,62021,1,862866,62021,47581,5,0
2023-01-09 02:20:31.616586,1098,351,938,1898,1191,0,0,0,1053220,1544,683439,1243,S,26636,1657,252,0,152,34,1,1,85,3534299136,62021,1,862866,62021,47581,5,0
2023-01-09 02:20:32.161660,1109,355,945,1899,1191,0,0,0,1055854,1575,689944,1280,S,26656,1657,252,0,155,34,1,1,85,3534299136,62021,1,862866,62021,47581,5,0
2023-01-09 02:20:32.414549,1121,364,953,1901,1191,0,0,0,1059543,1620,698159,1327,S,26739,1657,252,0,179,34,1,1,85,3534299136,61977,1,862866,61944,47581,5,0
2023-01-09 02:20:32.695394,1173,368,958,1901,1191,0,0,0,1061003,1637,701812,1345,S,26739,1657,252,0,193,34,1,1,85,3534299136,61944,1,862866,61944,47581,5,0
2023-01-09 02:20:32.966822,1186,368,961,1901,1191,0,0,0,1062902,1660,705085,1371,S,26741,1657,252,0,194,34,1,1,85,3534299136,61944,1,862866,61944,47581,5,0
2023-01-09 02:20:33.228987,1237,374,968,1902,1191,0,0,0,1066299,1701,713084,1412,S,26858,1657,252,0,235,34,1,1,85,3534299136,61947,1,862866,61947,47581,5,0
2023-01-09 02:20:33.478547,1256,375,971,1902,1191,0,0,0,1067537,1715,716244,1426,S,26858,1657,252,0,235,34,1,1,85,3534299136,61947,1,862866,61947,47581,5,0
2023-01-09 02:20:33.723130,1263,377,974,1902,1192,0,0,0,1068964,1732,719271,1449,S,26858,1657,252,0,235,34,1,1,85,3534299136,61947,1,862866,61938,47581,5,0
2023-01-09 02:20:33.993413,1272,380,978,1926,1192,0,0,0,1071784,1767,724376,1484,S,26863,1657,252,0,236,34,1,1,85,3534299136,61932,0,862866,61924,47581,5,0
2023-01-09 02:20:34.254075,1281,381,981,1961,1192,0,0,0,1074448,1800,729256,1516,D,26866,1657,252,0,239,34,1,1,85,3534299136,61921,1,862866,61964,47594,5,0
2023-01-09 02:20:34.510393,1297,386,987,1971,1194,0,0,0,1077146,1833,734151,1548,S,26911,1657,253,0,243,34,1,1,85,3534299136,61964,1,862866,62095,47594,5,0
2023-01-09 02:20:34.770804,1325,391,993,1974,1195,0,0,0,1079588,1863,738831,1578,S,27429,1657,253,0,245,34,1,1,85,3535216640,61956,1,863090,61956,47594,5,0
2023-01-09 02:20:35.044165,1360,391,999,1978,1196,0,0,0,1082838,1903,745610,1620,S,27530,1657,253,0,276,34,1,1,85,3535216640,61927,1,863090,61928,47594,5,0
2023-01-09 02:20:35.304670,1393,392,1001,1978,1196,0,0,0,1084860,1927,749985,1648,S,27630,1657,253,0,280,34,1,1,85,3535216640,61928,0,863090,61928,47594,5,0
2023-01-09 02:20:35.545641,1409,392,1005,1980,1196,0,0,0,1087128,1954,754888,1681,S,27653,1657,253,0,286,34,1,1,85,3535216640,61928,0,863090,61928,47594,5,0
