#com.englishlaw.app.AOUPTFVTIOLADASVI
#./workspace/com.englishlaw.app.AOUPTFVTIOLADASVI_0/com.englishlaw.app.AOUPTFVTIOLADASVI.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 04:35:43.060580,930,291,863,1740,1371,0,0,0,1806290,1749,651518,938,S,8626,0,6,0,8,3,0,0,11,3307036672,30052,1,807382,30052,23024,5,0
2023-01-09 04:35:43.331338,941,293,866,1740,1371,0,0,0,1809673,1789,658740,983,S,8626,0,6,0,8,3,0,0,11,3307036672,30052,1,807382,30052,23024,5,0
2023-01-09 04:35:43.596748,943,293,867,1740,1371,0,0,0,1810352,1797,661711,995,S,8626,0,6,0,8,3,0,0,11,3307036672,30052,1,807382,30052,23024,5,0
2023-01-09 04:35:43.857446,949,295,869,1740,1371,0,0,0,1812758,1826,666773,1026,S,8626,0,6,0,8,3,0,0,11,3307036672,30052,1,807382,30052,23024,5,0
2023-01-09 04:35:44.117868,954,299,873,1740,1371,0,0,0,1815612,1860,673404,1064,S,8677,0,7,0,8,3,0,0,11,3307036672,30336,1,807382,30336,23282,5,0
2023-01-09 04:35:44.388443,958,301,875,1740,1371,0,0,0,1817228,1879,676162,1084,S,8679,0,7,0,9,3,0,0,11,3307036672,30336,1,807382,30336,23282,5,0
2023-01-09 04:35:44.635400,963,306,879,1740,1371,0,0,0,1819472,1906,680728,1112,S,8682,0,7,0,10,3,0,0,11,3307036672,30336,1,807382,30336,23282,5,0
2023-01-09 04:35:44.902362,968,308,884,1740,1371,0,0,0,1821782,1934,685335,1141,S,8707,0,7,0,10,3,0,0,11,3307036672,30336,1,807483,30406,23923,5,0
2023-01-09 04:35:45.167835,984,310,891,1743,1373,0,0,0,1824026,1961,689944,1170,S,9532,0,12,0,12,4,0,0,11,3307450368,30523,1,807483,30523,24025,5,0
2023-01-09 04:35:45.423021,1008,317,896,1743,1374,0,0,0,1826492,1991,694734,1201,S,9533,0,12,0,13,4,0,0,11,3307450368,30523,1,807562,30683,24171,5,0
2023-01-09 04:35:45.697261,1034,319,902,1748,1375,0,0,0,1828826,2019,699567,1233,S,10734,0,12,0,15,5,0,0,11,3310403584,31311,0,808204,31311,24795,5,0
2023-01-09 04:35:45.966471,1061,320,906,1752,1375,0,0,0,1831424,2051,704268,1263,S,10928,0,12,0,17,5,0,0,11,3310403584,31328,0,808204,31328,24811,5,0
2023-01-09 04:35:46.236837,1067,321,909,1787,1376,0,0,0,1834178,2085,709305,1297,S,10954,0,12,0,17,5,0,0,11,3310403584,31328,1,808204,31346,24827,5,0
2023-01-09 04:35:46.497202,1076,322,911,1824,1376,0,0,0,1837196,2123,714366,1331,S,11165,0,12,0,19,5,0,0,11,3310403584,31346,1,808204,31346,24827,5,0
2023-01-09 04:35:46.752665,1079,322,913,1866,1376,0,0,0,1840034,2159,719221,1364,S,11175,0,12,0,19,5,0,0,11,3310534656,31346,1,808236,31346,24827,5,0
2023-01-09 04:35:47.018067,1083,322,914,1912,1376,0,0,0,1842722,2192,724282,1398,S,11175,0,12,0,20,5,0,0,11,3310534656,31346,1,808236,31412,24889,5,0
2023-01-09 04:35:47.279103,1099,323,918,1938,1376,0,0,0,1845056,2220,729073,1429,S,11437,0,12,0,21,6,0,0,11,3310534656,31503,1,808236,31503,24967,5,0
2023-01-09 04:35:47.520370,1120,323,921,1947,1376,0,0,0,1847210,2246,733571,1457,S,11437,0,12,0,21,6,0,0,11,3310534656,31503,1,808236,31503,24967,5,0
2023-01-09 04:35:47.790847,1129,324,924,1982,1376,0,0,0,1849874,2279,738495,1490,S,11544,0,12,0,23,6,0,0,11,3310534656,31522,0,808236,31522,24999,5,0
2023-01-09 04:35:48.041085,1135,324,927,2022,1376,0,0,0,1852826,2316,743533,1524,S,11545,0,12,0,24,6,0,0,11,3310534656,31522,0,808236,31522,24999,5,0
2023-01-09 04:35:48.306670,1140,324,928,2060,1376,0,0,0,1855778,2353,748439,1556,S,11545,0,12,0,24,6,0,0,11,3310534656,31522,0,808236,31522,24999,5,0
2023-01-09 04:35:48.567056,1142,325,931,2108,1376,0,0,0,1858664,2389,753544,1591,S,11545,0,12,0,25,6,0,0,11,3310534656,31522,0,808236,31522,24999,5,0
2023-01-09 04:35:48.822442,1152,325,934,2142,1377,0,0,0,1861394,2423,758445,1624,S,11552,0,12,0,25,6,0,0,11,3310534656,31522,1,808236,31522,24999,5,0
2023-01-09 04:35:49.093761,1157,330,937,2152,1378,0,0,0,1863836,2453,763034,1653,S,11555,0,12,0,26,6,0,0,11,3310534656,31522,0,808236,31522,24999,5,0
2023-01-09 04:35:49.347619,1169,331,940,2161,1378,0,0,0,1866656,2488,768206,1689,R,11558,0,12,0,27,6,0,0,11,3310534656,31522,1,808236,31522,24999,5,0
2023-01-09 04:35:49.599256,1182,331,943,2169,1378,0,0,0,1869504,2523,773156,1722,S,11565,0,12,0,27,7,0,0,11,3310534656,31522,1,808236,31610,25078,5,0
2023-01-09 04:35:49.845258,1195,331,946,2171,1378,0,0,0,1871852,2552,777662,1749,R,11649,0,12,0,28,7,0,0,11,3310534656,31610,0,808236,31610,25078,5,0
