#com.excelprofessional.wakey7dev
#./workspace/com.excelprofessional.wakey7dev_0/com.excelprofessional.wakey7dev.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 06:17:55.156671,744,292,854,1823,1083,0,0,0,305755,619,630609,705,S,11439,0,9,0,26,2,0,0,15,3326582784,36529,0,812923,36956,25648,5,0
2023-01-09 06:17:55.434412,758,292,856,1825,1083,0,0,0,306845,632,632941,721,S,11439,0,9,0,26,2,0,0,15,3326582784,36529,0,812923,36956,25648,5,0
2023-01-09 06:17:55.689518,763,293,860,1841,1084,0,0,0,310690,679,640502,768,S,12233,0,11,0,27,3,0,0,15,3329732608,36903,1,812923,36903,25979,5,0
2023-01-09 06:17:55.945168,772,295,864,1847,1084,0,0,0,313576,715,645697,803,S,12236,0,11,0,28,3,0,0,15,3329732608,36903,1,812931,36713,26053,5,0
2023-01-09 06:17:56.215367,791,296,869,1874,1086,0,0,0,316793,754,652490,845,S,16556,0,13,0,37,9,0,0,22,3353366528,42449,0,817142,40982,27544,5,0
2023-01-09 06:17:56.480924,817,296,876,1875,1086,0,0,0,317628,764,654535,857,S,17386,0,13,0,38,9,0,0,22,3347013632,40982,0,817142,40982,27544,5,0
2023-01-09 06:17:56.741135,823,296,880,1910,1086,0,0,0,320884,804,660102,897,S,17404,0,14,0,38,9,0,0,22,3347013632,40982,0,817142,41159,27669,5,0
2023-01-09 06:17:56.995428,830,296,883,1942,1086,0,0,0,323704,839,665068,930,S,17414,0,15,0,38,9,0,0,22,3347013632,41159,1,819199,41619,28393,5,0
2023-01-09 06:17:57.265926,836,296,885,1984,1087,0,0,0,326392,872,670258,966,S,18205,0,15,0,39,9,0,0,23,3355439104,41542,1,819199,41542,28523,5,0
2023-01-09 06:17:57.531332,842,297,887,2024,1087,0,0,0,328660,899,675418,1002,S,18205,0,15,0,40,9,0,0,23,3355439104,41542,0,819199,41542,28523,5,0
2023-01-09 06:17:57.786909,846,297,889,2067,1088,0,0,0,331348,932,680477,1036,S,18271,0,15,0,40,9,0,0,23,3355701248,42268,0,819263,42268,29241,5,0
2023-01-09 06:17:58.047295,851,297,891,2111,1088,0,0,0,333880,963,685861,1070,S,18329,0,15,0,40,9,0,0,23,3355701248,42268,0,819527,40313,29285,5,0
2023-01-09 06:17:58.307743,855,297,893,2151,1088,0,0,0,336898,1001,691618,1109,S,18333,0,15,0,41,9,0,0,24,3356782592,40313,0,819527,40313,29285,5,0
2023-01-09 06:17:58.568226,858,298,895,2195,1088,0,0,0,339520,1033,697093,1144,S,18333,0,15,0,41,9,0,0,24,3356782592,40313,0,819591,40313,29285,5,0
