#com.extend.battery
#./workspace/com.extend.battery_16/app873.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 03:21:47.997322,954,313,891,1651,1228,0,0,0,1224886,1310,654207,857,S,5274,0,5,0,4,2,0,0,17,3299987456,28841,1,805661,28841,23477,5,0
2023-01-10 03:21:48.267594,962,314,893,1651,1228,0,0,0,1227310,1339,660370,889,S,5274,0,5,0,4,2,0,0,17,3299987456,28841,1,805661,28922,23557,5,0
2023-01-10 03:21:48.522909,971,315,896,1653,1228,0,0,0,1229200,1361,664704,915,S,5289,0,6,0,4,2,0,0,17,3299987456,28922,1,805661,28922,23557,5,0
2023-01-10 03:21:48.800706,979,318,899,1658,1228,0,0,0,1231576,1390,669429,944,S,5295,0,6,0,4,2,0,0,17,3299987456,28922,1,807175,28870,23668,5,0
2023-01-10 03:21:49.035775,991,319,904,1673,1229,0,0,0,1233838,1418,673635,968,S,5974,2186,6,0,5,5,1,0,18,3301195776,28890,1,810150,30585,24508,5,0
2023-01-10 03:21:49.317312,1001,320,907,1674,1229,0,0,0,1236392,1449,678463,1000,R,7529,2186,9,0,9,6,1,0,24,3309047808,32259,0,807784,33140,27014,5,0
2023-01-10 03:21:49.587597,1012,322,911,1674,1229,0,0,0,1239792,1490,685199,1038,R,9312,2553,12,0,12,7,1,0,26,3309228032,31823,1,808483,32671,26487,5,0
2023-01-10 03:21:49.842958,1013,322,911,1674,1229,0,0,0,1240222,1495,686496,1044,D,9551,2553,12,0,12,8,1,0,26,3313414144,31646,1,808483,32703,26487,5,0
2023-01-10 03:21:50.100473,1021,324,916,1674,1229,0,0,0,1242718,1525,691446,1076,S,10673,2920,12,0,14,11,1,1,25,3311546368,32703,0,808483,32703,26487,5,0
2023-01-10 03:21:50.380675,1027,326,918,1674,1229,0,0,0,1245208,1555,696414,1110,S,10673,2920,12,0,14,11,1,1,25,3311546368,32703,0,808483,32703,26487,5,0
2023-01-10 03:21:50.648084,1036,329,920,1678,1229,0,0,0,1247320,1580,700962,1138,S,10674,2920,12,0,14,11,1,1,25,3311546368,32703,0,808483,32703,26487,5,0
2023-01-10 03:21:50.899842,1045,331,923,1679,1229,0,0,0,1249744,1609,706045,1173,S,10674,2920,12,0,14,11,1,1,25,3311546368,32703,0,808483,32703,26487,5,0
2023-01-10 03:21:51.165230,1054,332,926,1695,1229,0,0,0,1252144,1638,710817,1204,S,10674,2920,12,0,14,11,1,1,25,3311546368,32703,0,808483,32703,26487,5,0
2023-01-10 03:21:51.428860,1065,334,929,1704,1229,0,0,0,1254964,1673,715883,1238,S,10696,2920,13,0,15,11,1,1,25,3311681536,32759,0,808516,32759,26582,5,0
2023-01-10 03:21:51.675779,1074,335,931,1731,1230,0,0,0,1257388,1702,721057,1274,S,10787,2920,14,0,16,11,1,1,25,3311681536,33000,0,808516,33000,26767,5,0
