#com.eyalbeker.android.airhockey
#./workspace/com.eyalbeker.android.airhockey_0/com.eyalbeker.android.airhockey.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 04:32:46.081779,924,330,833,1905,1081,0,0,0,124167,576,669165,817,S,3403,0,2,0,2,1,0,0,11,3288096768,24690,1,802758,24690,20213,5,0
2023-01-10 04:32:46.354998,928,331,836,1905,1081,0,0,0,127068,611,674356,853,S,3403,0,2,0,2,1,0,0,11,3288096768,24690,1,802758,24690,20213,5,0
2023-01-10 04:32:46.607417,933,332,838,1905,1081,0,0,0,128125,624,676554,867,S,3403,0,2,0,2,1,0,0,11,3288096768,24690,1,802758,24690,20213,5,0
2023-01-10 04:32:46.877872,946,334,841,1905,1081,0,0,0,131027,659,682930,901,S,3403,0,2,0,2,1,0,0,11,3288096768,24690,1,802758,24690,20213,5,0
2023-01-10 04:32:47.157293,949,337,845,1906,1082,0,0,0,133091,684,687130,925,S,3435,0,2,0,2,1,0,0,11,3288096768,24690,1,802758,24690,20213,5,0
2023-01-10 04:32:47.430429,956,339,848,1906,1082,0,0,0,135515,713,692076,957,S,3448,0,2,0,2,1,0,0,11,3288096768,24690,1,802758,24979,20473,5,0
2023-01-10 04:32:47.678927,962,343,850,1906,1082,0,0,0,137627,738,696480,983,S,3453,0,2,0,3,1,0,0,11,3288096768,24979,0,802758,24979,20473,5,0
2023-01-10 04:32:47.928041,968,345,853,1906,1083,0,0,0,139961,766,701082,1012,S,3482,0,2,0,3,1,0,0,11,3288096768,24979,0,802758,24979,20473,5,0
2023-01-10 04:32:48.183153,973,349,857,1916,1085,0,0,0,142601,799,705618,1040,S,3735,0,5,0,4,2,0,0,11,3288100864,25751,0,802759,25751,21129,5,0
2023-01-10 04:32:48.447209,1000,350,862,1922,1085,0,0,0,144911,827,710312,1070,S,3737,0,5,0,4,2,0,0,11,3288100864,25751,0,802759,25779,21145,5,0
2023-01-10 04:32:48.719038,1023,359,871,1925,1085,0,0,0,147759,862,715138,1102,S,4688,0,5,0,6,2,0,0,11,3291316224,27198,0,803544,27198,22554,5,0
2023-01-10 04:32:48.975965,1045,361,874,1928,1085,0,0,0,149843,887,719677,1130,S,4688,0,5,0,7,2,0,0,11,3291316224,27198,0,803544,27200,22554,5,0
2023-01-10 04:32:49.236025,1052,364,879,1959,1085,0,0,0,152573,921,724553,1162,S,4953,0,5,0,7,2,0,0,11,3291971584,27250,0,803704,27250,22602,5,0
2023-01-10 04:32:49.495136,1060,364,881,1994,1085,0,0,0,155213,954,729249,1192,S,4973,0,5,0,8,3,0,0,12,3293093888,27317,0,807671,30559,23648,5,0
