#com.faia.njcatapp
#./workspace/com.faia.njcatapp_0/com.faia.njcatapp.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-08 23:03:55.401750,899,306,861,1646,1380,0,0,0,1008447,1113,642314,774,S,19124,0,213,0,40,10,0,0,40,3392970752,49294,1,828372,49355,32809,5,0
2023-01-08 23:03:55.678132,910,306,863,1646,1380,0,0,0,1010601,1139,646253,805,S,19233,0,213,0,49,11,0,0,40,3393011712,49355,1,832674,51851,35199,5,0
2023-01-08 23:03:55.933272,919,307,867,1646,1380,0,0,0,1013313,1172,653075,844,S,21532,0,222,0,53,12,0,0,43,3413327872,51932,1,831664,51938,35174,5,0
2023-01-08 23:03:56.229480,929,309,870,1648,1381,0,0,0,1015911,1204,658441,877,S,21806,0,224,0,54,13,0,0,43,3406495744,51938,1,831664,52014,35216,5,0
2023-01-08 23:03:56.489456,942,311,875,1648,1381,0,0,0,1017905,1228,663974,905,S,21812,0,224,0,55,13,0,0,43,3406495744,52014,1,831664,52014,35216,5,0
2023-01-08 23:03:56.722937,947,313,882,1648,1382,0,0,0,1020381,1258,668505,933,S,21847,0,224,0,56,13,0,0,43,3406495744,52014,0,832212,51973,35290,5,0
2023-01-08 23:03:56.991077,954,316,891,1650,1390,0,0,0,1022979,1290,673186,962,S,23241,0,244,0,67,16,0,0,45,3410853888,52751,1,833457,53735,36385,5,0
2023-01-08 23:03:57.248700,965,316,894,1660,1390,0,0,0,1025397,1320,677577,988,S,24289,0,244,0,75,16,0,0,45,3413839872,53735,1,833457,53735,36385,5,0
2023-01-08 23:03:57.510412,970,317,896,1679,1390,0,0,0,1027887,1350,682612,1022,S,24289,0,244,0,75,16,0,0,45,3413839872,53735,1,833457,53751,36401,5,0
2023-01-08 23:03:57.765527,973,317,899,1723,1390,0,0,0,1030707,1385,688750,1057,S,24415,0,244,0,76,16,0,0,45,3413839872,53752,1,833457,53752,36401,5,0
2023-01-08 23:03:58.020911,977,318,901,1759,1391,0,0,0,1033725,1423,693941,1093,S,24440,0,244,0,78,16,0,0,45,3412660224,53755,0,833169,52790,36412,5,0
2023-01-08 23:03:58.281342,989,318,904,1770,1391,0,0,0,1036101,1452,698549,1122,R,24648,0,244,0,100,19,0,0,45,3412660224,52790,1,833169,52790,36412,5,0
2023-01-08 23:03:58.554969,993,318,906,1791,1391,0,0,0,1038411,1480,703185,1151,S,24665,0,244,0,101,19,0,0,45,3412660224,52790,1,833169,52790,36412,5,0
2023-01-08 23:03:58.810183,994,319,908,1834,1391,0,0,0,1041429,1518,708181,1184,S,24739,0,244,0,101,20,0,0,44,3405627392,51365,1,831452,51365,34986,5,0
2023-01-08 23:03:59.070562,998,319,910,1873,1391,0,0,0,1044447,1556,713063,1216,S,24786,0,244,0,102,20,0,0,44,3405758464,51366,1,831484,51397,35008,5,0
2023-01-08 23:03:59.341092,1000,319,912,1922,1392,0,0,0,1047399,1593,718102,1250,S,24879,0,246,0,103,20,0,0,44,3405758464,51452,1,831484,51453,35049,5,0
2023-01-08 23:03:59.606635,1004,319,914,1953,1392,0,0,0,1049733,1621,724107,1284,S,25029,0,246,0,105,20,0,0,44,3405758464,51454,0,831516,51456,35049,5,0
2023-01-08 23:03:59.867035,1006,319,915,1998,1392,0,0,0,1052553,1656,729124,1318,S,25232,0,246,0,106,20,0,0,44,3405889536,51456,0,831516,51457,35049,5,0
2023-01-08 23:04:00.122577,1012,320,919,2031,1396,0,0,0,1055307,1690,734208,1353,S,25391,0,246,0,107,21,0,0,44,3405889536,51458,0,831516,51474,35064,5,0
2023-01-08 23:04:00.382988,1014,320,921,2071,1397,0,0,0,1058127,1725,739316,1388,S,25476,0,247,0,108,21,0,0,44,3405889536,51475,1,831516,51475,35064,5,0
2023-01-08 23:04:00.638500,1017,321,923,2111,1397,0,0,0,1060659,1756,744269,1421,S,25494,0,248,0,109,21,0,0,44,3405889536,51505,0,831516,51507,35094,5,0
2023-01-08 23:04:00.904295,1018,321,926,2157,1399,0,0,0,1063281,1788,749222,1454,S,25660,0,248,0,109,21,0,0,44,3405889536,51542,0,831516,51558,35138,5,0
2023-01-08 23:04:01.174816,1024,322,928,2189,1400,0,0,0,1065969,1821,754223,1487,S,25704,0,248,0,110,21,0,0,44,3405889536,51558,0,831516,51558,35138,5,0
2023-01-08 23:04:01.434220,1033,327,933,2198,1401,0,0,0,1069015,1859,759086,1519,S,25911,0,248,0,111,22,0,0,44,3405889536,51562,1,831516,51564,35138,5,0
2023-01-08 23:04:01.686642,1038,328,935,2199,1401,0,0,0,1071349,1887,763745,1549,S,26057,0,248,0,112,22,0,0,44,3405889536,51564,1,831516,51586,35154,5,0
2023-01-08 23:04:01.952003,1046,330,937,2199,1402,0,0,0,1073461,1912,768183,1576,S,26356,0,248,0,113,23,0,0,44,3405889536,51586,1,831516,51697,35235,5,0
2023-01-08 23:04:02.212702,1076,332,941,2199,1402,0,0,0,1076419,1948,774882,1616,S,26544,0,248,0,114,24,0,0,44,3405889536,51697,1,831516,51700,35235,5,0
2023-01-08 23:04:02.487056,1087,334,946,2199,1402,0,0,0,1078035,1967,777844,1639,S,26556,0,248,0,115,24,0,0,44,3405889536,51700,1,831516,51701,35235,5,0
2023-01-08 23:04:02.746340,1100,339,958,2200,1410,0,0,0,1080699,2000,782863,1673,S,26889,0,248,0,116,25,0,0,44,3405889536,51706,1,831516,51724,35251,5,0
2023-01-08 23:04:02.999740,1126,344,966,2200,1411,0,0,0,1083321,2032,787702,1705,S,27090,0,248,0,117,25,0,0,44,3405889536,51729,1,831516,51729,35251,5,0
2023-01-08 23:04:03.267528,1141,350,970,2201,1411,0,0,0,1085589,2059,792499,1736,S,27300,0,248,0,118,25,0,0,44,3405889536,51734,1,831516,50112,35251,5,0
2023-01-08 23:04:03.527849,1152,353,975,2236,1412,0,0,0,1088173,2090,798813,1773,S,27572,0,248,0,120,26,0,0,44,3405889536,50115,1,831516,50117,35251,5,0
2023-01-08 23:04:03.793212,1155,354,977,2272,1413,0,0,0,1091257,2129,804096,1811,S,27822,0,248,0,121,27,0,0,44,3405889536,50134,1,831516,50159,35281,5,0
2023-01-08 23:04:04.048670,1162,355,981,2308,1413,0,0,0,1094143,2165,809295,1847,S,27868,0,248,0,121,28,0,0,44,3405889536,50159,1,831516,50162,35281,5,0
