#com.farproc.lightning.intl
#./workspace/com.farproc.lightning.intl_0/com.farproc.lightning.intl.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 23:25:50.691751,955,306,866,1931,1006,0,0,0,152118,590,672310,781,S,6193,0,9,0,5,3,0,0,16,3382009856,32482,0,825686,32482,27434,5,0
2023-01-09 23:25:50.962988,962,307,869,1931,1006,0,0,0,154702,621,677096,812,S,6194,0,9,0,5,3,0,0,16,3382009856,32482,0,825686,32482,27434,5,0
2023-01-09 23:25:51.214214,968,308,872,1931,1006,0,0,0,157296,653,683398,845,S,6917,0,9,0,5,3,0,0,16,3384963072,33163,1,826407,33227,28176,5,0
2023-01-09 23:25:51.489158,982,309,876,1933,1006,0,0,0,159786,683,688363,878,S,6928,0,9,0,5,3,0,0,16,3384963072,33227,1,826407,33227,28176,5,0
2023-01-09 23:25:51.749739,987,314,880,1941,1008,0,0,0,162408,715,693557,913,S,7665,0,9,0,6,3,0,0,16,3387916288,33960,1,827128,34026,28956,5,0
2023-01-09 23:25:52.029937,993,314,882,1962,1008,0,0,0,165096,748,698678,948,S,7668,0,9,0,7,3,0,0,16,3387916288,34026,0,827128,34026,28956,5,0
2023-01-09 23:25:52.300632,997,318,885,1994,1008,0,0,0,167430,776,703506,980,S,7671,0,9,0,8,4,0,0,16,3387916288,34026,0,827352,34783,29704,5,0
2023-01-09 23:25:52.551568,1005,319,887,2015,1008,0,0,0,170358,813,708427,1013,S,7995,0,11,0,10,4,0,0,16,3388837888,35029,1,827353,35029,29887,5,0
2023-01-09 23:25:52.811962,1012,319,890,2054,1009,0,0,0,173508,853,713487,1047,S,8021,0,11,0,11,4,0,0,16,3388837888,35045,1,827353,35045,29903,5,0
2023-01-09 23:25:53.063374,1032,319,893,2072,1009,0,0,0,176106,885,718341,1079,R,8043,0,12,0,13,4,0,0,16,3388837888,35045,1,827353,35045,29903,5,0
2023-01-09 23:25:53.321870,1057,320,897,2078,1009,0,0,0,178128,909,722971,1109,S,8045,0,12,0,14,4,0,0,16,3388837888,35045,1,827353,35045,29903,5,0
2023-01-09 23:25:53.587225,1065,320,899,2116,1009,0,0,0,180594,939,727985,1143,S,8072,0,12,0,15,4,0,0,16,3388837888,35045,1,827353,35047,29903,5,0
2023-01-09 23:25:53.852815,1071,320,902,2153,1010,0,0,0,182994,968,733017,1177,S,8143,0,12,0,15,4,0,0,16,3388837888,35047,1,827353,35047,29903,5,0
2023-01-09 23:25:54.097845,1075,321,904,2189,1010,0,0,0,185394,997,737899,1209,S,8144,0,12,0,15,4,0,0,16,3388837888,35047,1,827353,35047,29903,5,0
2023-01-09 23:25:54.368485,1088,321,908,2220,1013,0,0,0,187992,1029,743253,1244,S,8169,0,12,0,18,5,0,0,16,3388968960,35047,1,827385,35047,29903,5,0
2023-01-09 23:25:54.623738,1104,321,911,2239,1013,0,0,0,190458,1059,748706,1279,S,8193,0,12,0,18,5,0,0,16,3388968960,35047,1,827385,35047,29903,5,0
2023-01-09 23:25:54.894446,1110,322,913,2280,1014,0,0,0,192792,1087,753931,1312,S,8194,0,12,0,19,5,0,0,16,3388968960,35047,0,827385,35047,29903,5,0
2023-01-09 23:25:55.154815,1117,323,916,2317,1015,0,0,0,195168,1116,759803,1344,S,8197,0,12,0,19,6,0,0,16,3388968960,35121,1,827385,35121,29948,5,0
2023-01-09 23:25:55.410156,1122,323,918,2356,1015,0,0,0,197964,1151,764554,1374,S,8198,0,12,0,20,6,0,0,16,3388968960,35114,0,827385,35114,29948,5,0
2023-01-09 23:25:55.680827,1135,323,921,2391,1016,0,0,0,200430,1181,769503,1407,S,8198,0,12,0,22,6,0,0,16,3388968960,35114,1,827385,35116,29948,5,0
2023-01-09 23:25:55.931093,1152,323,924,2402,1016,0,0,0,203118,1214,774434,1439,S,8201,0,12,0,23,6,0,0,16,3388968960,35113,1,827385,35113,29948,5,0
2023-01-09 23:25:56.196510,1164,325,926,2430,1018,0,0,0,205872,1248,780600,1474,S,8205,0,12,0,23,7,0,0,16,3388968960,35161,1,827385,35161,29995,5,0
2023-01-09 23:25:56.451915,1181,332,932,2436,1019,0,0,0,208380,1279,785237,1503,S,8212,0,12,0,24,7,0,0,16,3388968960,35161,1,827385,35161,29995,5,0
2023-01-09 23:25:56.732622,1209,333,936,2444,1019,0,0,0,211431,1317,790198,1536,S,8215,0,12,0,26,7,0,0,16,3388968960,35161,1,827385,35161,29995,5,0
2023-01-09 23:25:57.000824,1232,333,939,2448,1019,0,0,0,213741,1345,794901,1566,S,8215,0,12,0,27,7,0,0,16,3388968960,35161,0,827385,35161,29995,5,0
2023-01-09 23:25:57.247127,1267,333,943,2452,1019,0,0,0,216339,1377,799760,1598,S,8223,0,12,0,28,7,0,0,16,3388968960,35161,0,827385,35161,29995,5,0
2023-01-09 23:25:57.521900,1279,334,945,2468,1019,0,0,0,218829,1407,804955,1634,S,8223,0,12,0,28,7,0,0,16,3388968960,35161,1,827385,35161,29995,5,0
