#com.ficteam.Divisas
#./workspace/com.ficteam.Divisas_0/com.ficteam.Divisas.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 00:40:02.011987,984,276,849,1607,1267,0,0,0,115399,565,657931,797,S,7592,0,200,0,11,9,0,0,39,3345035264,40725,1,816659,40819,34198,5,0
2023-01-09 00:40:02.277856,990,277,851,1607,1267,0,0,0,116211,574,659540,807,S,7592,0,200,0,11,9,0,0,39,3345035264,40725,1,816659,40819,34198,5,0
2023-01-09 00:40:02.548153,990,277,852,1607,1267,0,0,0,117666,591,662145,825,S,7602,0,200,0,11,9,0,0,39,3345035264,40819,1,816660,41003,34332,5,0
2023-01-09 00:40:02.812482,995,281,857,1607,1268,0,0,0,119708,615,666820,854,S,7650,0,204,0,12,10,0,0,39,3345039360,41003,1,816948,41121,34446,5,0
2023-01-09 00:40:03.072652,999,286,861,1607,1269,0,0,0,123246,659,673802,898,S,7714,0,209,0,12,11,0,0,41,3349590016,41151,1,817515,41276,34534,5,0
2023-01-09 00:40:03.333111,1007,288,865,1608,1269,0,0,0,125448,685,678689,929,S,7747,0,211,0,12,11,0,0,41,3348541440,41276,1,817515,41449,34682,5,0
2023-01-09 00:40:03.603915,1013,289,869,1608,1269,0,0,0,127574,711,683076,955,S,7753,0,211,0,13,11,0,0,41,3348541440,41449,1,817515,41449,34682,5,0
2023-01-09 00:40:03.863798,1016,292,871,1612,1269,0,0,0,129818,738,687643,983,S,7754,0,211,0,13,11,0,0,41,3348541440,41449,1,817515,41449,34682,5,0
2023-01-09 00:40:04.124174,1023,293,874,1633,1272,0,0,0,132119,765,692531,1015,R,8247,0,217,0,15,12,0,0,41,3349733376,42078,1,817515,41814,34883,5,0
2023-01-09 00:40:04.400278,1038,293,877,1635,1272,0,0,0,135001,800,697621,1050,S,8270,0,217,0,15,12,0,0,41,3348541440,41814,1,817515,41958,34971,5,0
2023-01-09 00:40:04.639930,1050,293,880,1636,1272,0,0,0,137217,827,702279,1079,S,8346,0,219,0,16,12,0,0,41,3348541440,41958,1,817515,41958,34971,5,0
2023-01-09 00:40:04.907629,1055,293,882,1661,1272,0,0,0,139905,860,707250,1112,S,8346,0,219,0,16,12,0,0,41,3348541440,41958,1,817515,41958,34971,5,0
2023-01-09 00:40:05.179852,1071,293,885,1684,1274,0,0,0,143107,900,712750,1151,S,8363,0,219,0,17,12,0,0,41,3348541440,41958,0,817993,42163,35293,5,0
2023-01-09 00:40:05.430819,1115,294,890,1688,1274,0,0,0,145975,934,719266,1189,S,9122,0,221,0,20,13,0,0,41,3350499328,42163,0,817993,42163,35293,5,0
2023-01-09 00:40:05.700729,1131,295,892,1688,1274,0,0,0,147156,948,721601,1205,S,9123,0,221,0,20,13,0,0,41,3350499328,42163,0,817993,42145,35293,5,0
2023-01-09 00:40:05.956275,1153,299,896,1690,1274,0,0,0,149868,981,727062,1242,S,9182,0,221,0,20,13,0,0,41,3350499328,42145,0,817702,41947,35091,5,0
2023-01-09 00:40:06.221761,1180,299,901,1703,1274,0,0,0,152622,1015,733144,1283,S,9298,0,221,0,22,13,0,0,41,3349307392,41965,1,817702,41965,35107,5,0
2023-01-09 00:40:06.481449,1194,300,904,1712,1274,0,0,0,154932,1043,738522,1318,S,9299,0,221,0,22,13,0,0,41,3349307392,41965,1,817702,41965,35107,5,0
2023-01-09 00:40:06.731795,1200,300,906,1746,1276,0,0,0,158016,1082,744336,1353,S,9301,0,221,0,23,13,0,0,41,3349307392,41965,0,817702,42009,35107,5,0
2023-01-09 00:40:07.002589,1227,301,911,1778,1276,0,0,0,160987,1118,751216,1392,S,9594,0,221,0,24,13,0,0,41,3350102016,42272,0,817702,42099,35169,5,0
2023-01-09 00:40:07.252683,1241,301,913,1779,1276,0,0,0,163222,1145,757669,1427,S,9600,0,221,0,25,13,0,0,41,3349307392,42099,0,-1,-1,-1,-1,-1
2023-01-09 00:40:07.513046,1276,303,920,1784,1279,0,0,0,165559,1173,762129,1457,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-09 00:40:07.767525,1308,303,928,1784,1280,0,0,0,168847,1212,768651,1494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-09 00:40:08.029474,1325,303,932,1784,1280,0,0,0,169810,1223,770194,1503,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-09 00:40:08.297413,1358,304,935,1784,1280,0,0,0,175994,1297,785646,1578,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-09 00:40:08.567606,1414,305,944,1785,1280,0,0,0,176430,1302,787123,1586,S,26117,0,85,0,96,15,0,0,25,3430572032,47866,1,837542,47866,33641,5,0
2023-01-09 00:40:08.826250,1413,305,943,1785,1280,0,0,0,180177,1347,799496,1637,S,26117,0,85,0,96,15,0,0,25,3430572032,47866,1,837542,47866,33641,5,0
2023-01-09 00:40:09.080805,1461,306,953,1785,1280,0,0,0,182200,1371,804753,1662,S,26117,0,85,0,96,15,0,0,25,3430572032,47866,1,837542,47617,33629,5,0
2023-01-09 00:40:09.336943,1468,306,956,1785,1280,0,0,0,183288,1384,807742,1675,S,26117,0,85,0,96,15,0,0,25,3430572032,47866,1,837542,47617,33629,5,0
2023-01-09 00:40:09.610703,1514,307,969,1786,1280,0,0,0,187254,1431,817184,1727,S,8096,0,0,0,16,10,0,0,41,3346358272,41781,1,816982,41781,34714,5,0
2023-01-09 00:40:10.137860,1555,308,975,1786,1280,0,0,0,187909,1439,818817,1737,S,8096,0,0,0,16,10,0,0,41,3346358272,41781,1,816982,41781,34714,5,0
2023-01-09 00:40:09.877412,1555,308,975,1786,1280,0,0,0,189222,1455,821165,1755,S,8096,0,0,0,16,10,0,0,41,3346358272,41781,1,816982,41781,34714,5,0
2023-01-09 00:40:10.381399,1564,308,980,1801,1280,0,0,0,191992,1488,826490,1792,S,8096,0,0,0,17,10,0,0,41,3346358272,41781,1,816982,41781,34714,5,0
2023-01-09 00:40:10.657051,1573,308,984,1836,1280,0,0,0,194392,1517,831634,1828,S,8099,0,0,0,17,10,0,0,41,3346358272,41781,1,816982,41781,34714,5,0
2023-01-09 00:40:10.897132,1577,308,985,1873,1282,0,0,0,196924,1548,836778,1864,S,8102,0,0,0,17,10,0,0,41,3346358272,41781,1,816982,41781,34714,5,0
2023-01-09 00:40:11.172888,1590,311,989,1901,1283,0,0,0,199480,1579,841815,1898,S,8106,0,0,0,17,10,0,0,41,3346358272,41781,1,816982,41781,34714,5,0
2023-01-09 00:40:11.436919,1648,318,997,1908,1284,0,0,0,203073,1623,848548,1939,S,8498,0,0,0,19,11,0,0,41,3349250048,42326,0,817494,42279,35027,5,0
2023-01-09 00:40:11.692267,1649,319,998,1908,1284,0,0,0,205438,1651,852856,1962,S,8499,0,0,0,19,11,0,0,41,3349250048,42326,0,817494,42447,35131,5,0
2023-01-09 00:40:11.943793,1671,319,1000,1909,1284,0,0,0,206654,1666,856416,1980,S,8572,0,0,0,20,11,0,0,41,3348455424,42279,0,817494,42447,35131,5,0
