#com.financetoday.main
#./workspace/com.financetoday.main_0/com.financetoday.main.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 01:33:26.404753,888,310,873,1952,1190,0,0,0,615700,879,640051,766,S,4837,0,6,0,5,3,0,0,14,3294744576,28283,1,804381,28283,22808,5,0
2023-01-10 01:33:26.670353,896,312,876,1952,1190,0,0,0,618100,908,645044,797,S,4838,0,6,0,6,4,0,0,14,3294744576,28283,1,804381,28283,22808,5,0
2023-01-10 01:33:26.942865,903,312,877,1952,1190,0,0,0,618939,918,646587,806,S,4838,0,6,0,6,4,0,0,14,3294744576,28283,1,804381,28283,22808,5,0
2023-01-10 01:33:27.212459,909,314,881,1952,1190,0,0,0,621681,951,653218,844,S,4838,0,6,0,6,4,0,0,14,3294744576,28283,1,804381,28283,22808,5,0
2023-01-10 01:33:27.468278,915,319,886,1953,1191,0,0,0,624057,980,658077,875,S,4852,0,7,0,6,4,0,0,14,3294744576,28283,1,804381,28283,22808,5,0
2023-01-10 01:33:27.723627,920,323,888,1974,1191,0,0,0,626895,1016,662773,905,S,4860,0,7,0,6,4,0,0,14,3294744576,28283,0,804381,28284,22809,5,0
2023-01-10 01:33:27.984027,923,324,890,2012,1191,0,0,0,629427,1047,667649,937,S,4865,0,7,0,7,4,0,0,14,3294744576,28284,1,804381,28284,22809,5,0
2023-01-10 01:33:28.249676,926,324,891,2059,1192,0,0,0,632049,1079,672747,972,S,4884,0,7,0,7,4,0,0,14,3294744576,28284,1,804382,28367,23285,5,0
2023-01-10 01:33:28.504827,945,325,896,2080,1194,0,0,0,634713,1112,677756,1006,S,5085,0,11,0,8,4,0,0,14,3294748672,28473,1,804382,28473,23376,5,0
2023-01-10 01:33:28.783407,975,325,902,2092,1195,0,0,0,637123,1141,682465,1036,S,5088,0,11,0,9,4,0,0,14,3294748672,28473,1,804382,28483,23377,5,0
2023-01-10 01:33:29.036641,988,326,906,2099,1195,0,0,0,639169,1165,687115,1066,S,5190,0,11,0,10,5,0,0,14,3294748672,28483,1,804382,28483,23377,5,0
2023-01-10 01:33:29.308128,1006,326,910,2119,1195,0,0,0,641791,1197,692128,1100,S,5190,0,11,0,10,5,0,0,14,3294748672,28483,0,804382,28483,23377,5,0
2023-01-10 01:33:29.568470,1009,326,912,2162,1195,0,0,0,644545,1231,697166,1134,S,5228,0,11,0,11,5,0,0,14,3294748672,28501,1,804382,28501,23393,5,0
2023-01-10 01:33:29.824078,1013,326,913,2208,1195,0,0,0,647299,1265,702294,1169,S,5287,0,11,0,11,5,0,0,14,3294748672,28501,1,804382,28501,23393,5,0
2023-01-10 01:33:30.084232,1015,327,915,2253,1195,0,0,0,649963,1298,707260,1203,S,5287,0,11,0,11,5,0,0,14,3294748672,28501,1,804382,28501,23393,5,0
2023-01-10 01:33:30.344660,1017,327,916,2297,1196,0,0,0,652561,1330,712184,1236,S,5292,0,11,0,11,5,0,0,14,3294748672,28501,1,804382,28501,23393,5,0
2023-01-10 01:33:30.610260,1024,329,920,2334,1197,0,0,0,654937,1359,716929,1267,S,5293,0,11,0,12,5,0,0,14,3294748672,28501,0,804382,28501,23393,5,0
2023-01-10 01:33:30.865665,1028,329,922,2374,1197,0,0,0,657691,1393,721836,1299,S,5293,0,11,0,12,5,0,0,14,3294748672,28501,0,804382,28501,23393,5,0
2023-01-10 01:33:31.131264,1033,330,925,2413,1199,0,0,0,660355,1426,726959,1334,S,5293,0,11,0,12,5,0,0,14,3294748672,28501,1,804382,28501,23393,5,0
2023-01-10 01:33:31.397222,1039,330,929,2453,1199,0,0,0,662821,1456,731968,1368,S,5293,0,11,0,13,5,0,0,14,3294748672,28501,1,804382,28501,23393,5,0
2023-01-10 01:33:31.657574,1041,330,933,2496,1199,0,0,0,665443,1488,737865,1409,S,5293,0,11,0,13,5,0,0,14,3294748672,28501,1,804382,28501,23393,5,0
2023-01-10 01:33:31.907720,1047,331,936,2528,1200,0,0,0,668197,1522,743318,1444,S,5293,0,11,0,13,5,0,0,14,3294748672,28501,1,804382,28501,23393,5,0
2023-01-10 01:33:32.178492,1055,340,939,2555,1203,0,0,0,670531,1550,748903,1481,S,5302,0,11,0,14,5,0,0,14,3294748672,28501,0,804382,28501,23393,5,0
2023-01-10 01:33:32.454672,1067,342,943,2564,1205,0,0,0,672973,1580,754751,1513,S,5302,0,11,0,14,5,0,0,14,3294748672,28501,0,804382,28501,23393,5,0
2023-01-10 01:33:32.704959,1078,342,946,2573,1205,0,0,0,674995,1604,758986,1537,S,5302,0,11,0,14,5,0,0,14,3294748672,28501,1,804382,28501,23393,5,0
2023-01-10 01:33:32.970833,1097,342,950,2583,1205,0,0,0,677659,1637,763935,1570,S,5534,0,11,0,16,5,0,0,14,3294748672,28635,1,804382,28635,23518,5,0
2023-01-10 01:33:33.237275,1119,343,953,2588,1206,0,0,0,680149,1667,768818,1602,S,5534,0,11,0,16,5,0,0,14,3294748672,28635,1,804382,28635,23518,5,0
2023-01-10 01:33:33.492463,1124,343,957,2626,1208,0,0,0,682837,1700,775116,1639,S,5535,0,11,0,16,5,0,0,14,3294748672,28635,0,804382,28635,23518,5,0
2023-01-10 01:33:33.752846,1127,343,959,2671,1208,0,0,0,685723,1736,780329,1676,S,5535,0,11,0,17,5,0,0,14,3294748672,28635,0,804382,28635,23518,5,0
2023-01-10 01:33:34.018419,1132,343,961,2716,1208,0,0,0,688231,1767,785032,1706,S,5637,0,11,0,17,5,0,0,14,3294748672,29001,0,804382,29001,23868,5,0
2023-01-10 01:33:34.273878,1151,344,965,2733,1208,0,0,0,690829,1799,790113,1741,S,5638,0,11,0,18,5,0,0,14,3294748672,29001,1,804382,29001,23868,5,0
2023-01-10 01:33:34.539226,1159,344,968,2772,1208,0,0,0,693451,1831,795020,1773,S,5794,0,11,0,18,5,0,0,14,3294932992,29034,0,804382,29040,23900,5,0
2023-01-10 01:33:34.793828,1178,344,973,2786,1208,0,0,0,695737,1859,799543,1801,S,5841,0,11,0,19,5,0,0,14,3294748672,29040,0,804472,29105,23959,5,0
