#com.fivetouchsolutions.emthesodaacademy
#./workspace/com.fivetouchsolutions.emthesodaacademy_0/com.fivetouchsolutions.emthesodaacademy.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 04:05:58.304940,1199,140,682,1765,559,0,0,0,785362,921,650963,767,R,5498,0,1,0,44,12,0,0,11,3302318080,25928,1,806846,29631,22200,5,0
2023-01-11 04:05:58.575798,1206,141,684,1765,559,0,0,0,785428,922,651053,768,R,5546,0,1,0,49,13,0,0,11,3302318080,25992,1,806888,29710,22216,5,0
2023-01-11 04:05:58.825826,1212,144,687,1765,559,0,0,0,788850,963,657737,812,S,7395,0,33,0,61,16,0,0,14,3307921408,31612,1,811841,34184,26419,5,0
2023-01-11 04:05:59.081146,1216,146,691,1765,559,0,0,0,790844,987,662186,839,D,7926,0,155,0,64,19,0,0,22,3325308928,34480,1,815871,39359,30588,5,0
2023-01-11 04:05:59.346845,1223,148,698,1765,559,0,0,0,793806,1023,671345,882,S,16134,0,232,0,84,29,0,0,40,3374452736,47817,1,826623,52278,35675,5,0
2023-01-11 04:05:59.602185,1229,149,702,1765,559,0,0,0,797023,1062,677304,926,S,17549,0,245,0,96,32,0,0,40,3381641216,50443,1,828372,53972,36452,5,0
2023-01-11 04:05:59.856706,1236,151,706,1765,559,0,0,0,798799,1083,682167,947,S,20180,0,251,0,111,33,0,0,40,3393011712,53131,1,828372,53974,36487,5,0
2023-01-11 04:06:00.130523,1241,151,708,1765,559,0,0,0,801129,1111,686272,979,S,21661,0,252,0,115,34,0,0,40,3393011712,53974,1,829492,54082,36733,5,0
2023-01-11 04:06:00.379992,1246,151,711,1765,559,0,0,0,803028,1134,690334,1004,S,21661,0,252,0,115,34,0,0,40,3393011712,53974,1,830215,54634,37459,5,0
2023-01-11 04:06:00.659283,1250,154,717,1765,559,0,0,0,805092,1159,693098,1024,R,22242,0,260,0,119,38,0,0,43,3400560640,53908,1,831326,55028,37743,5,0
2023-01-11 04:06:00.941052,1257,157,723,1765,559,0,0,0,807795,1191,699535,1061,S,23288,0,280,0,131,42,0,0,46,3405111296,55261,1,831082,55705,38287,5,0
2023-01-11 04:06:01.200839,1259,159,725,1765,559,0,0,0,809202,1208,702022,1079,S,23488,0,285,0,141,45,0,0,46,3404111872,55705,1,837740,58505,38326,5,0
2023-01-11 04:06:01.466574,1266,161,729,1765,559,0,0,0,812751,1251,709652,1129,S,26487,0,286,0,148,48,0,0,46,3431383040,58505,0,839292,59217,38359,5,0
2023-01-11 04:06:01.737391,1296,164,743,1765,559,0,0,0,814650,1274,714319,1156,S,27063,0,286,0,148,49,0,0,46,3431383040,57570,0,840322,59947,38359,5,0
2023-01-11 04:06:02.032049,1309,167,751,1765,559,0,0,0,816468,1296,717738,1182,S,28982,0,286,0,155,50,0,0,48,3437748224,59156,0,840322,60026,38374,5,0
2023-01-11 04:06:02.276715,1328,172,764,1765,559,0,0,0,819384,1331,724861,1226,S,29829,0,287,0,167,50,0,0,48,3441967104,60026,0,840328,60987,38374,5,0
2023-01-11 04:06:02.532263,1340,177,770,1765,559,0,0,0,821000,1350,728101,1250,S,30482,0,287,0,175,50,0,0,48,3441983488,60514,0,840332,61044,38374,5,0
2023-01-11 04:06:02.812171,1377,188,783,1765,559,0,0,0,824052,1387,736159,1295,S,31313,0,287,0,199,50,0,0,48,3438731264,61059,0,839534,61059,38368,5,0
2023-01-11 04:06:03.062621,1380,196,788,1765,559,0,0,0,825866,1409,739277,1320,S,31423,0,287,0,200,50,0,0,48,3438731264,61059,0,839534,61059,38368,5,0
2023-01-11 04:06:03.339369,1387,212,801,1765,559,0,0,0,828266,1438,744045,1351,S,31466,0,287,0,201,50,0,0,48,3438731264,60926,0,839534,60926,38410,5,0
2023-01-11 04:06:03.585674,1397,222,818,1765,559,0,0,0,830798,1469,750140,1386,S,31508,0,287,0,202,50,0,0,48,3438731264,60926,0,839534,60926,38410,5,0
2023-01-11 04:06:03.870360,1412,234,837,1765,559,0,0,0,833354,1500,755222,1421,S,31523,0,287,0,203,50,0,0,48,3438731264,60361,0,839534,60361,38410,5,0
2023-01-11 04:06:04.116553,1420,245,849,1765,559,0,0,0,836619,1539,762096,1464,S,31591,0,287,0,205,50,0,0,48,3438731264,60361,0,839534,60413,38426,5,0
2023-01-11 04:06:04.372222,1439,253,864,1765,559,0,0,0,838362,1560,764992,1486,S,31624,0,287,0,206,50,0,0,48,3438731264,60333,0,839534,60413,38426,5,0
2023-01-11 04:06:04.642775,1459,260,876,1765,559,0,0,0,839978,1579,769180,1510,S,31706,0,287,0,207,50,0,0,48,3438731264,60350,0,839751,60068,38426,5,0
2023-01-11 04:06:04.923758,1476,267,886,1765,559,0,0,0,842288,1607,773770,1539,S,31824,0,287,0,210,50,0,0,49,3439620096,60068,0,839751,60083,38427,5,0
2023-01-11 04:06:05.179196,1495,276,903,1765,559,0,0,0,844688,1636,778696,1572,S,31832,0,287,0,211,50,0,0,49,3439620096,60083,0,839751,60084,38427,5,0
2023-01-11 04:06:05.429638,1509,282,915,1765,559,0,0,0,847220,1667,783533,1604,S,31858,0,287,0,211,50,0,0,49,3439620096,60084,0,839751,60081,38427,5,0
2023-01-11 04:06:05.715485,1515,288,924,1765,559,0,0,0,849908,1700,789760,1641,S,31948,0,287,0,213,50,0,0,49,3439620096,60081,0,839751,60081,38427,5,0
2023-01-11 04:06:05.955867,1525,295,934,1765,559,0,0,0,852398,1730,794819,1676,S,31951,0,287,0,213,50,0,0,49,3439620096,60081,0,839751,60081,38427,5,0
2023-01-11 04:06:06.216294,1530,296,936,1765,559,0,0,0,855573,1768,801646,1716,S,31996,0,287,0,215,51,0,0,49,3439620096,60115,0,839751,60115,38461,5,0
2023-01-11 04:06:06.476855,1538,298,939,1765,559,0,0,0,856664,1781,803687,1731,S,31996,0,287,0,215,51,0,0,49,3439620096,60115,0,839751,60181,38537,5,0
2023-01-11 04:06:06.737416,1546,298,943,1765,559,0,0,0,859650,1817,808992,1768,S,32038,0,287,0,216,51,0,0,49,3439620096,60181,0,839751,60181,38537,5,0
2023-01-11 04:06:07.002169,1554,299,949,1765,559,0,0,0,861804,1843,814033,1803,S,32050,0,287,0,217,51,0,0,49,3439620096,60181,0,839751,60181,38537,5,0
2023-01-11 04:06:07.277928,1612,300,962,1765,559,0,0,0,865880,1892,824103,1861,S,32119,0,287,0,217,53,0,0,49,3439620096,60181,1,839783,60312,38537,5,0
2023-01-11 04:06:07.533542,1622,301,968,1766,559,0,0,0,866126,1895,825334,1866,S,32119,0,287,0,217,53,0,0,49,3439620096,60181,1,839783,60312,38537,5,0
2023-01-11 04:06:07.806131,1625,302,972,1766,560,0,0,0,868334,1921,828873,1896,S,32311,0,287,0,217,54,0,0,49,3439751168,60312,1,840007,60155,38552,5,0
2023-01-11 04:06:08.051243,1637,309,986,1766,560,0,0,0,870668,1949,834100,1929,S,32581,0,287,0,219,54,0,0,49,3440668672,60155,1,840007,60167,38563,5,0
2023-01-11 04:06:08.304700,1651,316,1004,1767,560,0,0,0,873422,1983,840329,1966,S,32726,0,287,0,220,54,0,0,49,3440668672,60167,1,840007,60199,38595,5,0
