#com.fromitt.securitycam
#./workspace/com.fromitt.securitycam_0/com.fromitt.securitycam.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 01:53:46.834550,849,322,883,2066,1215,0,0,0,536712,1026,680770,991,S,33643,0,398,0,152,52,0,0,62,3595624448,58445,0,877838,58445,45475,5,0
2023-01-10 01:53:47.118958,859,322,891,2081,1216,0,0,0,539580,1061,689682,1032,S,33652,0,398,0,152,52,0,0,62,3595624448,58445,0,877838,58445,45475,5,0
2023-01-10 01:53:47.379718,868,324,893,2082,1216,0,0,0,542022,1091,694486,1062,S,33652,0,398,0,152,52,0,0,62,3595624448,58445,0,877838,58445,45475,5,0
2023-01-10 01:53:47.635601,883,324,896,2088,1216,0,0,0,544620,1123,698985,1090,S,33652,0,398,0,152,52,0,0,62,3595624448,58445,0,877838,58445,45475,5,0
2023-01-10 01:53:47.910875,899,325,899,2090,1216,0,0,0,547086,1153,703844,1122,S,33653,0,398,0,152,52,0,0,62,3595624448,58445,0,877838,58445,45475,5,0
2023-01-10 01:53:48.184079,922,325,901,2097,1216,0,0,0,549354,1180,708727,1154,S,33653,0,398,0,152,52,0,0,62,3595624448,58445,0,877838,58445,45475,5,0
2023-01-10 01:53:48.444471,939,330,905,2108,1216,0,0,0,551772,1210,713316,1183,S,33655,0,398,0,152,52,0,0,62,3595624448,58445,0,877838,58445,45475,5,0
2023-01-10 01:53:48.699763,960,330,909,2121,1218,0,0,0,554280,1241,718151,1215,S,33655,0,398,0,152,52,0,0,62,3595624448,58445,0,877838,58445,45475,5,0
2023-01-10 01:53:48.960312,980,330,911,2141,1218,0,0,0,556812,1272,723208,1250,S,33655,0,398,0,152,52,0,0,62,3595624448,58445,0,877838,58445,45475,5,0
2023-01-10 01:53:49.225745,1000,330,913,2161,1218,0,0,0,559542,1306,728158,1283,S,33655,0,398,0,152,52,0,0,62,3595624448,58445,0,877838,58445,45475,5,0
2023-01-10 01:53:49.492641,1024,331,917,2172,1218,0,0,0,561918,1335,732928,1314,S,33655,0,398,0,152,52,0,0,62,3595624448,58445,0,877838,58445,45475,5,0
2023-01-10 01:53:49.745498,1051,332,921,2176,1218,0,0,0,564228,1363,737410,1341,S,33656,0,398,0,152,52,0,0,62,3595624448,58445,0,877838,58445,45475,5,0
2023-01-10 01:53:50.000482,1083,332,926,2180,1218,0,0,0,566670,1393,742157,1372,S,33656,0,398,0,152,52,0,0,62,3595624448,58445,0,877838,58445,45475,5,0
2023-01-10 01:53:50.275467,1111,332,930,2183,1218,0,0,0,568602,1416,746568,1399,S,33656,0,398,0,152,52,0,0,62,3595624448,58445,0,877838,58445,45475,5,0
2023-01-10 01:53:50.524211,1136,333,934,2188,1218,0,0,0,570808,1442,751369,1431,S,33657,0,398,0,153,52,0,0,62,3595624448,58445,0,877838,58445,45475,5,0
2023-01-10 01:53:50.795188,1168,333,939,2193,1218,0,0,0,574190,1484,758017,1471,S,33658,0,398,0,153,52,0,0,61,3594502144,58223,0,877564,58223,45475,5,0
2023-01-10 01:53:51.047607,1193,333,941,2196,1218,0,0,0,575938,1505,760977,1494,S,33661,0,398,0,153,52,0,0,61,3594502144,58223,0,877564,58223,45475,5,0
2023-01-10 01:53:51.338870,1216,334,945,2219,1218,0,0,0,578866,1542,766276,1531,S,33661,0,398,0,153,53,0,0,61,3594502144,58223,1,877564,58223,45475,5,0
2023-01-10 01:53:51.568126,1246,334,952,2220,1218,0,0,0,581918,1579,775987,1578,S,33663,0,398,0,153,53,0,0,56,3588890624,58257,1,876194,58257,45475,5,0
2023-01-10 01:53:51.853758,1272,335,956,2221,1218,0,0,0,584516,1611,783603,1613,S,33672,0,398,0,153,53,0,0,56,3588890624,58257,1,876194,58261,45475,5,0
2023-01-10 01:53:52.129759,1301,336,963,2223,1219,0,0,0,585886,1627,786559,1635,S,33929,0,398,0,154,53,0,0,56,3588890624,58261,1,876194,58261,45475,5,0
2023-01-10 01:53:52.373025,1323,336,969,2224,1219,0,0,0,588692,1661,794769,1679,R,33929,0,398,0,154,53,0,0,56,3588890624,58261,1,876194,58261,45475,5,0
2023-01-10 01:53:52.635497,1356,337,973,2226,1219,0,0,0,590732,1686,797705,1702,S,33930,0,398,0,154,53,0,0,56,3588890624,58261,1,876194,58261,45475,5,0
2023-01-10 01:53:52.904301,1385,337,980,2228,1219,0,0,0,593642,1722,804777,1734,S,33934,0,398,0,154,53,0,0,56,3588890624,58261,1,876194,58261,45475,5,0
2023-01-10 01:53:53.168868,1404,338,985,2230,1219,0,0,0,595702,1747,811603,1763,S,33934,0,398,0,154,53,0,0,56,3588890624,58261,1,876194,58261,45475,5,0
2023-01-10 01:53:53.431627,1430,338,989,2237,1219,0,0,0,598588,1783,817789,1799,S,33934,0,398,0,154,53,0,0,56,3588890624,58261,1,876194,58261,45475,5,0
2023-01-10 01:53:53.681832,1461,338,994,2240,1219,0,0,0,600832,1810,822314,1827,S,33934,0,398,0,154,53,0,0,56,3588890624,58261,1,876194,58261,45475,5,0
2023-01-10 01:53:53.942783,1474,344,999,2247,1220,0,0,0,603232,1839,827265,1860,S,33934,0,398,0,154,53,0,0,56,3588890624,58261,1,876194,58261,45475,5,0
2023-01-10 01:53:54.198791,1510,346,1005,2249,1220,0,0,0,606218,1875,833891,1900,S,33934,0,398,0,154,53,0,0,56,3588890624,58261,1,876194,58244,45458,5,0
2023-01-10 01:53:54.458533,1531,346,1008,2249,1220,0,0,0,608126,1898,837948,1923,S,33935,0,398,0,154,53,0,0,56,3588890624,58244,1,876194,58244,45458,5,0
2023-01-10 01:53:54.714288,1564,346,1014,2250,1220,0,0,0,610030,1921,843384,1949,S,33935,0,398,0,154,53,0,0,56,3588890624,58244,1,876194,58244,45458,5,0
2023-01-10 01:53:54.968567,1584,347,1018,2252,1220,0,0,0,612680,1953,848312,1982,S,33935,0,398,0,154,53,0,0,56,3588890624,58244,1,876194,58244,45458,5,0
2023-01-10 01:53:55.234116,1633,347,1024,2252,1220,0,0,0,615366,1985,855759,2020,S,33935,0,398,0,154,53,0,0,56,3588890624,58244,1,876194,58244,45458,5,0
2023-01-10 01:53:55.504705,1661,347,1026,2254,1220,0,0,0,617884,2015,860261,2048,S,33935,0,398,0,154,53,0,0,56,3588890624,58244,1,875646,58246,45467,5,0
2023-01-10 01:53:55.770817,1697,348,1030,2254,1220,0,0,0,619656,2036,864433,2071,S,33936,0,398,0,154,53,0,0,54,3586646016,58246,1,875646,58246,45467,5,0
2023-01-10 01:53:56.026290,1706,348,1031,2254,1220,0,0,0,621652,2060,868947,2099,S,33936,0,398,0,154,53,0,0,54,3586646016,58246,1,875646,58246,45467,5,0
2023-01-10 01:53:56.286947,1739,348,1035,2255,1220,0,0,0,623588,2083,871805,2121,S,33936,0,398,0,154,53,0,0,54,3586646016,58246,1,875646,58246,45467,5,0
2023-01-10 01:53:56.570103,1773,349,1041,2258,1220,0,0,0,626210,2115,878167,2157,S,33936,0,398,0,154,53,0,0,54,3586646016,58246,1,875646,58246,45467,5,0
2023-01-10 01:53:56.805230,1793,349,1045,2259,1220,0,0,0,627234,2127,880502,2173,S,33936,0,398,0,154,53,0,0,54,3586646016,58246,1,875646,58246,45467,5,0
2023-01-10 01:53:57.081175,1818,350,1049,2268,1220,0,0,0,630476,2166,886079,2213,S,33936,0,398,0,154,53,0,0,54,3586646016,58246,1,875646,58246,45467,5,0
2023-01-10 01:53:57.335401,1843,351,1055,2268,1220,0,0,0,633254,2200,892511,2250,S,33936,0,398,0,154,53,0,0,54,3586646016,58246,1,875646,58246,45467,5,0
2023-01-10 01:53:57.586286,1878,355,1059,2269,1220,0,0,0,636131,2235,900172,2287,S,33936,0,398,0,154,53,0,0,54,3586646016,58246,1,875646,58308,45466,5,0
2023-01-10 01:53:57.846496,1902,356,1064,2269,1220,0,0,0,637316,2249,903240,2300,S,33941,0,398,0,154,53,0,0,54,3586646016,58308,1,875646,58308,45466,5,0
