#com.gcart.android.jeselyn.collection
#./workspace/com.gcart.android.jeselyn.collection_0/com.gcart.android.jeselyn.collection.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 02:52:08.059153,815,160,658,1059,856,0,0,0,415967,723,643496,812,S,10259,0,3,0,68,14,0,0,15,3321561088,36428,0,811656,37497,25499,5,0
2023-01-11 02:52:08.335226,815,160,659,1059,856,0,0,0,418424,752,649220,842,S,10265,0,3,0,73,14,0,0,15,3321577472,36428,0,812601,38204,26247,5,0
2023-01-11 02:52:08.585296,817,160,659,1059,856,0,0,0,420050,771,652410,857,S,10349,0,3,0,78,14,0,0,15,3321577472,36494,0,812603,37990,26247,5,0
2023-01-11 02:52:09.100347,834,162,664,1059,856,0,0,0,426882,853,667508,933,S,12148,0,4,0,98,18,0,0,15,3327324160,38466,0,812605,38170,26247,5,0
2023-01-11 02:52:08.855141,833,162,663,1059,856,0,0,0,426882,853,667508,933,S,12900,0,4,0,101,18,0,0,16,3328413696,37926,0,812605,38170,26247,5,0
2023-01-11 02:52:09.616330,874,166,673,1059,856,0,0,0,432688,920,683629,989,S,13082,0,4,0,104,19,0,0,16,3328413696,37990,0,811978,36714,25341,5,0
2023-01-11 02:52:09.360761,857,165,670,1059,856,0,0,0,433935,934,685395,1000,S,13129,0,4,0,105,19,0,0,16,3328421888,38016,0,813276,38113,26651,5,0
2023-01-11 02:52:09.887028,889,168,676,1059,856,0,0,0,437251,973,690953,1035,S,13174,0,4,0,107,20,0,0,16,3328421888,38016,0,812544,37314,26175,5,0
2023-01-11 02:52:10.414530,891,168,676,1059,856,0,0,0,439384,999,694265,1063,S,13174,0,4,0,107,20,0,0,16,3328421888,38016,0,812544,37314,26175,5,0
2023-01-11 02:52:10.148869,891,168,676,1059,856,0,0,0,440066,1007,695911,1073,S,13174,0,4,0,107,20,0,0,16,3328421888,38016,0,812544,37314,26175,5,0
2023-01-11 02:52:10.945819,917,169,683,1059,856,0,0,0,440998,1018,699026,1090,S,13379,0,4,0,108,20,0,0,16,3328430080,38170,0,812544,37314,26175,5,0
2023-01-11 02:52:11.206387,917,169,684,1059,856,0,0,0,446689,1085,710708,1160,S,13379,0,4,0,108,21,0,0,16,3328430080,38170,0,812544,37319,26191,5,0
2023-01-11 02:52:10.675086,916,169,683,1059,856,0,0,0,447621,1096,712618,1173,S,13379,0,4,0,108,20,0,0,16,3328430080,38170,0,812544,37319,26191,5,0
2023-01-11 02:52:11.988051,920,169,686,1059,856,0,0,0,451728,1143,725010,1237,S,14620,0,4,0,122,22,0,0,19,3331178496,38113,0,812544,37319,26191,5,0
2023-01-11 02:52:11.727563,920,169,686,1059,856,0,0,0,455017,1181,733348,1272,S,14620,0,4,0,121,22,0,0,19,3331178496,38113,0,812544,37319,26191,5,0
2023-01-11 02:52:12.248565,923,171,689,1059,856,0,0,0,456029,1193,738306,1284,S,15507,0,4,0,123,23,0,0,19,3334160384,38733,0,812544,37319,26191,5,0
2023-01-11 02:52:11.464216,918,169,685,1059,856,0,0,0,454457,1175,731915,1266,S,13649,0,4,0,117,22,0,0,19,3325861888,36874,0,812544,37319,26191,5,0
2023-01-11 02:52:12.529828,989,172,704,1059,856,0,0,0,472438,1385,777110,1474,S,15564,0,4,0,124,24,0,0,19,3328180224,37314,1,812544,37253,26191,5,0
