#com.getkira.kirab000001sf
#./workspace/com.getkira.kirab000001sf_0/com.getkira.kirab000001sf.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 05:09:33.129587,944,298,860,1754,1232,0,0,0,119722,515,634853,713,S,2873,0,2,0,1,1,0,0,12,3286220800,23421,1,802300,23421,18660,5,0
2023-01-10 05:09:33.390069,956,299,862,1759,1232,0,0,0,122788,553,641619,752,S,2873,0,2,0,1,1,0,0,12,3286220800,23421,1,802300,23421,18660,5,0
2023-01-10 05:09:33.655824,967,300,865,1770,1233,0,0,0,125122,581,646543,781,S,3659,0,3,0,1,1,0,0,12,3289174016,25026,0,804281,26794,21719,5,0
2023-01-10 05:09:33.926832,976,305,871,1772,1233,0,0,0,127966,616,651718,815,S,4797,0,5,0,4,1,0,0,12,3294334976,26794,0,807860,31362,26068,5,0
2023-01-10 05:09:34.197148,989,309,878,1787,1238,0,0,0,130474,647,656364,845,D,7538,0,131,0,9,6,0,0,27,3333648384,36548,0,817701,39830,33530,5,0
2023-01-10 05:09:34.453477,998,310,890,1793,1253,0,0,0,133228,681,661176,876,S,9793,0,195,0,13,8,0,0,37,3351666688,42083,0,818278,42083,34908,5,0
2023-01-10 05:09:34.724777,1014,311,899,1803,1265,0,0,0,136024,716,666055,908,S,9927,0,200,0,15,8,0,0,37,3351670784,42419,0,818600,42864,35528,5,0
2023-01-10 05:09:34.974617,1034,312,906,1807,1266,0,0,0,138358,744,670910,940,S,9973,0,206,0,15,9,0,0,37,3355934720,42864,0,819320,42864,35528,5,0
2023-01-10 05:09:35.234878,1043,312,909,1841,1267,0,0,0,140626,771,675988,975,S,10053,0,211,0,17,9,0,0,37,3355934720,43257,1,819480,43313,35970,5,0
2023-01-10 05:09:35.497521,1066,313,914,1853,1267,0,0,0,142780,797,680509,1003,S,10466,0,212,0,21,10,0,0,37,3358687232,43639,0,820088,43499,36425,5,0
2023-01-10 05:09:35.771146,1089,314,918,1865,1267,0,0,0,145246,827,685432,1036,S,10686,0,212,0,24,10,0,0,37,3359080448,43507,1,820088,43524,36439,5,0
2023-01-10 05:09:36.041068,1101,315,921,1895,1267,0,0,0,148108,863,690225,1067,S,10846,0,212,0,25,10,0,0,37,3359080448,43524,1,819978,42924,35972,5,0
2023-01-10 05:09:36.316277,1120,315,925,1918,1268,0,0,0,150814,897,694774,1095,S,11537,0,215,0,30,12,0,0,37,3361714176,43217,1,820731,43235,36240,5,0
2023-01-10 05:09:36.563310,1143,315,929,1926,1269,0,0,0,153280,927,699497,1126,S,11898,0,215,0,34,13,0,0,37,3361714176,43252,1,820763,43252,36256,5,0
2023-01-10 05:09:36.830659,1167,316,933,1937,1269,0,0,0,155722,957,704241,1157,R,12048,0,215,0,36,13,0,0,37,3361845248,43477,1,821542,43524,36507,5,0
2023-01-10 05:09:37.086523,1185,316,936,1954,1269,0,0,0,158560,993,709144,1190,S,12272,0,215,0,39,14,0,0,37,3365036032,43538,1,821542,43538,36521,5,0
2023-01-10 05:09:37.346795,1190,316,938,1994,1269,0,0,0,161116,1024,714251,1225,S,12274,0,215,0,39,14,0,0,37,3365036032,43538,0,821542,43538,36521,5,0
2023-01-10 05:09:37.607214,1197,317,941,2040,1269,0,0,0,163804,1057,719580,1263,S,12286,0,215,0,40,14,0,0,37,3365036032,43796,0,821542,43796,36757,5,0
