#com.gmradio.app
#./workspace/com.gmradio.app_0/com.gmradio.app.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 02:40:26.890356,723,294,800,1772,1255,0,0,0,388492,743,686014,806,S,2064,0,1,0,1,1,0,0,14,3285000192,22216,1,802002,22216,17455,5,0
2023-01-10 02:40:27.156429,731,294,803,1775,1256,0,0,0,391114,775,690976,839,S,2064,0,1,0,1,1,0,0,14,3285000192,22216,1,802002,22216,17455,5,0
2023-01-10 02:40:27.421855,738,296,808,1779,1256,0,0,0,394270,814,697662,878,S,2095,0,1,0,1,1,0,0,14,3285000192,22216,1,802002,22216,17455,5,0
2023-01-10 02:40:27.682450,747,297,810,1780,1256,0,0,0,396448,840,702385,907,S,2095,0,1,0,1,1,0,0,14,3285000192,22216,1,802002,22216,17455,5,0
2023-01-10 02:40:27.937952,758,299,812,1784,1256,0,0,0,398692,867,706897,935,S,2095,0,1,0,1,1,0,0,14,3285000192,22216,1,802002,22216,17455,5,0
2023-01-10 02:40:28.198567,768,300,814,1792,1256,0,0,0,400978,895,711277,961,S,2095,0,1,0,1,1,0,0,14,3285000192,22216,1,802002,22216,17455,5,0
2023-01-10 02:40:28.464001,794,301,817,1797,1256,0,0,0,403312,923,715993,991,S,2095,0,1,0,1,1,0,0,14,3285000192,22216,1,802002,22216,17455,5,0
2023-01-10 02:40:28.724686,819,301,822,1803,1256,0,0,0,405754,953,720619,1020,S,2095,0,1,0,1,1,0,0,14,3285000192,22216,1,802002,22216,17455,5,0
2023-01-10 02:40:28.990106,841,301,825,1817,1256,0,0,0,408154,982,725401,1051,S,2095,0,1,0,1,1,0,0,14,3285000192,22216,1,802002,22216,17455,5,0
2023-01-10 02:40:29.245441,860,302,828,1835,1258,0,0,0,410440,1010,730112,1082,S,2095,0,1,0,1,1,0,0,14,3285000192,22216,1,802002,22216,17455,5,0
2023-01-10 02:40:29.505936,887,302,832,1859,1258,0,0,0,412636,1037,734379,1107,S,2095,0,1,0,1,1,0,0,14,3285000192,22216,1,802002,22216,17455,5,0
2023-01-10 02:40:29.752365,904,302,834,1871,1258,0,0,0,415192,1068,739499,1142,S,2095,0,1,0,1,1,0,0,14,3285000192,22216,1,802002,22216,17455,5,0
2023-01-10 02:40:30.033859,937,303,839,1878,1258,0,0,0,417436,1095,744127,1171,S,2095,0,1,0,1,1,0,0,14,3285000192,22216,1,802002,22216,17455,5,0
2023-01-10 02:40:30.299040,965,304,845,1881,1259,0,0,0,420903,1137,751049,1215,S,2101,0,1,0,1,1,0,0,14,3285131264,22216,1,802034,22216,17455,5,0
2023-01-10 02:40:30.817509,1011,306,850,1882,1259,0,0,0,423420,1167,757542,1252,S,2101,0,1,0,1,1,0,0,14,3285131264,22216,1,802034,22216,17455,5,0
2023-01-10 02:40:30.554291,1003,305,848,1882,1259,0,0,0,423822,1172,758887,1258,S,2101,0,1,0,1,1,0,0,14,3285131264,22216,1,802034,22216,17455,5,0
2023-01-10 02:40:31.081836,1043,307,854,1885,1259,0,0,0,426436,1203,763895,1291,S,2101,0,1,0,1,1,0,0,14,3285131264,22216,1,802034,22216,17455,5,0
2023-01-10 02:40:31.342676,1074,308,858,1890,1259,0,0,0,428770,1231,768746,1323,S,2101,0,1,0,1,1,0,0,14,3285131264,22216,1,802034,22216,17455,5,0
2023-01-10 02:40:31.598214,1098,309,862,1892,1259,0,0,0,431500,1265,773465,1353,S,2101,0,1,0,1,1,0,0,14,3285131264,22216,1,802034,22216,17455,5,0
2023-01-10 02:40:31.857031,1139,309,868,1901,1259,0,0,0,433918,1295,777984,1381,S,2139,0,1,0,2,1,0,0,14,3285131264,22497,1,802034,22497,17692,5,0
2023-01-10 02:40:32.130889,1154,310,870,1911,1259,0,0,0,436408,1325,782637,1410,S,2139,0,1,0,2,1,0,0,14,3285131264,22497,1,802034,22497,17692,5,0
2023-01-10 02:40:32.396279,1182,310,875,1913,1259,0,0,0,438562,1351,787020,1436,S,2185,0,1,0,2,1,0,0,14,3285131264,22497,1,802034,22497,17692,5,0
2023-01-10 02:40:32.671772,1204,311,878,1927,1259,0,0,0,441316,1385,792051,1470,S,2185,0,1,0,2,1,0,0,14,3285131264,22497,1,802034,22497,17692,5,0
2023-01-10 02:40:32.933846,1234,312,881,1930,1259,0,0,0,443900,1416,796969,1503,S,2185,0,1,0,2,1,0,0,14,3285131264,22497,1,802034,22559,17692,5,0
